,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
C1orf141,0,NA,NA,NA,NA,NA,NA,NA,NA
PKP1,180.511695644281,8.49817019421952,3.08715223702585,0.181663233722585,16.9938196836251,9.12486398626779e-65,1.87442956005913e-60,2.31095046714289e-62,4.62190093428578e-62
RERE,2872.00082145151,1.03723447057205,0.0527420574058393,0.0569433143852502,0.926220364501664,0.354331471456971,1,0.670179038226618,2.01053711467985
CSMD2,0.28156449591019,0.229143608329167,-2.12567605076545,3.95763038540023,-0.537108280401097,0.591192821431882,1,NA,NA
HIVEP3,483.193285594955,1.05700089842365,0.0799766029748942,0.0964648961564418,0.829074680650588,0.407062149880745,1,0.716946752949432,3.58473376474716
TTLL7,185.816858280488,0.966345564489736,-0.0493889068351124,0.149459879004571,-0.330449262799161,0.741060523713821,1,0.906920803777173,5.44152482266304
SLC44A5,9.49813945084256,1.47782153708615,0.563472058992747,0.620333868179182,0.908336764920902,0.363700323919738,1,0.679175445977248,4.75422812184074
GLMN,200.30420405002,1.01913117290643,0.0273397534883461,0.158337851005393,0.172667200639315,0.862913026598295,1,0.95374939410853,7.62999515286824
MAN1A2,2141.16770731989,0.966082550917217,-0.0497816235173817,0.0636776730971781,-0.781775166963313,0.43434671764088,1,0.738610666291605,6.64749599662444
ANXA9,234.801814750025,0.990744214433022,-0.0134154574563128,0.123940810770812,-0.108240839904785,0.913804649685114,1,0.973871907365932,9.73871907365932
MPZL1,4348.93737579347,0.924490383801179,-0.11326978154724,0.0435407049306317,-2.6014687113518,0.00928255322265572,1,0.0603058046384741,0.663363851023215
RFWD2,1285.81959979423,1.14599219128464,0.196597213699258,0.0557378452112102,3.52717642661431,0.000420016790366324,1,0.00470245932445955,0.0564295118935146
C1orf21,770.260416960208,1.01858714472235,0.0265694146489431,0.07692005286106,0.345415969707342,0.729781673064694,1,0.902315844225602,11.7301059749328
LINC01032,0,NA,NA,NA,NA,NA,NA,NA,NA
HSD11B1,0,NA,NA,NA,NA,NA,NA,NA,NA
SDCCAG8,8.29373547672105,0.603452557674126,-0.728687741469117,0.936021971649885,-0.77849426994186,0.436277683358317,1,0.740225729138233,11.8436116662117
PRKCZ,579.868776246772,1.14371354886706,0.193725764199538,0.0919335308393888,2.10723728797042,0.0350970162574571,1,0.163046194368432,2.77178530426335
ACOT7,1454.98967599668,0.982026473662768,-0.0261661773665671,0.0624728647732072,-0.418840683255956,0.675332569990701,1,0.880131321142171,15.8423637805591
AGRN,14878.4339617383,0.931109106781724,-0.102977863096757,0.053979579462714,-1.90771888409927,0.0564275596498137,1,0.228463181834651,4.34080045485837
PRDM16,0.670238874046883,2.90674125149089,1.53940265324051,2.47494719489324,0.621994140487881,0.533945720944311,1,NA,NA
CAMTA1,519.250770178537,1.09419962719915,0.129875969297741,0.0975191260325258,1.33179997177603,0.182925927252089,1,0.475575034585121,9.98707572628753
PLEKHM2,1927.90198133995,0.977901141094643,-0.0322394686274055,0.0588167486121712,-0.548134152059097,0.583599791886155,1,0.834434376839581,18.3575562904708
KAZN,1089.93776778119,1.07473230780097,0.103977360930296,0.063547287340356,1.63622029015022,0.101793491404807,1,0.334567364783567,7.69504939002203
PEX14,569.68788293765,0.958465272756427,-0.0612019339691112,0.0874370743231017,-0.699954046300255,0.483956003354717,1,0.774322385116039,18.5837372427849
PTCHD2,5.16567637004909,1.58166800173248,0.661446804286254,0.815942200772662,0.810653994437219,0.417564399989531,1,NA,NA
DHRS3,1217.43890037736,1.09590409364542,0.13212154859378,0.0649208513995953,2.03511731201054,0.041839070450322,1,0.185580961983538,4.82510501157199
KDM1A,3952.201890042,1.01653547512237,0.0236605633283055,0.039653026717687,0.596689970144241,0.550714390230068,1,0.815714800654379,22.0242996176682
EIF4G3,45.9445642310588,1.00699403566885,0.0100551384226997,0.27682946696661,0.0363225003930399,0.971025209056366,1,0.992154358906546,27.7803220493833
ALDH4A1,1192.77398769788,0.946783874189157,-0.0788929608738288,0.07389789936463,-1.06759409336593,0.285703649170067,1,0.60453518497525,17.5315203642823
PLA2G2E,0,NA,NA,NA,NA,NA,NA,NA,NA
ACTL8,5.44819960311993,0.594950374578118,-0.749158758123668,0.960144671479951,-0.780256122203883,0.4352401341251,1,NA,NA
WDTC1,1857.79944000827,0.948073752752845,-0.0769288009621168,0.0625057842367097,-1.23074691249032,0.218417536372233,1,0.52555981251814,16.8179140005805
TRIT1,805.163578218499,1.01806256016328,0.0258262180581621,0.074428330755068,0.346994454882404,0.728595484632184,1,0.901614026567385,29.7532628767237
