ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	76,78,35	90,83,58	175,102,172	205,113,210	198	173
1	0,0,0	67,65,26	0,2,0	80,36,66	132	165
2	70,63,38	62,65,29	133,71,115	161,100,152	198	162
3	20,15,8	60,62,29	20,20,24	157,101,148	198	162
4	2,0,1	0,1,0	0,1,5	3,0,1	198	186
5	3,0,2	0,0,0	1,1,7	1,0,1	198	198
6	28,51,28	78,101,50	129,65,111	253,162,300	198	191
7	1,1,1	78,101,50	4,0,1	253,162,300	198	191
8	61,73,39	424,455,239	132,67,108	696,365,651	130	180
9	54,47,37	98,100,39	74,58,65	163,91,164	150	172
10	0,1,1	87,108,83	4,1,5	172,88,206	172	175
11	71,76,32	88,108,86	140,71,107	171,88,207	172	175
12	103,115,50	139,174,98	159,100,163	208,152,260	175	169
13	38,42,21	105,141,57	24,19,27	58,49,78	198	198
14	459,516,330	6,14,2	408,222,416	2,2,0	198	198
15	79,88,64	92,127,59	175,91,154	162,96,134	140	198
16	40,57,27	27,25,15	54,29,60	35,16,27	191	167
18	3,6,4	9,14,16	8,4,2	23,7,23	168	159
19	6,8,6	0,0,1	3,5,8	0,0,0	198	146
20	6,8,3	1868,2027,1203	6,4,8	1343,800,1468	183	183
21	618,786,425	1298,1450,809	551,301,508	927,494,882	159	198
22	2164,2393,1434	1113,1368,668	1701,915,1732	746,434,691	198	182
23	1064,1177,675	1078,1156,706	743,423,731	849,466,760	182	198
24	1115,1285,730	986,1037,605	871,507,858	706,384,595	198	198
25	1052,1073,724	1360,1441,853	841,477,853	1056,592,997	169	187
26	1901,2183,1190	1525,1657,978	1463,821,1552	1049,650,1152	187	183
27	4,2,4	1,0,0	24,4,18	3,0,0	198	198
28	4,4,4	2,4,0	25,4,17	9,4,4	198	198
29	6,1,5	29,25,21	8,5,8	61,22,50	125	198
30	22,38,23	2,9,1	47,25,52	8,5,4	198	198
31	2,4,1	1,0,1	10,1,2	3,1,9	198	198
32	8,10,6	48,51,20	16,10,10	79,41,88	125	198
33	66,74,39	33,58,32	80,38,98	56,30,35	189	160
34	15,18,6	257,244,153	24,8,16	364,146,327	172	198
35	13,12,4	15,13,17	13,8,16	7,6,9	163	198
36	12,10,4	0,0,0	10,7,13	2,0,0	163	198
37	0,1,0	22,41,18	0,1,0	34,27,55	198	198
38	15,16,22	23,43,18	14,6,9	36,28,59	198	198
39	0,1,0	23,43,18	0,1,0	36,28,59	163	198
40	15,13,15	16,33,15	8,5,9	40,36,25	198	198
43	181,197,116	187,179,99	259,111,216	268,134,237	164	198
44	1,0,0	549,664,304	0,0,1	716,416,645	134	198
45	7,2,3	4,5,2	5,1,3	1,5,1	198	198
46	0,0,0	4,3,1	1,0,0	1,1,0	198	173
47	2,0,2	4,3,1	1,1,0	1,1,0	198	173
