ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	4,14,7	0,0,0	2,9,18	4,4,6	198	99
3	2,3,0	7,11,2	4,3,2	10,6,14	198	99
4	69,79,43	1115,1285,730	92,42,84	874,507,858	184	99
5	103,111,55	1976,2197,1234	109,68,118	1511,866,1847	198	99
6	13,17,12	92,99,59	16,3,15	96,60,87	198	99
7	0,0,0	111,173,59	0,0,2	146,76,165	198	99
8	2,0,0	12,12,7	0,2,1	14,9,16	198	99
9	8,8,0	86,118,55	7,11,13	226,108,217	190	99
14	0,2,1	32,37,20	1,2,1	78,40,50	198	99
15	10,15,12	20,37,6	13,7,19	39,34,43	194	99
16	2,5,0	11,18,16	2,0,3	53,18,42	198	99
17	3,2,1	19,22,13	5,0,6	27,20,25	175	99
18	3,8,3	143,150,79	4,2,5	111,52,84	198	99
25	0,0,1	22,20,1	0,4,4	19,4,16	195	99
26	6,2,0	8,19,11	2,0,1	23,6,20	198	99
28	0,0,0	42,27,23	2,0,3	109,59,78	198	99
30	102,91,45	0,0,0	177,118,189	4,1,2	198	99
31	32,32,16	112,176,90	38,35,40	286,203,322	198	99
32	2,2,2	17,14,10	1,0,1	11,2,15	198	99
33	1,3,3	21,15,10	0,2,0	14,6,12	178	99
34	3,0,1	18,20,17	0,0,0	19,5,15	177	99
35	0,0,0	20,16,4	1,0,0	3,3,4	198	99
39	31,17,11	214,284,155	27,17,19	278,123,274	177	99
40	7,10,2	1,0,0	9,7,9	0,1,0	198	99
44	0,1,8	4,4,0	2,0,5	1,0,0	174	99
47	0,0,2	74,89,77	0,0,1	59,42,104	198	99
48	7,3,3	1,0,1	2,0,1	3,1,0	190	99
49	0,0,1	0,0,0	0,0,0	0,1,1	198	99
50	16,1,3	315,370,199	1,1,3	100,54,92	198	99
51	26,26,19	66,85,46	15,10,16	60,36,90	198	99
54	10,5,5	47,64,24	18,17,20	92,51,99	198	99
57	1,2,0	0,8,0	1,1,3	2,3,2	176	99
58	2,0,1	132,164,95	0,0,1	131,80,106	198	99
59	5,5,3	20,15,9	13,0,2	34,23,40	198	99
60	0,4,0	47,57,26	1,0,0	70,41,77	198	99
61	3,0,1	7,7,6	0,0,0	7,3,5	198	99
62	0,3,1	414,430,216	12,4,6	425,247,451	194	99
63	0,0,0	324,337,154	1,0,0	338,223,374	182	99
67	0,1,0	26,33,37	0,0,1	63,35,52	177	99
69	1,2,4	44,69,23	7,3,5	63,39,54	198	99
70	113,125,64	6,7,2	147,75,120	5,1,2	188	99
71	1,9,4	25,24,12	4,0,0	11,14,20	198	99
72	1,9,4	2,0,2	3,0,0	0,0,0	198	99
73	1,2,2	102,129,87	1,0,3	224,122,185	198	99
74	3,2,3	38,25,23	5,2,8	58,50,59	198	99
75	34,46,32	2,0,1	63,21,56	0,0,0	198	99
76	3,4,0	1,2,0	5,2,3	0,1,0	198	99
77	0,2,0	32,32,21	1,0,0	42,24,40	198	99
78	19,14,7	24,44,26	11,9,5	26,14,8	198	99
79	0,2,0	41,42,17	0,0,1	31,28,33	185	99
80	0,3,2	51,50,25	0,2,2	77,41,49	198	99
96	10,4,1	213,272,157	0,7,5	339,210,404	198	99
97	6,7,0	189,207,123	24,2,16	273,157,292	198	99
98	79,60,47	67,84,34	91,63,75	131,75,122	198	99
102	387,422,232	0,0,0	907,486,848	0,0,15	198	99
110	11,14,6	0,0,0	10,2,12	1,0,0	198	99
112	8,5,6	203,218,157	9,7,7	425,235,396	198	99
113	374,403,242	4,0,1	729,333,653	2,2,2	198	99
115	3,8,6	142,180,87	6,0,4	245,121,203	198	99
117	4,10,7	1,0,0	21,3,16	3,0,4	198	99
122	11,13,2	1,4,0	7,9,3	3,0,0	173	99
123	2,5,2	67,88,51	4,11,5	116,58,111	198	99
124	25,24,13	392,467,242	24,10,23	414,229,365	198	99
125	1,0,0	5,4,3	0,0,2	33,24,31	198	99
126	2,0,2	13,11,7	15,2,12	14,13,27	198	99
127	29,26,19	111,117,74	47,25,32	100,53,99	198	99
128	9,5,8	7,5,0	8,5,3	6,1,9	198	99
129	9,5,2	82,81,50	6,4,3	81,42,83	198	99
136	108,100,57	76,73,44	362,197,393	103,63,73	198	99
137	26,48,22	195,189,130	132,60,87	381,173,350	198	99
138	22,11,15	278,250,167	51,40,36	477,243,501	198	99
139	31,22,23	0,0,0	72,48,57	0,1,0	198	99
140	144,128,104	28,20,8	306,150,285	33,5,33	198	99
141	32,28,25	163,220,108	84,43,64	305,150,286	198	99
142	16,21,11	233,260,124	51,49,83	332,217,348	198	99
143	12,13,13	3,0,0	25,24,35	12,4,5	198	99
144	13,9,13	229,279,125	31,22,35	379,235,356	198	99
145	12,8,9	0,0,0	31,22,32	0,2,0	198	99
146	4,1,7	10,13,9	9,2,9	21,7,13	178	99
147	7,4,9	0,0,0	10,3,7	0,1,0	198	99
148	5,4,6	1,0,0	18,4,5	0,0,0	198	99
149	11,9,6	42,33,20	12,5,3	64,37,59	198	99
169	1,0,3	0,2,0	3,1,2	4,1,5	198	99
171	3,7,4	1559,1861,985	9,3,3	1619,926,1449	198	99
172	5,5,5	1148,1389,792	6,1,2	1340,819,1088	182	99
173	14,8,5	104,130,50	10,8,18	128,61,139	198	99
