ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
6	0,2,0	0,1,0	2,2,0	0,0,0	175	99
11	0,3,0	0,0,0	2,1,3	1,0,0	198	99
13	1,0,3	0,0,0	0,0,2	1,0,0	198	99
14	104,122,75	0,0,0	300,140,275	1,0,0	198	99
15	21,39,22	0,0,0	88,44,73	1,0,0	149	99
16	166,186,111	0,0,0	412,235,442	1,0,0	173	99
17	105,123,57	0,0,1	274,142,256	19,4,8	198	99
18	152,181,89	0,0,1	401,228,412	19,4,8	198	99
21	87,98,45	1,0,0	107,60,135	0,1,0	198	99
22	84,97,43	0,0,2	118,86,139	3,0,0	198	99
23	13,28,10	1,0,0	27,20,12	0,0,4	132	99
24	1,0,0	0,0,0	0,1,1	2,0,3	132	99
25	12,28,12	0,0,0	30,19,12	1,2,2	132	99
26	0,3,0	0,0,0	1,0,3	2,0,3	165	99
27	122,156,71	1,0,0	186,100,156	0,2,1	165	99
28	44,69,35	1,0,0	80,46,82	0,1,3	165	99
29	2,1,0	1,0,0	3,3,3	0,1,3	198	99
30	80,92,36	0,4,0	111,56,78	1,0,0	198	99
31	87,104,70	8,20,3	54,34,62	1,0,4	198	99
32	88,100,67	1,0,0	50,35,55	0,0,0	198	99
33	86,93,42	0,1,0	38,25,42	2,0,3	146	99
34	13,11,7	63,59,37	12,9,16	125,60,104	198	99
35	0,0,0	2,3,0	1,1,3	5,0,4	198	99
36	122,130,80	2,3,0	281,143,244	5,0,4	198	99
37	70,63,38	7,11,10	133,71,115	23,10,19	198	99
38	63,59,37	0,0,0	125,60,105	0,1,0	198	99
40	72,82,50	0,0,0	168,92,153	1,1,0	198	99
41	62,65,29	7,11,10	161,100,152	23,10,19	162	99
42	4,2,0	0,0,0	7,0,11	0,1,0	162	99
44	119,129,71	7,4,1	310,183,288	8,11,11	162	99
45	45,56,31	0,0,0	120,55,103	0,0,1	162	99
46	0,0,0	7,4,1	0,0,2	8,11,11	198	99
47	2,0,1	0,1,0	0,1,4	1,0,1	198	99
48	2,0,1	77,76,40	0,1,5	194,129,192	198	99
49	0,1,0	77,76,40	3,0,1	194,129,192	186	99
51	101,129,93	0,0,0	297,182,262	0,1,0	189	99
