ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	1,0,0	0,2,0	0,0,0	0,2,0	153	99
4	32,51,24	76,103,54	108,49,102	227,126,240	117	99
5	69,82,53	0,0,1	209,98,158	2,2,1	187	99
8	55,52,34	2,0,1	156,89,144	0,2,2	139	99
9	1007,920,583	0,1,0	853,572,829	3,0,0	220	99
10	1462,1759,944	3,1,1	1220,731,1405	4,1,2	285	99
11	82,98,53	2,3,3	105,55,89	2,2,1	285	99
12	230,249,135	19,34,14	359,188,348	83,37,49	163	99
13	10,16,9	91,122,55	35,18,45	110,83,98	155	99
14	3,2,1	18,34,10	3,3,4	49,21,44	323	99
15	2,2,1	0,0,0	3,3,4	1,5,1	323	99
16	122,143,78	1,3,4	212,105,217	4,3,1	242	99
18	8,14,13	3,2,3	44,13,21	23,9,22	103	99
22	2,6,5	0,0,0	1,4,4	1,0,0	170	99
25	15,20,16	3,4,5	40,17,43	16,4,10	105	99
26	66,59,49	1,2,1	97,71,112	2,2,2	211	99
27	149,161,94	0,0,1	99,70,66	2,0,0	108	99
30	29,67,24	148,157,111	192,101,180	578,333,634	154	99
31	1,1,0	103,136,80	3,0,3	182,101,200	111	99
32	3,1,5	0,0,0	2,4,9	1,0,0	315	99
34	7,8,7	0,1,0	25,15,23	0,3,2	483	99
35	183,239,119	0,0,0	432,289,473	4,1,2	145	99
36	77,113,41	1,1,2	258,134,247	5,4,5	108	99
38	9,8,4	41,39,25	33,12,23	82,53,89	412	99
39	9,8,4	0,0,0	32,10,19	1,4,0	412	99
42	2,1,0	16,19,3	3,2,3	26,14,14	155	99
43	199,189,132	0,0,0	218,142,262	0,1,2	151	99
47	8,3,9	52,59,46	11,4,6	44,31,82	161	99
49	1,1,0	0,0,0	6,0,0	0,0,1	114	99
50	45,63,44	51,51,32	91,42,113	111,51,84	111	99
52	45,36,19	0,0,0	35,19,54	0,4,0	147	99
53	111,103,56	70,67,37	115,56,114	79,50,72	147	99
54	43,36,19	0,0,0	34,18,55	1,0,0	147	99
55	199,234,108	0,7,3	341,188,319	1,0,2	241	99
56	167,202,132	40,25,15	162,86,153	32,9,28	132	99
57	148,230,85	26,12,11	207,121,244	14,19,15	102	99
58	0,1,2	0,0,0	2,1,4	0,0,1	102	99
59	7,11,0	18,18,4	27,11,17	26,10,21	127	99
60	49,25,13	0,0,0	57,38,50	2,1,1	350	99
61	4,4,4	0,0,0	17,3,10	3,2,0	111	99
62	43,54,34	17,12,10	71,29,68	20,18,23	111	99
63	501,486,294	0,2,0	543,334,633	4,0,0	137	99
64	397,429,228	0,0,0	447,250,455	1,0,0	282	99
65	1,2,0	25,54,34	5,2,4	63,31,63	179	99
67	111,125,108	1,0,0	194,116,169	1,0,0	165	99
68	17,20,15	9,17,6	41,22,28	17,1,6	124	99
70	166,165,118	0,0,0	359,186,314	0,1,0	1776	99
71	575,613,397	0,0,1	540,335,453	0,0,2	125	99
73	291,349,195	0,0,0	327,186,343	0,2,0	1203	99
74	97,154,105	3,9,2	49,36,53	5,1,1	1032	99
75	179,217,108	41,49,32	349,199,432	87,57,135	111	99
78	21,38,25	4,2,8	34,17,30	3,2,1	230	99
79	0,0,2	23,23,18	0,8,4	24,18,31	176	99
80	37,28,30	0,0,0	67,43,67	2,0,1	147	99
81	0,4,3	1,0,0	5,1,1	0,0,5	109	99
84	4,3,1	49,54,37	1,1,1	37,18,32	134	99
86	0,5,1	26,41,16	1,0,0	51,20,52	104	99
89	4,5,1	0,2,0	3,2,0	2,0,0	170	99
92	115,107,50	3,0,2	132,79,185	6,0,1	286	99
95	0,2,1	17,24,18	4,2,6	90,50,66	192	99
96	0,3,4	1,3,1	2,1,0	0,2,2	266	99
97	601,798,440	14,30,8	1218,703,1372	28,9,16	165	99
98	0,1,1	27,37,35	6,5,1	98,65,78	260	99
99	96,51,36	3,0,2	180,103,138	0,0,0	216	99
100	311,292,163	3,0,2	677,360,655	0,0,0	381	99
101	220,247,128	5,6,1	516,278,520	19,21,3	264	99
102	323,413,210	17,32,5	533,309,499	29,20,41	177	99
106	111,141,47	0,0,0	221,123,175	1,4,0	518	99
107	6,9,2	39,65,31	3,0,4	22,15,21	1118	99
108	91,73,44	76,89,47	169,78,179	133,69,140	126	99
109	96,120,64	0,2,1	164,97,136	5,3,3	1019	99
111	1,1,0	2,0,0	10,2,1	5,3,3	145	99
112	1,1,0	118,127,61	10,2,1	209,100,197	172	99
113	2,0,0	118,127,61	5,3,3	209,100,197	126	99
118	178,225,118	23,21,12	200,108,188	10,5,26	105	99
124	2,3,2	3,5,1	0,0,1	0,2,3	128	99
126	134,158,79	1,6,0	198,102,177	1,0,5	2361	99
127	55,85,53	2,1,1	94,48,97	0,0,0	111	99
128	1,0,2	0,0,0	15,2,14	0,0,2	132	99
129	45,50,35	2,0,0	114,62,91	0,0,0	1264	99
130	6,4,5	13,11,7	48,26,42	14,13,27	132	99
131	469,492,277	0,0,1	428,256,373	0,0,0	291	99
132	155,164,69	6,11,5	160,76,130	13,9,13	287	99
133	146,131,63	0,0,0	113,77,119	0,6,1	597	99
134	11,10,3	46,62,25	9,7,11	59,30,38	186	99
135	222,206,147	0,0,0	433,211,394	1,0,3	327	99
136	360,343,229	0,0,0	670,344,688	0,1,0	836	99
137	11,6,7	4,6,5	52,42,27	11,10,26	146	99
138	236,263,130	3,0,0	348,227,367	12,4,5	253	99
139	294,312,187	2,2,3	475,287,456	7,9,9	576	99
140	47,37,29	5,8,2	46,28,55	9,8,8	302	99
141	59,61,44	0,1,4	91,50,84	1,2,4	996	99
142	4,2,2	2,5,9	5,1,2	11,6,7	103	99
143	4,4,1	16,19,5	13,2,4	16,20,19	539	99
151	1781,1956,1132	1,0,0	1855,1089,1627	0,0,0	1279	99
152	61,58,42	3,7,1	80,48,91	1,8,5	124	99
153	0,5,1	8,22,8	13,3,3	20,19,14	113	99
156	1,0,0	0,0,0	0,1,2	0,2,2	143	99
157	138,146,96	4,8,3	121,66,103	0,5,13	539	99
159	37,39,34	15,31,12	24,13,28	47,27,44	625	99
162	1789,1790,1157	0,3,0	2149,1117,1970	3,7,0	404	99
163	5353,6001,3434	2,0,0	6138,3377,5817	0,0,0	482	99
164	13,12,10	0,0,0	48,36,57	0,0,3	267	99
167	191,241,121	2,6,0	333,201,330	5,0,4	159	99
168	3,10,3	47,27,21	7,18,17	28,11,18	163	99
169	1,1,2	64,60,40	7,1,1	95,62,106	154	99
173	8,30,11	2,2,2	33,20,39	18,1,4	176	99
174	1,1,0	40,49,27	0,0,0	55,41,42	222	99
175	8,9,7	23,25,3	14,8,12	14,17,23	178	99
177	96,97,48	1,0,0	168,68,153	2,0,0	201	99
178	0,0,0	0,0,1	0,0,1	2,0,1	155	99
180	87,114,54	14,14,15	155,110,185	41,18,43	528	99
181	5,11,6	396,417,227	31,24,19	423,222,469	288	99
182	17,18,8	0,2,0	23,14,18	0,0,0	444	99
183	2,8,3	0,5,1	13,13,10	5,4,5	288	99
184	19,16,8	0,0,0	22,15,32	0,1,0	313	99
189	27,21,14	8,14,2	27,23,26	22,13,20	498	99
190	3,0,2	20,35,21	1,1,0	4,3,11	104	99
191	27,33,28	35,57,15	42,19,28	30,20,47	275	99
192	3,1,0	84,90,42	3,1,2	120,55,81	103	99
193	39,47,25	0,0,0	23,13,22	1,0,0	113	99
195	3,0,0	1,5,1	0,0,1	6,6,4	135	99
197	1,4,0	38,64,36	0,0,0	68,25,50	161	99
198	4884,5543,3076	2,1,0	5916,3430,5395	0,1,0	406	99
199	3271,3837,2222	65,96,44	3329,2062,3117	97,62,113	1118	99
200	7883,9101,5121	139,137,84	8920,5302,8167	166,90,210	207	99
204	20,22,11	0,4,1	10,10,6	3,0,4	114	99
205	8,9,8	0,0,0	22,6,18	1,1,0	284	99
206	28,32,11	0,0,0	18,14,30	0,0,2	253	99
207	7,12,7	0,0,0	2,7,7	1,1,1	328	99
208	51,74,35	238,250,140	85,46,79	251,156,376	2582	99
210	4,3,4	169,184,109	7,3,2	242,117,183	106	99
211	22,32,18	0,2,0	67,21,40	1,0,0	122	99
216	1,0,1	22,30,22	1,2,4	34,21,37	145	99
219	77,85,46	1,0,0	142,78,106	1,0,1	237	99
220	1,5,4	94,83,38	2,5,3	123,52,90	197	99
221	18,28,8	4,2,0	28,24,30	0,0,3	159	99
222	22,39,12	999,1142,641	46,28,62	1309,707,1504	215	99
223	5,1,6	674,677,414	11,4,9	861,484,867	202	99
224	679,682,417	2,6,7	863,487,873	16,16,12	253	99
228	82,102,86	7,13,7	61,26,63	9,6,13	254	99
229	10,20,9	0,0,0	1,4,2	2,0,5	131	99
232	3,1,3	85,101,54	4,3,4	93,69,100	225	99
233	11,1,4	15,20,13	5,4,1	13,8,13	114	99
236	6,0,0	0,0,2	0,1,1	0,1,0	180	99
237	4,8,4	248,229,134	25,10,17	344,175,326	114	99
238	27,38,20	7,16,4	47,24,49	2,0,4	126	99
239	45,68,32	15,14,12	78,34,63	12,15,8	126	99
240	18,33,18	0,0,0	33,15,27	1,0,0	126	99
241	4,6,1	3,0,2	6,4,4	2,1,4	105	99
242	28,25,13	4,6,0	61,37,54	16,2,11	162	99
243	0,1,0	141,139,92	2,0,0	107,58,154	103	99
244	290,323,172	1,0,0	359,218,328	0,3,0	561	99
245	125,117,70	7,9,6	98,60,93	26,8,22	247	99
246	92,104,62	3,1,0	135,74,107	2,2,1	218	99
247	6,9,5	33,52,33	11,8,7	95,53,79	500	99
248	50,36,38	0,0,0	78,39,69	0,0,2	749	99
249	25,48,23	3,4,1	81,54,69	11,0,9	417	99
250	18,27,11	69,113,50	15,3,12	86,53,77	526	99
251	13,22,8	1,3,4	14,3,11	0,0,0	526	99
255	23,42,17	1,1,0	65,42,72	1,0,0	106	99
257	3,4,1	0,0,0	3,0,1	1,0,0	147	99
258	13,14,11	15,9,7	2,8,15	8,8,2	106	99
259	88,101,50	267,289,168	250,118,186	496,331,492	215	99
260	2,1,0	26,18,9	0,0,7	11,13,14	108	99
261	6,1,4	52,66,28	11,5,4	132,77,130	235	99
263	2,1,0	0,1,1	1,0,0	2,1,0	117	99
264	2,6,1	43,65,37	9,1,4	91,46,70	157	99
265	33,32,23	9,7,7	88,40,88	7,6,6	316	99
266	14,19,16	0,0,1	41,27,54	0,0,0	316	99
267	3,1,5	0,0,1	5,3,5	0,0,0	206	99
275	368,432,215	1771,2034,1063	510,244,469	2219,1289,2166	179	99
276	1356,1593,858	8,2,2	1597,900,1645	10,4,12	103	99
279	152,158,93	5,0,0	289,133,260	0,1,0	335	99
280	187,217,108	4,2,0	358,207,351	4,10,4	428	99
282	26,42,16	7,8,9	28,24,30	12,6,28	269	99
283	4,2,1	1,3,0	2,0,6	2,2,4	103	99
284	2,0,0	4,1,2	0,0,1	0,0,1	939	99
285	0,1,0	0,1,0	0,0,0	1,0,2	136	99
288	0,1,1	46,59,34	0,0,1	107,42,102	146	99
289	26,24,18	5,10,5	32,19,29	13,6,8	108	99
292	26,28,15	5,14,8	65,44,81	33,17,18	501	99
293	29,29,16	5,14,8	71,44,90	33,17,18	504	99
294	3,1,2	0,0,1	6,0,9	0,0,0	102	99
295	527,550,321	23,19,23	772,440,805	34,19,33	108	99
297	0,1,1	45,68,33	0,0,0	24,17,29	312	99
298	1,1,0	27,29,21	0,0,0	9,10,22	135	99
299	65,61,40	0,1,1	18,22,37	6,0,2	110	99
300	5,5,7	61,58,52	1,0,3	32,27,40	216	99
301	76,83,48	1,0,3	31,14,46	0,0,0	370	99
304	0,1,0	3,0,0	2,2,4	3,0,2	258	99
306	15,14,9	0,0,0	19,12,22	0,1,0	216	99
307	9,6,0	22,30,10	12,5,28	22,20,31	103	99
308	29,30,16	13,17,6	57,28,55	26,12,16	314	99
309	29,31,16	1,0,0	57,30,58	0,0,0	320	99
310	13,18,6	1,0,0	26,14,19	0,0,0	105	99
311	28,44,21	1,2,0	66,28,63	1,2,1	105	99
312	0,0,0	0,0,1	1,0,0	0,1,3	111	99
313	0,0,0	5,4,1	1,0,0	4,2,10	123	99
314	0,0,1	5,4,1	0,1,3	4,2,10	111	99
315	0,3,3	69,50,22	5,3,7	83,39,55	370	99
316	97,102,57	8,6,0	136,43,89	1,9,4	242	99
317	125,138,85	6,1,0	184,65,146	2,2,1	353	99
318	36,42,28	6,1,0	49,31,61	2,2,1	210	99
325	6,6,2	16,15,5	9,6,6	18,9,11	136	99
328	0,2,0	0,0,0	0,3,6	6,0,0	572	99
329	207,266,116	8,2,4	337,174,384	13,9,13	124	99
330	56,66,39	1,0,1	118,51,99	4,5,5	289	99
334	2,9,1	15,29,12	20,11,11	53,29,50	129	99
336	69,68,52	0,0,0	84,46,72	0,1,0	147	99
339	5,8,0	70,102,36	12,4,7	78,49,66	118	99
340	189,208,116	0,1,0	160,103,164	4,1,0	676	99
341	34,28,24	9,9,0	36,27,35	11,2,12	186	99
344	8,6,8	0,0,1	3,4,12	1,0,0	128	99
345	27,11,6	0,0,0	24,9,14	0,0,1	109	99
346	324,383,203	7,2,5	263,143,286	2,0,0	272	99
347	565,683,377	1,1,0	816,403,824	12,4,1	145	99
348	23,17,20	188,231,105	30,22,24	207,119,212	129	99
349	3374,4084,2247	282,330,164	6206,3503,6095	448,267,406	103	99
350	37,35,19	15,15,6	77,28,82	10,10,20	321	99
351	5,7,2	31,65,26	6,2,8	46,26,63	125	99
352	14,11,9	1,0,0	59,18,43	0,1,1	322	99
353	32,26,22	0,0,2	65,36,61	0,0,0	421	99
354	290,360,201	0,0,1	285,158,280	0,0,0	105	99
356	14,21,15	2,1,0	44,18,48	4,1,0	1125	99
357	3,1,1	0,0,0	4,3,1	2,0,0	167	99
359	4,0,2	184,204,104	3,3,4	280,148,269	103	99
361	2,7,1	11,9,6	7,5,2	16,6,14	211	99
362	0,0,1	19,26,20	2,0,0	20,7,20	103	99
367	16,28,13	1,1,0	20,17,25	0,0,0	371	99
372	0,0,0	0,1,0	0,2,1	0,0,0	160	99
374	0,0,3	0,1,0	0,0,1	0,0,0	185	99
376	0,0,3	0,0,0	0,0,1	0,2,1	124	99
380	0,0,0	1,0,0	2,0,0	0,0,0	120	99
383	2,0,0	5,9,3	3,0,0	5,5,7	188	99
414	55,72,30	0,0,0	34,11,24	0,0,1	140	99
418	0,1,0	1,0,0	0,1,1	1,3,0	224	99
420	75,83,53	28,61,21	118,75,108	63,35,77	125	99
421	4731,5545,3241	3,2,1	3880,2349,3946	2,5,12	297	99
424	0,7,4	0,1,0	10,5,8	3,0,1	195	99
425	14,30,9	285,344,133	42,26,59	347,223,364	169	99
429	1,0,0	16,21,7	0,0,6	61,26,66	112	99
430	2,7,4	0,0,0	7,3,10	0,0,3	277	99
437	0,0,0	57,34,32	1,0,0	56,39,57	207	99
440	19,19,5	112,124,73	22,12,24	207,107,208	318	99
441	10,9,7	438,471,240	18,11,18	613,371,700	124	99
442	2,0,3	38,27,16	8,1,4	126,81,126	125	99
443	27,13,5	19,37,16	38,22,41	76,35,56	1826	99
447	46,77,33	0,0,0	69,35,74	1,0,0	125	99
448	227,319,142	23,30,18	267,152,279	125,58,139	125	99
451	2,2,2	0,1,0	2,2,2	0,0,0	201	99
453	501,537,287	0,0,1	731,440,667	2,1,0	267	99
456	6,6,4	99,114,94	17,14,8	153,56,137	161	99
457	41,46,20	0,0,0	45,28,50	1,0,0	120	99
458	21,25,12	0,0,1	27,15,38	2,0,0	175	99
461	40,34,20	0,2,1	52,36,48	5,0,1	114	99
464	17,35,26	2,1,1	32,19,33	1,0,2	316	99
465	15,12,11	8,7,4	5,6,12	2,3,9	132	99
466	16,19,13	2920,3582,2040	19,15,20	3087,1800,2757	132	99
467	1,0,0	7,5,8	2,0,0	7,4,7	111	99
468	22,14,18	6,7,4	40,20,27	16,5,14	114	99
469	9,4,6	2,4,0	18,10,28	16,4,9	237	99
473	4,4,0	88,96,53	7,6,7	189,126,252	103	99
478	397,190,178	46,55,28	771,431,672	57,26,63	177	99
479	5,15,7	2,0,0	13,11,14	0,0,0	201	99
480	10,18,8	2,0,0	15,16,22	0,0,0	248	99
482	0,3,1	302,355,167	5,4,5	212,106,274	533	99
484	2,3,0	2320,2593,1421	4,1,2	2659,1528,2716	127	99
485	2333,2601,1432	0,2,0	2667,1535,2727	4,1,1	242	99
