ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	18,26,16	0,0,0	36,34,55	4,4,6	842	99
3	2,3,0	7,11,2	4,4,2	10,6,14	266	99
4	69,79,43	1115,1285,730	92,42,84	874,507,858	185	99
5	138,157,83	1976,2197,1234	150,89,173	1511,866,1847	274	99
6	52,46,33	92,99,59	78,31,67	96,60,87	657	99
7	0,0,0	111,173,59	0,0,2	146,76,165	545	99
8	2,1,0	12,12,7	2,3,9	14,9,16	1447	99
9	8,8,0	86,118,55	7,11,13	226,108,217	191	99
14	0,2,1	32,37,20	1,2,1	78,40,50	215	99
15	10,15,12	20,37,6	13,7,19	39,34,43	195	99
16	2,5,0	11,18,16	2,1,3	53,18,42	237	99
17	3,2,1	19,22,13	5,0,6	27,20,25	176	99
18	41,51,30	143,150,79	49,26,33	111,52,84	1792	99
22	0,0,1	1,0,3	1,0,0	0,0,0	1171	99
25	0,0,1	22,20,1	0,4,4	19,4,16	196	99
26	6,3,3	8,19,11	4,3,2	23,6,20	446	99
28	2,0,1	42,27,23	4,2,5	109,59,78	850	99
30	104,97,48	0,0,0	189,125,191	4,1,2	283	99
31	33,34,19	112,176,90	43,39,40	286,203,322	237	99
32	2,2,2	17,14,10	1,0,1	11,2,15	347	99
33	1,3,3	21,15,10	0,2,0	14,6,12	179	99
34	3,0,1	18,20,17	0,0,0	19,5,15	178	99
35	0,0,0	20,16,4	1,0,0	3,3,4	379	99
39	31,17,11	214,284,155	27,17,19	278,123,274	178	99
40	46,62,21	1,0,0	72,30,65	0,1,0	1412	99
44	0,1,8	4,4,0	2,0,5	1,0,0	175	99
47	0,0,2	74,89,77	0,0,1	59,42,104	309	99
48	7,3,3	1,0,1	2,0,1	3,1,0	191	99
49	2,1,4	0,0,0	3,1,2	0,1,1	492	99
50	47,24,29	315,370,199	25,8,22	100,54,92	704	99
51	72,79,38	66,85,46	57,37,52	60,36,90	998	99
54	36,28,20	47,64,24	60,39,57	92,51,99	582	99
57	1,2,0	0,8,0	1,1,3	2,3,2	177	99
58	5,1,1	132,164,95	1,0,2	131,80,106	1030	99
59	5,5,3	20,15,9	13,0,4	34,23,40	244	99
60	0,5,2	47,57,26	4,1,3	70,41,77	1048	99
61	3,0,1	7,7,6	0,1,0	7,3,5	386	99
62	0,3,1	414,430,216	12,4,6	425,247,451	195	99
63	0,0,0	324,337,154	1,0,0	338,223,374	183	99
67	0,1,0	26,33,37	0,0,1	63,35,52	178	99
69	5,6,8	44,69,23	9,3,5	63,39,54	372	99
70	113,125,64	6,7,2	147,75,120	5,1,2	189	99
71	6,11,4	25,24,12	4,0,2	11,14,20	427	99
72	5,11,4	2,0,2	3,0,2	0,0,0	393	99
73	7,9,10	102,129,87	7,5,11	224,122,185	1586	99
74	9,9,11	38,25,23	11,7,16	58,50,59	1589	99
75	244,283,156	2,0,1	287,166,299	0,0,0	1025	99
76	21,12,2	1,2,0	23,11,19	0,1,0	734	99
77	0,2,0	32,32,21	1,0,0	42,24,40	297	99
78	55,101,71	24,44,26	28,22,24	26,14,8	942	99
79	0,2,0	41,42,17	0,0,1	31,28,33	186	99
80	3,6,4	51,50,25	8,5,7	77,41,49	776	99
96	11,15,6	213,272,157	8,7,15	339,210,404	379	99
97	6,7,0	189,207,123	24,2,16	273,157,292	202	99
98	88,76,54	67,84,34	112,69,87	131,75,122	290	99
102	1052,1080,596	0,0,0	2435,1370,2377	0,0,15	523	99
107	1,0,0	0,0,0	0,0,0	1,1,0	3047	99
110	11,15,6	0,0,0	10,2,12	1,0,0	203	99
112	17,8,11	203,218,157	14,12,8	425,235,396	419	99
113	585,652,346	4,0,1	1102,551,1062	2,2,2	300	99
115	13,34,17	142,180,87	28,15,21	245,121,203	915	99
117	61,75,42	1,0,0	158,96,125	3,0,4	1972	99
122	11,13,2	1,4,0	7,9,3	3,0,0	174	99
123	30,42,19	67,88,51	54,29,37	116,58,111	2289	99
124	83,69,42	392,467,242	76,50,66	414,229,365	614	99
125	3,2,3	5,4,3	9,2,10	33,24,31	1146	99
126	4,2,5	13,11,7	24,4,20	14,13,27	1179	99
127	33,26,20	111,117,74	47,25,33	100,53,99	209	99
128	25,13,12	7,5,0	14,19,19	6,1,9	488	99
129	25,13,6	82,81,50	12,18,19	81,42,83	483	99
136	110,105,60	76,73,44	383,204,417	103,63,73	217	99
137	74,95,54	195,189,130	320,151,247	381,173,350	548	99
138	23,16,17	278,250,167	54,41,41	477,243,501	225	99
139	108,109,79	0,0,0	247,144,233	0,1,0	962	99
140	185,182,128	28,20,8	385,194,371	33,5,33	781	99
141	70,75,45	163,220,108	155,85,142	305,150,286	730	99
142	25,24,20	233,260,124	87,79,107	332,217,348	352	99
143	25,20,24	3,0,0	81,73,90	12,4,5	506	99
144	13,10,13	229,279,125	34,23,44	379,235,356	215	99
145	32,41,21	0,0,0	112,55,88	0,2,0	944	99
146	4,1,7	10,13,9	9,2,9	21,7,13	179	99
147	16,25,22	0,0,0	54,24,38	0,1,0	873	99
148	13,24,16	1,0,0	47,23,29	0,0,0	723	99
149	15,16,12	42,33,20	21,16,16	64,37,59	411	99
169	3,1,4	0,2,0	7,1,7	4,1,5	891	99
171	32,27,9	1559,1861,985	47,17,31	1619,926,1449	1146	99
172	5,5,5	1148,1389,792	6,1,2	1340,819,1088	183	99
173	14,9,5	104,130,50	10,8,18	128,61,139	220	99
175	17,23,7	16,34,15	30,8,14	25,14,26	421	99
176	12,8,3	45,63,34	21,4,7	77,38,65	242	99
178	44,77,29	914,982,546	70,28,55	931,518,1159	859	99
180	2,0,1	144,189,90	1,2,3	266,147,288	279	99
183	14,11,6	79,85,51	24,7,10	58,40,68	376	99
184	4,7,1	2000,2520,1330	3,0,8	1933,1152,1823	200	99
187	2,1,2	2,0,0	5,1,1	0,0,1	1040	99
191	88,77,39	0,1,7	129,88,143	1,2,4	199	99
192	33,12,17	2011,1552,1206	32,21,31	2549,1439,2488	262	99
193	99,85,63	1496,1656,1012	106,62,109	1869,922,1708	308	99
195	39,37,14	0,0,0	65,30,63	2,0,2	1347	99
197	5,1,0	18,21,18	0,0,2	16,2,18	593	99
198	7,3,6	47,58,37	7,7,11	71,61,68	362	99
230	3,9,3	2,0,0	17,14,12	11,1,6	236	99
231	8,5,4	0,2,0	14,7,9	0,0,0	176	99
235	2,3,0	39,25,30	1,0,2	40,18,35	170	99
237	2,0,2	6,11,2	2,3,1	19,12,20	305	99
238	3,6,4	28,60,25	5,1,4	64,40,84	332	99
239	9,25,6	39,43,23	18,9,17	48,40,38	498	99
240	11,19,8	52,46,20	17,8,15	84,31,71	197	99
241	42,45,19	75,80,49	59,30,33	125,84,123	738	99
253	9,12,7	42,37,41	25,7,26	48,20,46	698	99
254	8,16,9	14,9,13	7,9,7	27,4,16	904	99
256	25,22,11	6,4,3	38,27,25	8,3,7	1845	99
257	25,29,25	3748,4338,2382	36,26,25	4628,2672,4143	378	99
258	96,130,62	4869,5526,3054	114,69,104	5892,3416,5385	974	99
259	1455,1667,903	8,4,24	1689,904,1561	23,10,0	1010	99
260	6419,7333,3961	139,137,84	7596,4476,6955	166,90,210	451	99
261	16,14,5	1480,1782,1165	10,5,17	1334,831,1229	343	99
262	7872,9080,4887	101,1,2	9133,5451,8647	3,0,74	501	99
263	0,2,3	135,202,113	1,0,5	211,121,159	824	99
268	44,56,22	12,13,11	29,19,35	9,10,11	199	99
269	10,10,10	8,2,2	25,6,17	7,5,8	196	99
270	6,8,8	28,12,8	22,5,14	27,24,34	170	99
271	4,5,2	17,18,11	7,2,5	16,11,12	176	99
273	14,17,12	43,70,35	51,25,46	86,51,89	211	99
275	2,11,2	1,1,0	3,1,2	0,1,1	444	99
276	3,2,1	5,6,3	4,5,1	11,9,24	2158	99
277	222,267,153	0,0,0	348,175,293	14,6,8	590	99
278	5,5,4	663,772,411	2,3,6	855,471,885	178	99
280	1,1,1	34,42,13	2,3,4	13,7,12	306	99
283	18,24,24	68,105,66	15,7,10	44,26,43	186	99
284	22,19,11	17,22,23	18,8,18	30,46,35	1085	99
286	3,3,3	31,39,19	2,0,2	28,14,24	291	99
287	6,11,6	30,37,10	9,0,8	34,28,32	448	99
288	7,9,7	66,62,29	10,0,9	42,21,38	213	99
289	2,3,3	0,1,2	13,4,3	10,5,9	1021	99
290	1,0,0	0,0,2	0,0,0	0,0,1	181	99
291	3,0,1	0,2,0	1,0,0	0,1,3	178	99
292	7,3,1	0,0,3	2,2,1	1,0,0	491	99
293	7,2,1	7,4,7	2,2,1	3,0,10	298	99
294	90,115,44	76,83,29	65,29,43	166,97,165	1925	99
302	8,4,3	0,1,0	21,7,7	2,0,0	280	99
303	8,4,3	141,139,92	21,7,7	107,58,154	284	99
304	9,19,12	1,3,2	52,32,34	16,3,9	509	99
305	0,0,0	151,192,115	0,0,3	117,74,114	175	99
309	18,9,15	9,10,8	18,6,24	12,9,8	565	99
310	13,21,8	0,0,0	12,3,10	9,3,5	436	99
312	207,243,151	7,11,8	364,179,306	9,2,10	262	99
314	0,5,4	0,0,1	2,0,3	0,0,0	175	99
315	3,11,9	0,3,3	6,3,5	2,0,4	259	99
319	16,14,14	178,193,98	16,4,13	295,178,265	428	99
320	7,12,4	9,16,7	10,7,16	10,4,11	318	99
321	5,7,11	2,0,2	4,4,8	6,0,2	275	99
323	8,5,11	73,123,53	7,1,1	85,41,98	228	99
324	17,25,12	125,109,49	24,5,24	119,67,104	183	99
325	10,8,9	58,65,45	12,16,10	50,40,64	189	99
326	23,46,26	33,41,25	37,27,41	34,17,36	330	99
327	91,106,81	5,20,4	101,71,94	1,2,7	420	99
329	7,6,12	81,73,47	6,3,6	32,13,30	189	99
330	3,28,12	213,213,121	6,9,9	73,46,87	179	99
331	15,16,8	313,266,180	11,5,4	118,86,120	172	99
332	7,10,11	376,368,206	8,10,10	147,78,167	324	99
341	10,14,16	11,7,8	34,18,48	12,8,19	171	99
354	229,272,170	8,2,2	451,291,425	10,4,12	301	99
355	168,194,129	1295,1515,817	353,233,352	1499,842,1572	297	99
360	9,1,1	5,1,6	1,6,6	5,5,3	187	99
362	10,16,14	0,1,0	30,8,22	1,1,0	348	99
364	13,21,2	3,0,0	9,6,5	0,0,2	381	99
365	17,31,7	74,72,78	32,19,39	124,84,140	196	99
367	98,113,56	47,50,32	185,103,189	85,53,81	352	99
368	1,0,5	3,11,0	0,4,4	7,3,5	915	99
369	39,47,28	174,169,98	43,32,52	174,104,205	326	99
370	18,18,7	160,164,106	11,7,23	188,130,184	188	99
371	1,2,0	22,39,27	2,0,2	71,44,58	2906	99
372	11,16,10	491,507,297	20,12,18	715,416,772	2015	99
373	47,59,34	23,19,23	77,36,51	34,19,33	2024	99
374	160,166,111	139,152,82	268,150,227	216,112,226	3195	99
375	3,4,6	61,58,52	5,0,5	32,27,40	310	99
376	2,1,2	4,2,3	5,0,3	1,0,1	193	99
379	0,1,3	4,6,4	5,2,1	5,1,7	275	99
384	2,5,0	118,142,98	26,13,23	136,81,144	205	99
385	4,8,5	0,1,1	3,2,5	0,0,0	1028	99
386	7,3,3	25,39,11	6,0,0	11,4,14	401	99
387	10,3,3	14,17,10	11,6,11	3,5,4	306	99
395	102,128,65	0,15,4	58,40,61	12,2,15	1115	99
396	96,106,59	54,53,27	47,32,52	71,54,91	1078	99
397	1,4,1	87,93,53	0,2,0	76,55,107	195	99
398	1,1,7	126,138,85	4,5,10	180,90,184	168	99
399	7,4,1	52,64,37	10,2,16	111,50,97	235	99
400	5,6,2	53,42,22	12,3,8	74,44,87	237	99
401	12,21,11	14,18,17	56,28,63	14,13,10	254	99
404	83,99,34	78,74,58	43,41,50	90,47,79	601	99
405	149,112,79	1,0,0	114,70,92	1,0,0	206	99
406	37,19,14	526,672,367	43,20,32	475,267,450	3876	99
407	3,3,1	28,18,12	4,3,6	13,11,22	183	99
408	8,25,10	5,8,6	17,8,9	7,1,7	984	99
409	7,25,10	47,42,24	15,8,9	35,10,29	981	99
410	11,11,3	1,1,0	25,13,35	11,5,5	190	99
412	75,88,44	1,2,1	96,50,76	10,2,2	321	99
415	9,6,4	150,154,80	5,6,6	118,70,140	340	99
416	1,3,2	24,28,10	4,2,0	28,24,27	192	99
417	1,2,1	347,385,230	2,1,3	369,188,384	331	99
418	8,15,2	34,30,20	4,3,8	8,9,16	876	99
419	6,4,5	2,9,2	21,7,33	2,1,2	1037	99
420	1,3,0	3,8,3	5,2,7	12,9,7	487	99
421	0,0,0	0,1,0	0,1,0	0,0,0	302	99
422	1,3,4	50,45,31	7,0,3	72,33,77	972	99
423	3,7,2	0,0,2	14,6,9	0,0,0	413	99
426	66,64,36	1,0,0	83,36,79	0,0,1	440	99
427	52,50,23	8,4,8	55,24,64	16,2,11	365	99
428	11,8,1	70,92,60	31,7,22	136,52,148	196	99
450	6,2,1	85,63,29	21,6,26	138,91,140	237	99
452	12,4,11	68,95,50	16,7,12	110,64,155	911	99
454	155,154,80	3160,3844,2120	198,124,196	3011,1771,2642	189	99
455	391,432,245	2660,2913,1708	298,155,227	2229,1269,2270	621	99
456	6,7,6	272,280,135	6,5,9	366,230,375	304	99
457	2,3,0	189,255,125	1,2,3	493,264,385	200	99
458	35,27,15	0,1,0	44,29,59	0,0,4	1798	99
459	31,49,24	1547,1816,1223	59,32,60	1951,1062,1777	348	99
460	82,88,61	0,1,1	345,164,305	1,0,0	204	99
461	1,3,0	16,21,7	0,2,8	61,26,66	190	99
463	3,11,6	32,45,26	11,9,7	97,47,94	175	99
464	11,23,8	0,0,0	19,20,16	4,0,0	179	99
465	11,8,5	51,64,41	33,14,45	146,89,149	1116	99
466	4,7,5	4,3,0	4,1,0	3,0,1	186	99
469	50,44,25	8,8,6	44,30,64	12,7,22	487	99
470	50,39,24	7,4,6	43,29,57	14,9,9	475	99
471	53,44,25	438,471,240	47,31,66	613,371,700	500	99
472	13,4,3	630,606,336	8,13,13	917,483,844	169	99
473	26,16,9	6,0,2	16,25,32	5,2,3	175	99
474	3,2,0	103,119,93	2,0,1	105,51,107	211	99
476	21,9,3	2,2,1	28,13,27	10,1,15	1742	99
480	0,0,0	11,17,12	0,0,1	34,16,40	552	99
481	16,26,17	1,5,2	41,25,63	3,6,5	621	99
482	2,6,0	0,0,0	10,3,7	0,0,3	202	99
488	6,2,5	15,45,14	14,10,9	5,6,10	252	99
489	31,29,23	2,1,1	70,43,61	1,0,2	2087	99
490	28,27,22	14,33,25	61,35,53	23,11,24	1870	99
493	27,31,14	220,242,145	60,20,39	304,182,335	307	99
494	29,34,8	31,56,23	24,11,34	84,53,54	3588	99
496	34,58,23	0,0,2	59,52,81	1,0,0	2890	99
497	1,1,1	0,1,1	2,3,1	1,1,2	235	99
498	0,0,0	1,0,2	0,1,0	0,3,0	2395	99
501	0,0,1	1,0,0	1,0,0	1,1,0	428	99
502	0,0,1	0,0,0	0,0,6	1,2,2	272	99
503	3,12,7	2320,2593,1421	15,7,7	2659,1528,2716	202	99
504	23,13,13	2080,2354,1326	18,12,17	2347,1359,2314	194	99
505	397,445,253	3248,3513,2030	632,353,531	4120,2269,3849	1944	99
506	2875,3246,1867	64,62,43	3658,1960,3321	112,37,70	1995	99
507	9,14,14	2,5,7	22,15,13	10,5,12	829	99
508	15,12,7	100,134,65	14,11,21	238,110,203	225	99
509	14,3,6	1748,1969,1086	4,5,0	1948,1175,2055	183	99
519	1,3,0	0,0,0	0,2,2	2,2,1	1050	99
520	2,4,3	33,37,30	5,3,2	51,22,33	419	99
522	21,17,5	1681,2000,1035	9,13,6	1869,1109,1897	390	99
523	33,20,21	1964,2241,1293	31,18,34	1890,1206,1965	320	99
524	34,34,14	126,159,73	47,20,41	114,79,141	410	99
527	81,55,33	486,533,357	64,38,56	666,384,645	416	99
528	24,22,20	396,349,200	18,10,23	407,225,397	185	99
529	11,10,1	0,0,0	9,4,6	0,0,1	2014	99
531	51,53,40	448,488,292	64,33,54	577,331,529	1032	99
533	111,145,64	50,53,23	182,94,121	60,20,56	212	99
534	2,4,4	49,77,41	1,7,9	53,29,52	477	99
536	6,7,3	33,46,22	2,1,2	48,30,77	558	99
537	6,7,3	2,3,3	2,1,2	3,2,9	535	99
538	17,12,9	695,766,476	23,11,19	804,447,752	453	99
539	0,0,2	337,351,170	0,0,0	207,114,197	271	99
541	10,13,5	118,143,90	25,25,26	164,106,181	770	99
545	4,2,5	98,104,76	2,3,2	53,50,64	463	99
546	16,27,16	72,118,53	15,7,29	69,33,40	385	99
547	6,7,4	154,149,130	2,0,1	101,49,108	273	99
550	2,3,2	63,83,61	8,4,2	84,36,75	401	99
551	1,2,0	84,72,39	1,1,0	80,54,95	262	99
557	73,95,57	1,0,0	60,42,42	0,0,2	1049	99
558	11,28,10	17,35,17	20,9,24	65,34,66	193	99
559	1,6,2	7,7,4	2,2,3	2,5,4	182	99
560	1,7,6	86,163,66	2,2,3	131,70,120	197	99
561	2,2,0	43,45,28	4,1,6	38,22,45	2696	99
563	8,15,2	112,101,70	13,12,6	119,68,129	188	99
570	8,10,2	126,134,81	7,10,7	234,111,217	1811	99
571	20,18,6	106,126,56	13,6,21	96,51,147	167	99
581	19,26,19	0,0,0	41,23,21	1,0,1	526	99
583	167,152,105	9,10,2	228,134,214	7,10,9	429	99
584	0,0,2	0,4,0	5,0,2	2,1,4	203	99
585	12,30,9	31,52,20	11,8,4	45,25,33	911	99
586	32,29,11	57,64,38	32,24,31	63,27,53	335	99
587	93,58,32	0,0,0	143,81,128	0,0,2	1305	99
588	62,31,22	59,66,39	112,61,99	31,27,35	994	99
589	20,19,9	80,86,48	34,21,24	48,37,52	335	99
590	144,165,81	0,0,0	409,210,424	0,0,5	1058	99
591	153,178,89	0,2,0	432,218,453	0,2,0	1174	99
592	163,193,94	0,0,0	462,234,483	2,0,0	1236	99
