ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
6	0,2,0	0,1,0	2,2,0	0,0,0	176	99
11	0,3,0	0,0,0	2,1,3	1,0,0	237	99
13	1,0,3	0,0,0	0,0,2	1,0,0	204	99
14	108,123,80	0,0,0	304,146,281	1,0,0	203	99
15	21,39,22	0,0,0	88,44,73	1,0,0	150	99
16	166,186,111	0,0,0	412,235,442	1,0,0	174	99
17	607,683,399	0,0,1	1617,924,1578	19,4,8	965	99
18	651,735,429	0,0,1	1736,1001,1716	19,4,8	947	99
19	0,0,0	0,1,0	1,0,0	6,2,0	235	99
21	99,108,50	1,0,0	120,64,150	0,1,0	223	99
22	96,107,48	0,0,2	131,90,154	3,0,0	223	99
23	13,28,10	1,0,0	27,20,12	0,0,4	133	99
24	1,0,0	0,0,0	0,1,1	2,0,3	133	99
25	12,28,12	0,0,0	30,19,12	1,2,2	133	99
26	0,3,0	0,0,0	1,0,3	2,0,3	166	99
27	122,156,71	1,0,0	186,100,156	0,2,1	166	99
28	44,69,35	1,0,0	80,46,82	0,1,3	166	99
29	32,26,25	1,0,0	67,20,44	0,1,3	276	99
30	110,117,61	0,4,0	175,73,119	1,0,0	276	99
31	109,147,95	8,20,3	66,42,74	1,0,4	252	99
32	110,148,92	1,0,0	58,44,67	0,0,0	287	99
33	86,93,42	0,1,0	38,25,42	2,0,3	147	99
34	17,17,17	63,59,37	33,17,29	125,60,104	264	99
35	4,6,10	2,3,0	22,9,16	5,0,4	264	99
36	159,172,107	2,3,0	374,205,343	5,0,4	297	99
37	107,105,65	7,11,10	226,133,214	23,10,19	297	99
38	100,101,64	0,0,0	218,122,204	0,1,0	297	99
40	109,124,77	0,0,0	261,154,252	1,1,0	297	99
41	62,65,29	7,11,10	161,100,152	23,10,19	163	99
42	4,2,0	0,0,0	7,0,11	0,1,0	163	99
44	119,129,71	7,4,1	310,183,288	8,11,11	163	99
45	45,56,31	0,0,0	120,55,103	0,0,1	163	99
46	1,0,0	7,4,1	1,2,2	8,11,11	220	99
47	3,0,1	0,1,0	1,3,4	1,0,1	220	99
48	3,0,1	77,76,40	1,3,5	194,129,192	220	99
