ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	5,5,4	0,2,0	7,2,2	0,0,0	117	99
2	3,2,0	28,51,27	0,1,0	35,36,37	123	99
4	0,1,5	0,0,2	2,1,0	0,0,0	140	99
6	6,9,7	12,18,9	6,4,1	10,6,8	182	99
8	0,1,1	16,34,7	3,0,1	35,19,15	117	99
9	23,35,10	0,0,3	41,28,29	0,1,1	135	99
12	1194,1359,805	8,16,0	1294,760,811	0,0,0	104	99
13	2,4,0	1,0,0	3,6,2	2,0,0	101	99
19	8,12,8	1,0,1	6,3,6	1,1,0	198	99
20	98,93,58	2,3,0	68,63,64	0,0,0	198	99
21	0,9,1	256,241,148	4,3,1	362,217,176	150	99
22	14,19,8	1,0,1	10,7,4	0,0,3	198	99
23	0,0,1	37,37,28	0,0,0	34,17,15	102	99
25	22,32,7	7,15,4	31,16,8	14,10,6	101	99
30	141,174,111	160,201,115	150,114,101	186,133,110	101	99
33	6,1,0	19,26,19	5,5,2	14,7,16	198	99
34	6,6,1	12,30,13	1,7,4	20,15,14	198	99
35	24,18,9	1,2,1	16,11,13	1,3,1	198	99
36	0,1,0	22,15,9	0,0,0	16,9,11	115	99
37	24,14,11	3,0,0	15,12,14	0,2,1	102	99
38	36,38,22	0,0,0	33,21,21	0,1,2	197	99
39	0,0,1	0,2,0	1,0,2	2,0,0	124	99
47	95,102,57	68,67,50	81,57,74	70,43,45	101	99
48	156,217,113	21,25,14	166,130,104	45,19,13	110	99
49	148,164,100	0,5,2	167,107,93	0,0,0	119	99
58	2,6,2	63,58,37	0,2,0	88,39,24	127	99
59	65,65,57	1,2,0	73,43,41	0,0,0	128	99
60	112,129,71	0,0,0	103,78,65	0,6,0	198	99
61	0,2,0	3,2,0	0,0,1	1,0,0	154	99
63	0,0,0	10,9,11	1,0,0	6,7,6	145	99
65	1,2,0	6,9,4	0,0,3	5,4,1	198	99
67	68,79,39	1,4,0	86,33,44	1,0,0	101	99
68	15,33,8	9,5,1	12,7,8	5,3,0	101	99
69	2,4,2	0,0,0	0,0,0	1,0,3	146	99
71	0,1,1	28,23,25	0,0,1	30,16,17	118	99
72	23,33,14	1,0,0	26,18,11	5,0,1	123	99
73	36,39,33	3,0,0	42,38,15	1,0,2	151	99
74	418,473,299	34,35,23	522,417,282	35,22,16	132	99
76	79,73,47	57,35,17	78,56,38	55,37,28	101	99
77	0,2,3	113,124,87	2,0,1	100,92,73	183	99
78	0,1,1	0,0,1	1,1,1	0,4,1	132	99
79	0,1,2	0,0,0	1,1,0	0,5,0	132	99
95	1,0,0	0,2,0	2,4,7	0,2,0	101	99
99	30,37,15	0,1,0	10,11,16	0,0,0	186	99
102	68,83,49	0,2,0	70,40,40	0,0,0	198	99
103	32,21,14	1,1,0	38,24,11	0,1,0	115	99
104	1,2,0	68,67,37	3,0,0	103,41,46	163	99
105	1,2,0	70,67,37	3,0,0	69,58,54	163	99
106	2,6,2	1,4,0	1,5,1	0,1,0	198	99
109	77,97,75	0,2,0	101,54,56	0,0,0	165	99
110	67,70,37	1,0,0	55,66,38	0,0,1	198	99
113	0,1,0	111,109,84	0,0,0	107,64,68	198	99
114	1,2,0	6,5,1	2,0,0	1,2,2	148	99
119	23,26,17	6,14,3	31,16,25	18,10,2	101	99
122	101,159,65	180,191,134	159,94,88	166,151,125	198	99
123	74,84,69	5,4,2	98,58,36	1,2,1	110	99
124	0,0,0	89,80,68	2,0,0	76,54,54	181	99
126	1,1,5	98,107,49	7,1,0	62,81,42	120	99
127	3,0,2	25,24,12	1,4,2	27,21,19	132	99
128	0,0,1	1,0,0	1,0,1	0,0,0	101	99
129	1,3,1	0,0,0	3,1,1	5,3,0	101	99
131	132,184,98	0,0,1	120,111,101	1,0,0	110	99
132	104,129,88	38,25,23	103,82,61	46,24,23	101	99
133	117,139,90	1,0,0	133,84,76	0,0,0	153	99
