ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	4,14,7	0,0,0	3,3,5	2,1,0	198	99
3	2,3,0	7,11,2	5,0,3	20,10,6	198	99
4	69,79,43	1115,1285,730	66,39,47	1301,800,719	184	99
5	103,111,55	1976,2197,1234	83,81,54	2232,1614,1202	198	99
6	13,17,12	92,99,59	17,10,12	81,69,62	198	99
7	0,0,0	111,173,59	1,0,0	141,84,65	198	99
8	2,0,0	12,12,7	0,0,0	9,6,4	198	99
9	8,8,0	86,118,55	8,5,7	111,107,68	190	99
14	0,2,1	32,37,20	0,1,1	24,13,14	198	99
15	10,15,12	20,37,6	8,5,5	20,14,14	194	99
16	2,5,0	11,18,16	0,2,2	20,22,14	198	99
17	3,2,1	19,22,13	0,0,3	13,18,12	175	99
18	3,8,3	143,150,79	2,3,1	160,84,100	198	99
22	0,0,0	1,0,3	0,1,1	1,2,0	198	99
25	0,0,1	22,20,1	3,0,0	19,9,13	195	99
26	6,2,0	8,19,11	1,0,2	9,7,7	198	99
28	0,0,0	42,27,23	0,0,1	31,27,20	198	99
31	32,32,16	112,176,90	28,18,18	104,96,80	198	99
32	2,2,2	17,14,10	1,1,0	10,7,9	198	99
33	1,3,3	21,15,10	1,2,0	6,11,7	178	99
34	3,0,1	18,20,17	1,0,0	9,21,8	177	99
35	0,0,0	20,16,4	1,0,0	9,4,9	198	99
36	0,0,0	16,22,9	0,0,1	11,7,3	173	99
39	31,17,11	214,284,155	13,8,12	195,137,122	177	99
40	7,10,2	1,0,0	2,6,6	0,2,0	198	99
44	0,1,8	4,4,0	1,2,7	0,1,1	174	99
45	0,0,0	0,1,0	0,3,0	0,0,0	198	99
47	0,0,2	74,89,77	0,0,0	127,119,68	198	99
48	7,3,3	1,0,1	7,1,4	0,0,0	190	99
49	0,0,1	0,0,0	2,1,5	1,0,0	198	99
50	16,1,3	315,370,199	6,4,5	423,205,213	198	99
51	26,26,19	66,85,46	21,16,20	66,41,43	198	99
54	10,5,5	47,64,24	14,10,6	46,36,39	198	99
57	1,2,0	0,8,0	1,0,1	2,1,0	176	99
58	2,0,1	132,164,95	2,0,0	170,97,117	198	99
59	5,5,3	20,15,9	1,3,6	14,12,13	198	99
60	0,4,0	47,57,26	2,0,0	42,37,30	198	99
61	3,0,1	7,7,6	2,1,0	6,4,2	198	99
62	0,3,1	414,430,216	6,2,0	428,319,293	194	99
63	0,0,0	324,337,154	2,0,0	400,349,237	182	99
67	0,1,0	26,33,37	0,0,0	33,31,26	177	99
69	1,2,4	44,69,23	2,1,0	38,32,21	198	99
70	113,125,64	6,7,2	91,52,55	3,0,3	188	99
71	1,9,4	25,24,12	4,4,2	27,21,19	198	99
72	1,9,4	2,0,2	3,2,1	0,2,1	198	99
73	1,2,2	102,129,87	2,1,0	101,77,61	198	99
74	3,2,3	38,25,23	4,6,0	46,24,23	198	99
75	34,46,32	2,0,1	39,36,29	0,0,2	198	99
76	3,4,0	1,2,0	6,5,3	0,1,1	198	99
77	0,2,0	32,32,21	0,0,0	29,23,19	198	99
78	19,14,7	24,44,26	23,7,11	26,16,18	198	99
79	0,2,0	41,42,17	2,0,1	35,17,17	185	99
80	0,3,2	51,50,25	0,0,2	59,38,35	198	99
96	10,4,1	213,272,157	8,2,5	236,194,165	198	99
97	6,7,0	189,207,123	8,3,7	194,167,97	198	99
98	79,60,47	67,84,34	63,39,61	86,65,47	198	99
111	8,5,6	203,218,157	6,3,5	196,144,105	198	99
112	374,403,242	4,0,1	349,296,228	0,1,0	198	99
114	3,8,6	142,180,87	3,2,3	140,83,73	198	99
116	4,10,7	1,0,0	8,5,2	1,0,0	198	99
121	11,13,2	1,4,0	17,14,14	2,1,2	173	99
122	2,5,2	67,88,51	12,4,3	65,64,51	198	99
