ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	1,0,0	0,2,0	1,0,0	0,0,0	153	99
4	32,51,24	76,103,54	51,44,38	108,81,57	117	99
5	69,82,53	0,0,1	87,75,51	0,0,0	187	99
8	55,52,34	2,0,1	51,26,41	1,2,0	139	99
9	1007,920,583	0,1,0	1146,751,788	0,0,0	220	99
10	1462,1759,944	3,1,1	1653,1130,1083	2,1,1	285	99
11	82,98,53	2,3,3	88,46,58	2,0,1	285	99
12	230,249,135	19,34,14	237,147,141	13,12,15	163	99
13	10,16,9	91,122,55	17,8,3	102,65,63	155	99
14	3,2,1	18,34,10	1,2,1	29,19,24	323	99
15	2,2,1	0,0,0	1,2,1	1,2,2	323	99
16	122,143,78	1,3,4	150,96,91	0,0,0	242	99
18	8,14,13	3,2,3	7,13,10	8,2,9	103	99
25	15,20,16	3,4,5	10,11,13	8,3,5	105	99
26	66,59,49	1,2,1	45,55,33	0,1,0	211	99
27	149,161,94	0,0,1	165,100,101	0,0,2	108	99
30	29,67,24	148,157,111	45,28,19	164,116,65	154	99
31	1,1,0	103,136,80	0,0,1	100,65,75	111	99
33	7,8,7	0,1,0	6,3,3	0,0,0	483	99
35	77,113,41	1,1,2	120,57,34	4,0,0	108	99
37	9,8,4	41,39,25	11,15,15	84,59,54	412	99
38	9,8,4	0,0,0	10,15,15	6,0,4	412	99
41	2,1,0	16,19,3	2,0,0	16,4,13	155	99
46	8,3,9	52,59,46	20,13,4	69,59,47	161	99
49	45,63,44	51,51,32	48,32,44	56,43,29	111	99
51	45,36,19	0,0,0	55,37,26	0,0,1	147	99
52	111,103,56	70,67,37	158,78,69	69,58,54	147	99
54	199,234,108	0,7,3	226,162,129	0,0,0	241	99
55	167,202,132	40,25,15	170,169,114	41,23,21	132	99
56	148,230,85	26,12,11	208,146,137	17,13,16	102	99
57	7,11,0	18,18,4	7,7,8	11,7,13	127	99
58	49,25,13	0,0,0	28,21,28	1,0,1	350	99
59	43,54,34	17,12,10	65,36,27	15,14,8	111	99
60	501,486,294	0,2,0	588,427,338	0,0,0	137	99
61	397,429,228	0,0,0	519,369,316	0,1,0	282	99
62	1,2,0	25,54,34	0,0,0	39,29,26	179	99
64	111,125,108	1,0,0	125,76,65	0,0,0	165	99
65	17,20,15	9,17,6	29,39,19	18,12,8	124	99
67	575,613,397	0,0,1	649,427,397	0,0,4	125	99
70	97,154,105	3,9,2	132,61,80	7,2,2	1032	99
71	179,217,108	41,49,32	200,182,144	66,71,40	111	99
74	21,38,25	4,2,8	16,26,7	3,3,3	230	99
75	0,0,2	23,23,18	0,5,5	28,19,19	176	99
77	0,4,3	1,0,0	0,0,0	0,0,1	109	99
78	0,0,0	36,66,45	0,0,2	70,43,37	125	99
80	4,3,1	49,54,37	5,2,6	27,26,21	134	99
82	0,5,1	26,41,16	5,1,0	29,22,27	104	99
85	4,5,1	0,2,0	2,2,1	0,0,0	170	99
88	115,107,50	3,0,2	90,80,82	0,2,0	286	99
91	0,2,1	17,24,18	1,0,0	30,21,9	192	99
93	601,798,440	14,30,8	769,567,478	11,8,4	165	99
94	0,1,1	27,37,35	5,2,0	60,54,35	260	99
95	96,51,36	3,0,2	85,57,66	1,0,0	216	99
96	311,292,163	3,0,2	381,265,219	1,0,0	381	99
97	220,247,128	5,6,1	297,211,156	1,3,3	264	99
98	91,45,35	0,0,0	87,54,63	0,1,1	216	99
99	323,413,210	17,32,5	394,277,265	20,14,9	177	99
104	6,9,2	39,65,31	2,6,7	64,41,36	1118	99
105	91,73,44	76,89,47	75,78,60	78,56,44	126	99
106	96,120,64	0,2,1	88,70,56	0,1,1	1019	99
108	1,1,0	2,0,0	0,2,1	6,0,1	145	99
109	1,1,0	118,127,61	0,2,1	98,82,53	172	99
110	2,0,0	118,127,61	6,0,1	98,82,53	126	99
111	3,1,2	0,0,0	3,4,1	0,1,0	239	99
115	178,225,118	23,21,12	167,130,94	11,14,9	105	99
121	2,3,2	3,5,1	2,4,1	3,5,1	128	99
123	134,158,79	1,6,0	164,123,108	4,2,0	2361	99
124	55,85,53	2,1,1	90,66,51	1,0,1	111	99
125	45,50,35	2,0,0	73,42,39	0,0,0	1264	99
126	46,50,37	0,0,0	75,47,39	1,2,0	1297	99
127	3,0,2	0,0,0	2,5,0	1,2,0	132	99
128	6,4,5	13,11,7	13,9,6	28,14,14	132	99
129	469,492,277	0,0,1	554,350,311	0,0,2	291	99
130	155,164,69	6,11,5	177,109,110	9,7,2	287	99
131	11,10,3	46,62,25	16,8,10	59,39,41	186	99
132	222,206,147	0,0,0	274,170,141	0,0,1	327	99
133	360,343,229	0,0,0	411,267,206	1,0,1	836	99
134	11,6,7	4,6,5	14,9,1	5,0,2	146	99
135	236,263,130	3,0,0	284,188,152	4,0,3	253	99
136	255,294,138	0,0,0	297,200,160	0,0,1	982	99
137	294,312,187	2,2,3	264,164,155	0,0,0	576	99
138	47,37,29	5,8,2	33,17,24	1,1,0	302	99
139	59,61,44	0,1,4	49,26,40	0,0,0	996	99
140	4,2,2	2,5,9	5,2,8	9,11,16	103	99
141	4,4,1	16,19,5	7,4,5	25,16,21	539	99
149	1781,1956,1132	1,0,0	1710,1094,933	0,0,0	1279	99
150	61,58,42	3,7,1	80,53,48	0,0,1	124	99
151	0,5,1	8,22,8	5,1,0	18,10,4	113	99
155	138,146,96	4,8,3	201,155,108	2,8,2	539	99
157	37,39,34	15,31,12	52,55,38	23,18,15	625	99
160	1789,1790,1157	0,3,0	1935,1512,1154	3,0,1	404	99
161	5353,6001,3434	2,0,0	6523,4721,3660	0,0,0	482	99
162	13,12,10	0,0,0	15,11,4	0,4,0	267	99
165	191,241,121	2,6,0	175,152,120	2,4,3	159	99
166	3,10,3	47,27,21	7,3,3	30,29,31	163	99
167	1,1,2	64,60,40	1,2,0	58,48,35	154	99
168	0,0,0	5,6,4	0,2,0	10,10,6	141	99
171	8,30,11	2,2,2	15,8,12	5,5,0	176	99
172	1,1,0	40,49,27	0,0,0	48,31,23	222	99
173	8,9,7	23,25,3	11,8,9	25,19,9	178	99
175	96,97,48	1,0,0	109,53,65	3,2,0	201	99
176	0,0,0	0,0,1	0,1,0	0,2,3	155	99
178	87,114,54	14,14,15	92,62,54	10,12,4	528	99
179	5,11,6	396,417,227	16,11,7	302,191,191	288	99
180	17,18,8	0,2,0	17,9,18	0,0,0	444	99
181	19,16,8	0,0,0	13,13,17	1,0,0	313	99
182	2,11,4	0,0,0	8,2,6	1,0,0	230	99
186	27,21,14	8,14,2	43,23,15	38,27,22	498	99
187	3,0,2	20,35,21	0,4,0	36,25,19	104	99
188	27,33,28	35,57,15	32,17,22	27,30,24	275	99
