ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	175,102,172	205,113,210	58,62,52	61,53,74	198	173
1	0,2,0	80,36,66	0,0,0	135,113,139	132	165
2	133,71,115	161,100,152	75,75,92	80,85,77	198	162
3	20,20,24	157,101,148	22,20,28	79,84,77	198	162
4	0,1,5	3,0,1	1,2,4	0,0,2	198	186
5	162,83,136	13,3,15	73,34,51	9,0,4	198	121
6	1,1,7	1,0,1	0,0,0	0,0,1	198	198
7	129,65,111	253,162,300	55,50,40	100,73,62	198	191
8	4,0,1	253,162,300	0,0,1	100,73,62	198	191
9	132,67,108	696,365,651	122,75,100	585,479,525	130	180
10	74,58,65	163,91,164	36,41,55	103,87,80	150	172
11	4,1,5	172,88,206	1,0,4	113,101,107	172	175
12	140,71,107	171,88,207	73,69,65	116,100,109	172	175
13	159,100,163	208,152,260	107,94,87	150,128,154	175	169
14	24,19,27	58,49,78	20,16,20	48,30,43	198	198
15	408,222,416	2,2,0	339,300,415	2,4,3	198	198
16	54,29,60	35,16,27	23,10,17	18,11,11	191	167
18	8,4,2	23,7,23	11,10,11	55,26,43	168	159
19	6,4,8	1343,800,1468	13,7,12	1091,903,1062	183	183
20	5,3,5	1085,579,1006	8,4,3	836,639,805	183	198
21	801,450,979	1086,579,1006	659,501,673	836,637,805	183	198
22	871,507,858	706,384,595	736,491,739	527,428,543	198	198
23	841,477,853	1056,592,997	712,537,639	798,636,775	169	187
24	1463,821,1552	1049,650,1152	1216,926,1142	947,726,877	187	183
25	24,4,18	3,0,0	8,1,6	2,0,0	198	198
26	25,4,17	9,4,4	8,1,6	2,1,5	198	198
27	364,152,298	561,329,519	204,185,170	322,266,318	172	198
28	8,5,8	61,22,50	2,4,5	24,25,30	125	198
29	47,25,52	8,5,4	23,20,10	3,1,3	198	198
30	10,1,2	3,1,9	0,0,0	3,1,4	198	198
31	16,10,10	79,41,88	5,5,7	45,26,36	125	198
32	80,38,98	56,30,35	65,50,47	39,35,46	189	160
33	75,38,98	56,30,35	66,50,47	39,35,46	198	160
34	24,8,16	364,146,327	27,24,18	247,233,224	172	198
35	13,8,16	7,6,9	11,16,25	22,11,13	163	198
36	10,7,13	2,0,0	10,16,25	2,1,4	163	198
37	0,1,0	2,0,0	1,1,0	2,1,4	198	198
38	14,6,9	4,1,4	17,24,8	2,0,1	198	198
39	0,1,0	4,1,4	1,1,0	2,0,1	163	198
42	259,111,216	268,134,237	171,82,127	117,85,101	164	198
43	0,0,1	716,416,645	0,0,1	444,423,518	134	198
44	3,3,2	0,0,0	5,4,3	0,0,2	157	134
45	5,1,3	1,5,1	6,3,3	1,1,4	198	198
46	1,0,0	1,1,0	1,0,0	0,2,0	198	173
47	1,1,0	1,1,0	0,0,1	0,2,0	198	173
48	2,0,0	0,0,0	0,0,0	0,2,0	198	173
49	29,22,41	42,35,42	19,10,18	32,20,23	198	186
50	0,4,1	42,35,42	0,0,1	32,20,23	198	186
51	0,0,0	1,0,0	0,1,0	0,1,3	198	198
55	360,178,410	779,399,662	117,83,88	253,168,219	198	162
58	26,13,24	9,2,9	96,71,90	39,39,72	168	198
59	308,138,252	117,59,95	95,69,87	49,27,31	198	198
60	6,4,3	9,8,6	0,3,2	12,10,14	145	168
61	3,1,8	7,3,17	4,3,4	9,7,11	176	198
66	278,165,259	432,240,497	213,164,222	366,243,325	198	198
67	93,43,101	0,0,2	52,40,39	0,0,0	198	171
68	1,0,0	73,38,56	0,0,0	42,31,52	150	198
69	0,2,2	171,84,141	0,0,0	102,59,61	192	160
70	99,40,109	35,25,43	49,44,46	22,17,19	131	159
71	88,26,62	4,1,2	28,19,13	1,0,0	142	164
72	65,51,76	104,62,114	40,50,56	77,84,63	198	198
73	98,61,88	190,83,193	84,56,64	138,83,101	198	198
74	0,0,1	153,84,143	0,1,0	115,98,99	198	198
75	104,61,115	159,96,149	77,84,63	116,100,103	198	198
76	191,83,193	153,75,103	138,82,101	79,48,75	198	198
77	67,49,62	244,128,237	28,10,26	67,56,67	198	198
78	67,49,62	5,5,5	28,10,26	0,2,2	198	198
79	60,24,66	24,11,19	12,14,14	8,6,2	198	198
80	60,24,66	263,134,251	12,14,14	75,60,67	198	198
81	47,22,38	300,177,324	41,40,27	262,217,219	198	198
82	22,11,22	26,9,16	24,12,15	17,2,11	198	198
84	28,15,6	14,11,10	13,9,14	7,5,5	198	193
85	10,3,1	20,10,11	4,5,4	9,16,9	198	168
86	10,3,1	1,0,2	4,5,4	1,0,0	198	198
87	38,13,24	46,36,48	16,17,20	24,16,27	198	198
88	36,35,40	449,254,461	14,18,12	225,215,231	150	198
89	619,304,637	449,254,461	350,239,349	225,215,231	184	198
90	296,154,261	4,1,2	138,113,152	0,0,0	193	198
91	4,0,7	5,11,5	2,3,6	9,1,3	198	198
105	160,84,159	1,0,0	128,98,126	0,0,0	198	198
106	28,8,14	9,10,20	14,16,5	4,3,2	159	154
107	51,28,45	49,29,52	31,29,40	55,28,39	198	166
108	83,41,73	2,0,6	74,52,58	4,2,0	198	198
109	82,41,73	99,57,87	74,52,58	76,61,63	198	198
110	96,33,93	7,2,6	67,42,68	1,1,6	194	198
111	95,33,98	59,33,79	71,44,68	52,45,61	194	198
112	2,4,4	0,0,0	3,3,5	3,2,1	198	153
113	1,0,1	2,4,0	3,3,0	7,0,3	198	198
115	114,56,84	237,176,258	34,41,32	108,70,93	198	197
116	74,56,73	53,33,58	68,65,69	68,47,64	198	198
117	25,13,29	36,19,58	20,19,16	27,23,26	198	191
118	245,142,311	2,1,1	186,188,197	2,1,0	198	126
119	202,98,174	181,103,163	141,132,159	147,121,138	198	198
120	2,0,1	2,1,5	1,7,0	4,9,1	198	133
121	4,1,0	2,1,5	5,4,3	4,9,1	198	133
123	67,34,81	111,59,104	43,40,42	102,68,72	135	197
124	53,28,70	84,60,99	40,38,37	71,51,76	135	193
125	9,4,1	84,60,99	5,0,1	71,51,76	197	193
126	84,48,81	96,67,110	84,71,62	74,53,80	197	193
127	15,5,11	43,26,53	4,2,5	20,27,28	193	156
128	107,54,102	48,27,54	96,68,69	20,27,28	193	156
129	14,7,8	60,31,54	3,4,6	29,25,27	198	165
136	0,1,1	40,43,76	0,1,0	26,26,33	198	198
137	5,2,1	3,1,0	2,3,0	1,0,0	198	198
138	15,19,15	109,81,142	14,17,15	133,126,128	198	159
139	208,121,244	111,82,145	245,202,263	134,127,128	198	159
140	83,57,114	81,37,89	122,95,119	103,111,113	135	198
141	348,242,358	68,33,53	483,352,413	72,62,55	198	153
142	0,0,1	0,0,1	0,1,1	0,0,0	153	189
143	50,22,55	0,1,0	61,67,70	0,0,1	153	189
144	120,105,137	265,139,206	111,78,112	178,140,164	180	175
145	35,26,44	8,7,12	15,22,14	1,5,3	198	129
146	174,91,179	138,107,130	98,97,98	85,84,81	198	192
147	29,9,33	67,23,54	28,19,14	28,39,36	175	156
148	91,50,76	60,18,48	45,58,62	24,39,32	167	156
149	91,50,76	4,3,0	45,58,62	0,2,0	167	175
150	98,50,76	83,41,68	48,58,65	66,39,42	167	175
151	122,55,108	46,15,47	79,78,74	22,28,31	167	158
152	26,10,28	40,14,40	16,10,9	16,26,28	167	158
153	54,26,59	5,4,4	36,31,47	2,0,0	198	167
154	20,18,23	5,6,3	18,7,19	2,0,0	198	167
