ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
11	2,1,3	1,0,0	0,0,0	1,0,0	198	99
14	300,140,275	1,0,0	87,87,103	0,0,1	198	99
15	88,44,73	1,0,0	26,35,18	0,0,1	149	99
16	412,235,442	1,0,0	132,111,155	0,0,0	173	99
17	274,142,256	19,4,8	100,89,92	2,0,0	198	99
18	401,228,412	19,4,8	131,120,133	2,0,0	198	99
19	0,0,0	6,2,0	0,3,0	0,0,0	198	99
20	107,60,135	0,1,0	221,198,216	0,2,2	198	99
21	118,86,139	3,0,0	206,185,227	4,7,3	198	99
22	27,20,12	0,0,4	47,39,53	0,0,3	132	99
23	0,1,1	2,0,3	0,0,2	1,2,0	132	99
24	30,19,12	1,2,2	51,44,54	2,3,13	132	99
25	1,0,3	2,0,3	3,7,4	1,2,0	165	99
26	186,100,156	0,2,1	304,267,328	0,0,0	165	99
27	80,46,82	0,1,3	132,127,148	0,0,3	165	99
28	3,3,3	0,1,3	5,0,1	0,0,3	198	99
29	111,56,78	1,0,0	183,148,189	6,8,4	198	99
30	54,34,62	1,0,4	32,25,54	2,1,1	198	99
31	20,9,23	0,0,0	10,3,13	0,0,2	172	99
32	50,35,55	0,0,0	51,22,26	0,0,1	198	99
33	38,25,42	2,0,3	41,20,35	0,1,0	146	99
34	12,9,16	125,60,104	16,13,17	67,66,81	198	99
35	1,1,3	5,0,4	2,2,0	1,1,0	198	99
36	281,143,244	5,0,4	168,156,194	1,1,0	198	99
37	133,71,115	23,10,19	75,75,92	0,7,13	198	99
38	125,60,105	0,1,0	67,66,81	0,0,0	198	99
40	168,92,153	1,1,0	115,101,130	0,0,0	198	99
41	161,100,152	23,10,19	80,85,77	0,7,13	162	99
42	7,0,11	0,1,0	12,2,0	0,0,0	162	99
44	310,183,288	8,11,11	180,172,190	8,9,11	162	99
45	120,55,103	0,0,1	85,70,80	0,0,0	162	99
46	0,0,2	8,11,11	0,2,3	8,9,11	198	99
47	0,1,4	1,0,1	1,0,1	0,0,1	198	99
48	0,1,5	194,129,192	1,2,4	107,103,112	198	99
49	3,0,1	194,129,192	0,0,2	107,103,112	186	99
50	2,0,1	0,0,2	0,0,1	0,2,3	186	99
51	297,182,262	0,1,0	165,162,212	0,0,0	189	99
52	282,183,254	0,0,1	173,164,210	0,0,0	189	99
