ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1,2,0	1,0,0	0,2,1	1,0,0	4783	99
2	36,34,55	4,4,6	26,16,24	0,1,0	842	99
3	4,4,2	10,6,14	1,1,5	7,7,6	266	99
4	92,42,84	874,507,858	43,14,30	735,491,739	185	99
5	150,89,173	1511,866,1847	80,56,60	1310,1022,1136	274	99
6	78,31,67	96,60,87	56,33,45	77,62,100	657	99
7	0,0,2	146,76,165	3,0,0	113,78,110	545	99
8	2,3,9	14,9,16	2,1,0	10,8,12	1447	99
9	7,11,13	226,108,217	9,5,6	91,56,68	191	99
14	1,2,1	78,40,50	1,0,1	27,25,33	215	99
15	13,7,19	39,34,43	12,6,3	34,18,23	195	99
16	2,1,3	53,18,42	4,1,2	27,21,17	237	99
17	5,0,6	27,20,25	1,2,1	24,21,14	176	99
18	49,26,33	111,52,84	27,20,22	114,87,117	1792	99
22	1,0,0	0,0,0	0,0,3	2,0,0	1171	99
25	0,4,4	19,4,16	2,1,3	5,10,6	196	99
26	4,3,2	23,6,20	4,4,2	4,1,4	446	99
28	4,2,5	109,59,78	5,1,4	48,57,63	850	99
30	189,125,191	4,1,2	103,77,97	0,0,0	283	99
31	43,39,40	286,203,322	22,19,18	153,120,169	237	99
32	1,0,1	11,2,15	0,0,0	4,3,7	347	99
33	0,2,0	14,6,12	1,0,0	18,7,13	179	99
34	0,0,0	19,5,15	0,1,0	5,1,11	178	99
35	1,0,0	3,3,4	3,0,0	6,6,5	379	99
39	27,17,19	278,123,274	18,6,25	241,155,231	178	99
40	72,30,65	0,1,0	18,19,29	0,0,1	1412	99
44	2,0,5	1,0,0	8,4,5	5,2,0	175	99
47	0,0,1	59,42,104	0,0,2	79,60,77	309	99
48	2,0,1	3,1,0	4,0,2	1,0,2	191	99
49	3,1,2	0,1,1	0,0,1	1,1,2	492	99
50	25,8,22	100,54,92	23,16,20	155,130,169	704	99
51	57,37,52	60,36,90	61,63,58	50,34,46	998	99
54	60,39,57	92,51,99	18,21,21	40,24,20	582	99
57	1,1,3	2,3,2	0,0,0	2,0,0	177	99
58	1,0,2	131,80,106	5,0,0	148,57,117	1030	99
59	13,0,4	34,23,40	1,2,3	13,22,14	244	99
60	4,1,3	70,41,77	1,2,0	66,25,55	1048	99
61	0,1,0	7,3,5	1,0,2	2,0,1	386	99
62	12,4,6	425,247,451	5,4,5	541,415,517	195	99
63	1,0,0	338,223,374	0,1,0	519,339,510	183	99
67	0,0,1	63,35,52	0,0,0	32,36,25	178	99
69	9,3,5	63,39,54	5,1,0	48,33,25	372	99
70	147,75,120	5,1,2	100,76,81	7,5,4	189	99
71	4,0,2	11,14,20	7,4,1	17,17,16	427	99
73	7,5,11	224,122,185	5,11,9	104,92,119	1586	99
74	11,7,16	58,50,59	6,13,11	43,35,37	1589	99
76	23,11,19	0,1,0	9,1,4	0,1,1	734	99
77	1,0,0	42,24,40	1,0,1	3,3,7	297	99
78	28,22,24	26,14,8	15,7,15	18,7,9	942	99
79	0,0,1	31,28,33	0,1,0	44,20,19	186	99
80	8,5,7	77,41,49	5,11,1	67,34,54	776	99
96	8,7,15	339,210,404	10,2,12	284,200,244	379	99
97	24,2,16	273,157,292	10,5,13	204,127,174	202	99
98	112,69,87	131,75,122	86,56,98	80,45,79	290	99
102	2435,1370,2377	0,0,15	1520,1091,1324	0,0,0	523	99
106	1,0,0	0,0,0	0,0,0	0,0,1	320	99
107	0,0,0	1,1,0	2,0,0	0,0,0	3047	99
110	10,2,12	1,0,0	5,4,7	0,0,0	203	99
112	14,12,8	425,235,396	11,11,12	210,119,165	419	99
113	1102,551,1062	2,2,2	550,319,438	0,0,0	300	99
114	77,34,50	0,0,0	49,35,46	0,0,1	958	99
115	28,15,21	245,121,203	23,16,29	122,71,108	915	99
117	158,96,125	3,0,4	49,35,67	0,0,1	1972	99
122	7,9,3	3,0,0	4,7,8	1,0,0	174	99
123	54,29,37	116,58,111	30,31,21	87,58,66	2289	99
124	76,50,66	414,229,365	65,64,69	499,409,441	614	99
125	9,2,10	33,24,31	2,1,3	4,6,5	1146	99
126	24,4,20	14,13,27	2,3,6	22,10,15	1179	99
127	47,25,33	100,53,99	16,25,12	111,84,91	209	99
128	14,19,19	6,1,9	24,17,18	5,8,3	488	99
129	12,18,19	81,42,83	23,15,17	85,62,82	483	99
136	383,204,417	103,63,73	103,52,53	71,48,64	217	99
137	320,151,247	381,173,350	54,34,68	179,125,151	548	99
138	54,41,41	477,243,501	16,8,19	230,120,204	225	99
139	247,144,233	0,1,0	100,55,94	0,0,0	962	99
140	385,194,371	33,5,33	181,89,154	22,17,23	781	99
141	155,85,142	305,150,286	61,29,60	148,121,118	730	99
142	87,79,107	332,217,348	23,14,15	190,170,202	352	99
143	81,73,90	12,4,5	25,14,15	1,0,2	506	99
144	34,23,44	379,235,356	11,5,14	201,168,193	215	99
145	112,55,88	0,2,0	39,15,42	0,0,0	944	99
146	9,2,9	21,7,13	7,7,4	15,3,13	179	99
147	54,24,38	0,1,0	23,19,16	2,0,0	873	99
148	21,16,16	64,37,59	15,11,12	23,21,24	411	99
168	7,1,7	4,1,5	1,3,5	8,2,2	891	99
170	47,17,31	1619,926,1449	31,15,27	1380,1245,1350	1146	99
171	6,1,2	1340,819,1088	5,6,5	1132,945,1085	183	99
172	10,8,18	128,61,139	9,7,11	122,88,92	220	99
174	30,8,14	25,14,26	15,20,18	26,14,22	421	99
175	21,4,7	77,38,65	2,6,7	76,43,57	242	99
177	70,28,55	931,518,1159	55,29,52	990,737,833	859	99
179	1,2,3	266,147,288	5,5,5	138,128,135	279	99
182	24,7,10	58,40,68	14,11,13	73,49,59	376	99
183	3,0,8	1933,1152,1823	5,3,5	2169,1707,2085	200	99
186	5,1,1	0,0,1	1,0,1	0,2,0	1040	99
190	129,88,143	1,2,4	117,104,170	1,0,2	199	99
191	32,21,31	2549,1439,2488	33,16,60	2427,1695,2460	262	99
192	106,62,109	1869,922,1708	61,55,74	1484,1051,1415	308	99
194	65,30,63	2,0,2	39,23,29	0,0,0	1347	99
195	0,0,0	8,5,7	2,0,0	5,1,1	458	99
196	0,0,2	16,2,18	0,0,0	5,4,7	593	99
197	7,7,11	71,61,68	5,3,1	33,39,46	362	99
229	17,14,12	11,1,6	10,6,10	1,4,3	236	99
233	0,3,0	0,0,0	0,0,2	0,2,0	918	99
234	1,0,2	40,18,35	1,4,7	47,24,49	170	99
236	2,3,1	19,12,20	1,2,0	8,9,9	305	99
237	5,1,4	64,40,84	2,1,5	54,33,56	332	99
238	18,9,17	48,40,38	16,14,16	50,25,41	498	99
239	17,8,15	84,31,71	8,5,3	48,39,29	197	99
240	59,30,33	125,84,123	29,20,37	78,51,60	738	99
252	25,7,26	48,20,46	11,6,15	28,11,33	698	99
253	7,9,7	27,4,16	4,5,11	18,27,19	904	99
255	38,27,25	8,3,7	13,2,17	0,1,2	1845	99
256	36,26,25	4628,2672,4143	18,14,20	3153,2514,3135	378	99
257	114,69,104	5892,3416,5385	47,34,33	3956,3197,3901	974	99
258	1689,904,1561	23,10,0	939,912,1065	0,2,0	1010	99
259	7596,4476,6955	166,90,210	4893,4169,4961	117,80,119	451	99
260	10,5,17	1334,831,1229	6,8,11	1440,627,732	343	99
261	9133,5451,8647	3,0,74	5975,5038,6029	2,54,43	501	99
262	1,0,5	211,121,159	0,0,1	213,186,163	824	99
267	29,19,35	9,10,11	25,19,25	6,15,6	199	99
268	25,6,17	7,5,8	18,5,8	4,7,2	196	99
