ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
11	2,1,3	1,0,0	0,0,0	1,0,0	237	99
14	304,146,281	1,0,0	89,88,109	0,0,1	203	99
15	88,44,73	1,0,0	26,35,18	0,0,1	150	99
16	412,235,442	1,0,0	132,111,155	0,0,0	174	99
17	1617,924,1578	19,4,8	683,585,639	2,0,0	965	99
18	1736,1001,1716	19,4,8	705,614,672	2,0,0	947	99
19	1,0,0	6,2,0	0,3,0	0,0,0	235	99
20	120,64,150	0,1,0	244,227,245	0,2,2	223	99
21	131,90,154	3,0,0	229,214,256	4,7,3	223	99
22	27,20,12	0,0,4	47,39,53	0,0,3	133	99
23	0,1,1	2,0,3	0,0,2	1,2,0	133	99
24	30,19,12	1,2,2	51,44,54	2,3,13	133	99
25	1,0,3	2,0,3	3,7,4	1,2,0	166	99
26	186,100,156	0,2,1	304,267,328	0,0,0	166	99
27	80,46,82	0,1,3	132,127,148	0,0,3	166	99
28	67,20,44	0,1,3	91,80,72	0,0,3	276	99
29	175,73,119	1,0,0	269,228,260	6,8,4	276	99
30	66,42,74	1,0,4	45,27,67	2,1,1	252	99
31	20,9,23	0,0,0	10,3,13	0,0,2	173	99
32	58,44,67	0,0,0	71,44,41	0,0,1	287	99
33	38,25,42	2,0,3	41,20,35	0,1,0	147	99
34	33,17,29	125,60,104	39,27,31	67,66,81	264	99
35	22,9,16	5,0,4	25,16,14	1,1,0	264	99
36	374,205,343	5,0,4	234,212,249	1,1,0	297	99
37	226,133,214	23,10,19	141,131,147	0,7,13	297	99
38	218,122,204	0,1,0	133,122,136	0,0,0	297	99
40	261,154,252	1,1,0	181,157,185	0,0,0	297	99
41	161,100,152	23,10,19	80,85,77	0,7,13	163	99
42	7,0,11	0,1,0	12,2,0	0,0,0	163	99
44	310,183,288	8,11,11	180,172,190	8,9,11	163	99
45	120,55,103	0,0,1	85,70,80	0,0,0	163	99
46	1,2,2	8,11,11	0,2,3	8,9,11	220	99
47	1,3,4	1,0,1	1,0,1	0,0,1	220	99
48	1,3,5	194,129,192	1,2,4	107,103,112	220	99
