ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	7,2,2	0,0,0	2,3,3	1,2,0	117	99
2	0,1,0	35,36,37	0,0,1	55,50,39	123	99
6	6,4,1	10,6,8	4,3,0	5,16,5	182	99
8	3,0,1	35,19,15	1,0,1	38,26,32	117	99
9	41,28,29	0,1,1	55,25,47	1,3,1	135	99
12	1294,760,811	0,0,0	722,579,711	3,0,0	104	99
13	3,6,2	2,0,0	2,1,5	2,0,0	101	99
14	2,0,1	0,0,0	0,1,0	0,1,0	101	99
19	6,3,6	1,1,0	5,3,10	1,3,2	198	99
20	4,3,1	362,217,176	1,1,2	246,226,221	150	99
21	10,7,4	0,0,3	9,7,15	1,5,2	198	99
24	31,16,8	14,10,6	38,18,22	13,7,14	101	99
29	150,114,101	186,133,110	119,71,101	139,85,118	101	99
30	4,1,1	0,0,0	0,0,1	1,0,0	101	99
31	0,0,0	37,28,26	0,1,0	57,47,36	115	99
32	5,5,2	14,7,16	6,4,0	27,22,21	198	99
33	1,7,4	20,15,14	3,2,4	22,11,24	198	99
34	16,11,13	1,3,1	23,11,17	0,2,0	198	99
36	15,12,14	0,2,1	18,13,17	0,0,3	102	99
37	33,21,21	0,1,2	24,15,28	0,0,0	197	99
38	1,0,2	2,0,0	1,0,0	1,1,0	124	99
39	0,0,0	229,172,98	0,0,2	136,134,124	126	99
42	1,0,0	0,0,0	0,0,0	0,1,0	101	99
44	16,4,1	0,0,0	11,8,12	2,0,0	143	99
47	81,57,74	70,43,45	106,89,105	108,65,104	101	99
48	166,130,104	45,19,13	221,127,194	32,29,32	110	99
49	167,107,93	0,0,0	178,126,163	0,2,4	119	99
57	138,90,66	0,0,0	70,60,86	1,0,0	134	99
58	0,2,0	88,39,24	1,2,2	30,33,26	127	99
60	103,78,65	0,6,0	101,74,77	2,0,3	198	99
63	1,0,0	6,7,6	0,0,0	7,8,5	145	99
65	0,0,3	5,4,1	2,0,0	0,1,0	198	99
67	86,33,44	1,0,0	75,65,70	1,3,2	101	99
68	12,7,8	5,3,0	14,21,22	2,1,4	101	99
69	0,0,0	1,0,3	2,1,1	0,3,0	146	99
71	0,0,1	30,16,17	0,0,0	17,15,15	118	99
72	26,18,11	5,0,1	24,14,14	5,0,0	123	99
73	42,38,15	1,0,2	30,19,30	1,1,0	151	99
74	522,417,282	35,22,16	481,354,474	23,27,26	132	99
76	78,56,38	55,37,28	102,62,74	58,37,36	101	99
77	2,0,1	100,92,73	1,0,1	103,67,77	183	99
78	1,1,1	0,4,1	0,2,3	1,2,0	132	99
79	1,1,0	0,5,0	0,0,1	0,1,0	132	99
95	2,4,7	0,2,0	2,0,1	0,0,0	101	99
99	10,11,16	0,0,0	27,18,18	2,0,0	186	99
100	10,11,19	0,0,0	29,14,16	0,0,1	198	99
101	2,1,3	0,0,0	7,3,1	0,0,1	142	99
102	38,24,11	0,1,0	9,8,6	0,0,0	115	99
103	3,0,0	103,41,46	3,2,2	60,35,70	163	99
104	3,0,0	69,58,54	3,1,0	73,50,66	163	99
105	1,5,1	0,1,0	10,3,5	1,3,0	198	99
108	101,54,56	0,0,0	64,49,47	1,0,0	165	99
109	55,66,38	0,0,1	55,37,44	0,0,0	198	99
113	2,0,0	1,2,2	0,0,1	2,0,0	148	99
118	31,16,25	18,10,2	17,23,48	15,16,18	101	99
121	159,94,88	166,151,125	137,77,114	157,99,166	198	99
122	98,58,36	1,2,1	85,52,74	0,0,2	110	99
123	2,0,0	76,54,54	0,0,1	96,65,79	181	99
125	7,1,0	62,81,42	0,2,1	89,57,90	120	99
126	1,4,2	27,21,19	0,1,0	17,17,16	132	99
127	1,0,1	0,0,0	2,0,1	1,0,0	101	99
128	3,1,1	5,3,0	1,0,3	0,3,0	101	99
130	120,111,101	1,0,0	151,118,137	0,3,2	110	99
131	103,82,61	46,24,23	105,94,121	43,35,37	101	99
132	133,84,76	0,0,0	78,62,84	1,0,0	153	99
133	36,26,18	0,2,1	16,8,6	0,1,0	198	99
135	2,1,3	0,0,0	0,1,2	0,0,1	110	99
136	0,0,3	0,0,0	0,5,1	0,0,1	110	99
141	1,0,0	2,0,1	0,0,2	5,3,7	101	99
142	13,10,3	114,67,46	5,2,1	92,52,60	101	99
143	17,8,5	79,69,59	3,7,6	44,40,48	101	99
144	0,2,0	57,35,45	1,1,2	44,40,31	119	99
145	39,18,26	1,0,0	29,16,23	1,0,0	102	99
146	0,1,0	133,101,57	0,0,0	86,44,60	129	99
147	2,1,0	48,27,18	3,3,0	43,46,38	173	99
150	91,80,77	31,34,32	115,82,84	35,15,29	104	99
151	99,81,96	0,0,0	123,88,91	2,0,0	115	99
152	39,35,51	0,0,0	43,21,36	2,0,0	109	99
153	232,182,154	0,1,0	249,159,203	0,0,0	198	99
154	1,0,0	43,36,28	2,0,2	33,46,28	101	99
157	15,15,8	843,613,452	7,16,4	691,443,523	173	99
158	64,36,29	5,3,2	66,49,62	2,2,2	181	99
170	10,12,5	182,132,75	7,10,10	97,82,107	198	99
171	4,2,0	1,0,0	0,0,3	0,1,1	101	99
177	0,1,0	0,0,0	1,2,1	2,0,0	166	99
178	6,1,3	480,346,281	9,6,7	395,334,404	122	99
179	18,9,18	0,0,0	22,13,27	1,0,0	102	99
180	5,3,2	0,1,1	11,8,8	0,0,0	102	99
181	5,6,5	3,0,0	18,10,5	0,0,0	102	99
182	127,92,73	0,2,2	181,122,134	3,2,7	102	99
183	568,372,332	0,0,0	647,436,510	0,4,0	198	99
186	10,11,13	2,1,5	16,9,8	6,5,3	101	99
188	67,45,24	4,4,2	3,4,5	0,1,0	198	99
189	48,44,16	8,8,3	10,6,6	1,0,0	198	99
190	144,123,80	4,3,0	127,88,102	2,1,0	182	99
192	283,224,149	0,1,1	203,144,193	0,0,0	198	99
193	159,110,90	0,0,0	148,90,125	0,0,1	141	99
194	2,6,4	3,1,2	3,2,3	3,0,1	101	99
195	7,2,4	0,0,0	2,0,3	0,0,1	150	99
199	2,1,1	1,0,0	1,1,2	0,0,1	166	99
201	0,1,2	5,0,6	2,0,0	0,3,8	146	99
204	1,0,3	9,4,0	6,0,4	2,7,3	133	99
205	16,11,2	2,0,0	4,11,8	0,0,0	198	99
206	12,6,5	1,0,0	2,1,2	0,0,0	136	99
208	0,0,1	122,96,89	0,0,0	137,82,111	198	99
209	71,60,42	1,0,2	29,23,30	2,0,0	198	99
211	88,84,71	9,2,3	86,64,83	5,8,3	103	99
219	114,90,94	4,1,2	122,96,136	0,2,0	117	99
220	336,218,163	0,0,1	235,125,209	0,0,0	198	99
221	365,243,191	23,17,12	268,181,212	22,17,23	149	99
222	298,205,185	0,0,1	238,182,240	2,0,0	198	99
223	60,44,29	0,1,0	52,40,40	1,0,3	198	99
224	0,0,0	15,9,10	1,0,0	26,13,11	168	99
226	19,9,10	0,0,0	12,11,17	0,0,1	103	99
242	28,11,7	0,0,0	29,16,14	0,1,0	102	99
243	67,52,41	34,22,26	62,43,54	29,19,17	101	99
246	1053,682,574	0,0,0	916,839,865	0,0,3	113	99
247	0,0,0	60,35,42	0,2,0	76,56,69	135	99
