ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1,0,0	131,112,83	0,0,0	135,113,139	132	165
1	27,22,12	18,18,11	24,11,19	10,3,13	198	172
2	68,58,47	85,58,54	75,75,92	80,85,77	198	162
3	9,2,2	0,1,0	1,2,4	0,0,2	198	186
4	63,71,53	5,4,7	73,34,51	9,0,4	198	121
5	35,36,37	111,64,64	55,50,40	100,73,62	198	191
6	0,0,0	111,64,64	0,0,1	100,73,62	198	191
7	98,74,64	487,310,296	122,75,100	585,479,525	130	180
8	77,43,34	118,82,50	73,69,65	116,100,109	172	175
9	100,50,67	138,108,73	107,94,87	150,128,154	175	169
10	24,12,15	68,58,42	20,16,20	48,30,43	198	198
11	29,12,14	21,11,13	23,10,17	18,11,11	191	167
13	18,8,7	44,29,19	11,10,11	55,26,43	168	159
14	5,4,4	1987,1359,1052	13,7,12	1091,903,1062	183	183
15	5,3,1	1404,995,767	8,4,3	836,639,805	183	198
16	1182,740,682	1403,996,767	659,501,673	836,637,805	183	198
17	1301,800,719	1036,624,557	736,491,739	527,428,543	198	198
18	1169,763,668	1346,933,885	712,537,639	798,636,775	169	187
19	2003,1327,1149	1506,979,932	1216,926,1142	947,726,877	187	183
20	8,7,4	2,0,0	8,1,6	2,0,0	198	198
21	10,7,5	3,6,2	8,1,6	2,1,5	198	198
22	198,155,133	394,230,230	204,185,170	322,266,318	172	198
23	5,5,2	38,22,30	2,4,5	24,25,30	125	198
24	11,7,2	64,57,28	5,5,7	45,26,36	125	198
25	79,48,36	1,1,1	54,47,64	1,2,0	179	155
26	73,48,49	44,25,25	66,50,47	39,35,46	198	160
27	33,32,30	371,220,178	27,24,18	247,233,224	172	198
28	11,11,10	23,11,5	11,16,25	22,11,13	163	198
29	14,8,10	0,0,0	10,16,25	2,1,4	163	198
30	14,8,10	39,31,26	10,16,25	29,23,37	163	198
31	1,0,0	0,0,0	1,1,0	2,1,4	198	198
32	1,0,0	39,31,26	1,1,0	29,23,37	198	198
33	11,12,12	3,3,0	17,24,8	2,0,1	198	198
34	0,0,0	39,31,26	2,1,4	29,23,37	198	198
37	211,132,107	170,96,96	171,82,127	117,85,101	164	198
38	0,1,0	574,395,349	0,0,1	444,423,518	134	198
39	7,6,2	2,0,0	5,4,3	0,0,2	157	134
40	0,1,1	2,2,1	6,3,3	1,1,4	198	198
41	3,1,3	9,7,7	8,0,1	5,4,2	198	198
42	1,0,0	2,4,9	1,0,0	0,2,0	198	173
43	5,1,1	2,4,9	0,0,1	0,2,0	198	173
44	1,0,0	0,4,3	0,0,0	0,2,0	198	173
45	16,9,11	21,17,15	19,10,18	32,20,23	198	186
46	0,0,0	21,17,15	0,0,1	32,20,23	198	186
47	1,0,0	0,0,0	0,1,0	0,1,3	198	198
51	5,0,0	0,3,2	0,0,0	1,3,0	127	127
55	122,88,68	55,47,29	96,71,90	39,39,72	168	198
56	59,54,54	76,46,28	57,36,54	44,54,91	198	198
57	2,2,1	11,5,10	4,3,4	9,7,11	176	198
58	5,9,5	10,8,10	4,3,8	17,12,16	198	198
64	43,41,26	22,11,9	49,44,46	22,17,19	131	159
65	81,37,61	128,104,89	84,56,64	138,83,101	198	198
66	1,1,0	133,89,73	0,1,0	115,98,99	198	198
67	122,56,63	134,92,76	77,84,63	116,100,103	198	198
68	128,104,89	114,75,70	138,82,101	79,48,75	198	198
69	35,24,17	119,53,34	28,10,26	67,56,67	198	198
70	35,24,17	5,0,0	28,10,26	0,2,2	198	198
71	18,16,12	12,5,3	12,14,14	8,6,2	198	198
72	18,16,12	126,58,37	12,14,14	75,60,67	198	198
73	45,27,22	240,168,164	41,40,27	262,217,219	198	198
74	45,28,38	26,7,12	30,29,38	10,21,26	198	198
75	12,3,8	17,8,0	24,12,15	17,2,11	198	198
77	14,3,5	5,3,10	13,9,14	7,5,5	198	193
78	32,14,18	17,14,12	16,17,20	24,16,27	198	198
79	22,9,7	281,218,177	14,18,12	225,215,231	150	198
80	389,278,198	281,218,177	350,239,349	225,215,231	184	198
81	289,208,183	288,221,178	254,194,227	281,211,244	198	184
82	102,70,48	57,39,35	96,69,89	60,39,43	198	198
83	175,102,99	124,71,81	180,84,117	153,89,116	198	198
84	84,66,40	101,70,48	97,76,85	96,69,90	198	198
85	4,2,3	11,5,2	2,3,6	9,1,3	198	198
99	75,67,39	67,56,49	31,29,40	55,28,39	198	166
100	127,77,85	5,2,0	74,52,58	4,2,0	198	198
101	125,78,83	104,78,72	74,52,58	76,61,63	198	198
102	113,96,46	105,82,52	71,44,68	52,45,61	194	198
103	8,2,0	0,0,1	3,3,5	3,2,1	198	153
104	2,0,0	5,3,2	3,3,0	7,0,3	198	198
107	49,36,36	121,111,84	34,41,32	108,70,93	198	197
108	59,27,62	65,25,40	68,65,69	68,47,64	198	198
109	38,24,7	57,42,29	20,19,16	27,23,26	198	191
110	284,193,175	10,0,0	186,188,197	2,1,0	198	126
111	0,1,0	7,1,1	1,7,0	4,9,1	198	133
112	0,4,0	7,1,1	5,4,3	4,9,1	198	133
114	35,41,22	74,62,53	43,40,42	102,68,72	135	197
115	34,40,23	67,57,51	40,38,37	71,51,76	135	193
116	2,0,1	67,57,51	5,0,1	71,51,76	197	193
117	64,43,35	68,59,49	84,71,62	74,53,80	197	193
118	1,2,0	28,21,17	4,2,5	20,27,28	193	156
119	73,62,51	29,20,16	96,68,69	20,27,28	193	156
120	55,50,24	78,39,53	50,24,30	43,37,49	165	188
121	45,33,25	30,12,24	40,33,36	21,12,9	188	152
128	0,1,4	1,0,0	2,3,0	1,0,0	198	198
129	1,0,0	194,127,121	0,1,0	137,105,116	198	198
130	110,75,81	97,72,66	122,95,119	103,111,113	135	198
131	418,291,249	74,62,61	483,352,413	72,62,55	198	153
132	62,47,36	1,1,0	61,67,70	0,0,1	153	189
133	20,22,15	29,30,35	49,46,58	82,81,88	149	198
134	19,14,13	9,3,3	15,22,14	1,5,3	198	129
135	191,116,78	168,103,89	98,97,98	85,84,81	198	192
136	78,38,34	52,40,43	48,58,65	66,39,42	167	175
137	96,49,40	51,25,22	79,78,74	22,28,31	167	158
138	13,6,4	47,26,21	16,10,9	16,26,28	167	158
139	15,16,8	0,1,0	18,7,19	2,0,0	198	167
140	16,15,8	4,5,1	18,9,18	15,6,4	198	167
141	3,3,1	6,7,11	2,0,1	2,4,6	159	198
142	70,29,39	83,60,50	33,33,37	54,28,54	198	198
143	1,1,0	7,1,1	2,4,3	4,4,3	175	183
144	519,369,316	454,333,265	638,434,579	564,362,471	198	191
145	400,349,237	258,173,173	520,339,510	276,229,253	197	198
146	133,82,68	132,79,89	117,111,109	109,98,120	184	143
147	195,104,115	299,254,151	139,123,167	234,241,266	198	198
148	2,3,4	3,0,0	4,1,2	5,2,0	198	198
149	251,178,138	255,193,150	178,156,196	211,178,193	198	194
150	0,0,0	248,186,158	0,0,2	200,145,166	194	198
151	256,193,150	319,209,171	211,178,192	272,184,227	198	198
