ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	3,3,5	2,1,0	7,7,3	0,1,0	198	99
3	5,0,3	20,10,6	1,1,5	7,7,6	198	99
4	66,39,47	1301,800,719	43,14,30	735,491,739	184	99
5	83,81,54	2232,1614,1202	60,50,48	1310,1022,1136	198	99
6	17,10,12	81,69,62	9,9,19	77,62,100	198	99
7	1,0,0	141,84,65	3,0,0	113,78,110	198	99
9	8,5,7	111,107,68	9,5,6	91,56,68	190	99
14	0,1,1	24,13,14	1,0,1	27,25,33	198	99
15	8,5,5	20,14,14	12,6,3	34,18,23	194	99
16	0,2,2	20,22,14	4,1,1	27,21,17	198	99
17	0,0,3	13,18,12	1,2,1	24,21,14	175	99
18	2,3,1	160,84,100	1,2,1	114,87,117	198	99
22	0,1,1	1,2,0	0,0,3	2,0,0	198	99
25	3,0,0	19,9,13	2,1,3	5,10,6	195	99
26	1,0,2	9,7,7	1,2,2	4,1,4	198	99
28	0,0,1	31,27,20	0,1,0	48,57,63	198	99
31	28,18,18	104,96,80	18,19,17	153,120,169	198	99
32	1,1,0	10,7,9	0,0,0	4,3,7	198	99
33	1,2,0	6,11,7	1,0,0	18,7,13	178	99
34	1,0,0	9,21,8	0,1,0	5,1,11	177	99
35	1,0,0	9,4,9	3,0,0	6,6,5	198	99
36	0,0,1	11,7,3	0,0,0	7,3,6	173	99
39	13,8,12	195,137,122	18,6,25	241,155,231	177	99
40	2,6,6	0,2,0	0,3,0	0,0,1	198	99
44	1,2,7	0,1,1	8,4,5	5,2,0	174	99
47	0,0,0	127,119,68	0,0,2	79,60,77	198	99
48	7,1,4	0,0,0	4,0,2	1,0,2	190	99
49	2,1,5	1,0,0	0,0,0	1,1,2	198	99
50	6,4,5	423,205,213	4,1,2	155,130,169	198	99
51	21,16,20	66,41,43	12,13,13	50,34,46	198	99
54	14,10,6	46,36,39	4,11,3	40,24,20	198	99
57	1,0,1	2,1,0	0,0,0	2,0,0	176	99
58	2,0,0	170,97,117	1,0,0	148,57,117	198	99
59	1,3,6	14,12,13	1,2,3	13,22,14	198	99
60	2,0,0	42,37,30	0,1,0	66,25,55	198	99
61	2,1,0	6,4,2	0,0,2	2,0,1	198	99
62	6,2,0	428,319,293	5,4,5	541,415,517	194	99
63	2,0,0	400,349,237	0,1,0	519,339,510	182	99
69	2,1,0	38,32,21	3,1,0	48,33,25	198	99
70	91,52,55	3,0,3	100,76,81	7,5,4	188	99
71	4,4,2	27,21,19	4,3,1	17,17,16	198	99
72	3,2,1	0,2,1	4,2,1	0,0,0	198	99
73	2,1,0	101,77,61	0,2,4	104,92,119	198	99
74	4,6,0	46,24,23	1,4,6	43,35,37	198	99
75	39,36,29	0,0,2	11,4,7	0,0,0	198	99
76	6,5,3	0,1,1	2,0,2	0,1,1	198	99
77	0,0,0	29,23,19	1,0,1	3,3,7	198	99
78	23,7,11	26,16,18	2,2,0	18,7,9	198	99
79	2,0,1	35,17,17	0,1,0	44,20,19	185	99
80	0,0,2	59,38,35	0,2,0	67,34,54	198	99
96	8,2,5	236,194,165	7,2,6	284,200,244	198	99
97	8,3,7	194,167,97	10,5,13	204,127,174	198	99
98	63,39,61	86,65,47	71,47,81	80,45,79	198	99
111	6,3,5	196,144,105	4,2,3	210,119,165	198	99
112	349,296,228	0,1,0	344,202,288	0,0,0	198	99
113	21,29,19	0,0,0	28,22,20	0,0,1	198	99
114	3,2,3	140,83,73	5,3,7	122,71,108	198	99
116	8,5,2	1,0,0	4,4,7	0,0,1	198	99
121	17,14,14	2,1,2	4,7,8	1,0,0	173	99
122	12,4,3	65,64,51	4,4,5	87,58,66	198	99
123	19,13,13	490,331,296	14,17,24	499,409,441	198	99
124	2,0,1	11,4,6	1,0,2	4,6,5	198	99
125	3,5,0	28,14,14	1,2,5	22,10,15	198	99
126	21,26,23	156,95,90	14,25,12	111,84,91	198	99
127	5,10,5	9,2,3	8,11,7	5,8,3	198	99
128	5,8,3	88,82,69	7,9,7	85,62,82	198	99
129	13,1,2	0,1,0	6,7,6	0,0,0	198	99
