ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
11	2,1,0	0,0,0	0,0,0	1,0,0	198	99
14	156,96,89	0,0,0	87,87,103	0,0,1	198	99
15	40,32,33	0,0,0	26,35,18	0,0,1	149	99
16	96,71,61	0,1,0	59,53,74	0,0,0	173	99
17	160,92,84	3,1,2	100,89,92	2,0,0	198	99
18	219,139,105	3,1,2	131,120,133	2,0,0	198	99
19	0,1,0	0,2,0	0,3,0	0,0,0	198	99
21	287,172,145	2,3,0	221,198,216	0,2,2	198	99
22	292,183,134	3,0,0	206,185,227	4,7,3	198	99
23	49,42,31	0,4,5	47,39,53	0,0,3	132	99
24	1,0,0	3,3,2	0,0,2	1,2,0	132	99
25	50,39,31	0,1,2	51,44,54	2,3,13	132	99
26	0,0,0	0,0,1	0,2,0	0,0,0	132	99
27	1,4,4	3,3,2	3,7,4	1,2,0	165	99
28	131,109,80	0,0,1	137,116,149	0,0,0	165	99
29	354,250,197	2,3,0	304,267,328	0,0,0	165	99
30	181,108,95	0,4,0	132,127,148	0,0,3	165	99
31	14,7,1	0,4,0	5,0,1	0,0,3	198	99
32	188,149,109	3,1,4	183,148,189	6,8,4	198	99
33	72,32,30	2,2,3	32,25,54	2,1,1	198	99
34	62,45,29	0,0,1	37,14,19	0,0,0	172	99
35	18,18,11	0,0,0	10,3,13	0,0,2	172	99
36	27,22,12	0,0,0	24,11,19	0,0,2	198	99
37	71,49,29	0,0,0	51,22,26	0,0,1	198	99
38	53,36,30	1,0,0	41,20,35	0,1,0	146	99
39	16,6,13	68,57,43	16,13,17	67,66,81	198	99
40	153,104,89	1,0,1	168,156,194	1,1,0	198	99
41	68,58,47	5,8,5	75,75,92	0,7,13	198	99
43	85,58,54	5,8,5	80,85,77	0,7,13	162	99
45	168,105,98	0,1,4	180,172,190	8,9,11	162	99
46	8,1,0	0,1,4	0,2,3	8,9,11	198	99
47	9,2,2	103,73,59	1,2,4	107,103,112	198	99
48	0,1,0	103,73,59	0,0,2	107,103,112	186	99
49	250,186,151	7,0,1	272,258,311	11,1,0	189	99
53	3,6,3	0,1,0	0,2,2	0,0,0	198	99
54	53,26,29	0,0,0	36,20,50	1,0,0	121	99
55	5,4,7	0,0,0	9,0,4	0,0,1	121	99
56	63,71,53	0,0,0	73,34,51	0,0,1	198	99
57	111,94,76	2,0,1	99,55,99	0,0,0	198	99
58	0,0,0	50,41,17	1,0,1	42,23,36	176	99
59	781,616,392	0,1,0	506,417,538	0,0,1	198	99
63	10,5,4	10,13,11	5,10,9	25,30,12	191	99
64	45,55,25	0,0,2	55,41,59	0,0,1	187	99
65	32,16,17	0,0,0	39,24,35	1,0,0	198	99
66	49,19,24	1,0,0	55,35,50	1,0,0	198	99
67	18,11,13	17,3,9	16,8,10	16,11,16	198	99
68	15,7,15	0,0,1	7,12,15	0,0,0	137	99
69	22,12,12	2,1,0	20,18,26	1,0,0	198	99
71	80,47,37	0,0,0	82,68,73	0,0,1	187	99
73	19,16,14	25,17,14	18,22,31	33,16,36	158	99
74	42,37,19	3,1,0	63,49,61	0,3,1	167	99
76	199,121,107	0,0,0	192,141,147	0,0,1	191	99
77	125,93,80	2,0,0	148,118,124	1,0,0	198	99
78	90,57,43	2,0,0	93,68,85	1,0,0	198	99
79	34,21,17	0,0,1	31,13,26	1,0,2	170	99
80	347,204,176	2,1,2	183,100,147	3,1,3	198	99
81	165,109,80	2,0,0	91,47,77	1,0,0	198	99
83	473,363,272	0,0,0	572,453,508	0,0,1	130	99
84	98,74,64	3,0,0	122,75,100	0,0,0	130	99
85	487,310,296	3,0,0	585,479,525	0,0,0	180	99
86	863,601,505	0,1,0	1035,857,932	0,0,0	180	99
87	289,210,163	2,0,2	338,261,315	6,0,3	198	99
88	55,34,28	0,0,0	36,41,55	0,1,0	150	99
89	202,104,111	0,3,1	204,178,158	3,0,2	172	99
90	244,139,128	1,0,2	245,210,204	1,0,4	175	99
91	100,50,67	0,0,0	107,94,87	0,0,3	175	99
92	138,108,73	0,0,0	150,128,154	0,0,3	169	99
93	281,198,132	0,1,0	287,245,268	0,0,0	169	99
94	1,3,1	1,3,3	1,0,0	0,1,7	198	99
95	105,73,68	0,0,1	76,48,63	0,0,0	198	99
96	68,58,42	0,0,0	48,30,43	0,3,0	198	99
97	24,12,15	0,0,0	20,16,20	0,3,0	198	99
98	63,28,40	2,2,0	46,34,40	0,0,1	198	99
99	58,37,31	2,0,1	35,40,33	0,0,0	198	99
100	64,38,23	0,0,0	64,62,75	0,0,2	169	99
101	539,418,356	1,0,0	339,300,415	0,0,0	198	99
102	2,0,0	2,1,0	0,0,0	0,3,1	139	99
106	0,0,0	233,153,134	0,0,1	208,157,199	198	99
107	622,450,393	1,0,0	561,430,540	0,0,0	198	99
108	11,11,3	1,0,0	10,9,2	0,0,0	198	99
