ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	51,44,38	108,81,57	51,29,48	73,58,81	117	99
8	51,26,41	1,2,0	74,59,83	1,0,3	139	99
9	1146,751,788	0,0,0	782,565,854	0,2,0	220	99
10	1653,1130,1083	2,1,1	977,757,928	1,2,0	285	99
11	88,46,58	2,0,1	52,31,46	1,0,1	285	99
12	237,147,141	13,12,15	283,223,227	26,7,22	163	99
13	17,8,3	102,65,63	14,6,13	110,86,89	155	99
14	1,2,1	1,2,2	2,3,3	2,2,2	323	99
15	150,96,91	0,0,0	103,118,111	0,1,0	242	99
17	7,13,10	8,2,9	13,18,20	3,8,8	103	99
24	10,11,13	8,3,5	18,15,13	4,6,4	105	99
25	45,55,33	0,1,0	70,37,66	1,0,1	211	99
26	165,100,101	0,0,2	131,106,98	0,2,0	108	99
29	45,28,19	164,116,65	42,39,50	193,145,184	154	99
30	0,0,1	100,65,75	0,2,0	161,99,127	111	99
31	6,2,0	0,0,0	2,2,2	0,5,0	315	99
33	6,3,3	0,0,0	8,3,6	1,0,0	483	99
35	120,57,34	4,0,0	68,58,71	0,2,2	108	99
37	11,15,15	84,59,54	11,6,12	22,31,21	412	99
38	10,15,15	6,0,4	11,5,12	1,0,0	412	99
41	2,0,0	16,4,13	3,0,3	16,18,13	155	99
46	20,13,4	69,59,47	7,5,6	54,37,51	161	99
49	48,32,44	56,43,29	38,47,54	41,40,47	111	99
51	55,37,26	0,0,1	32,27,29	1,0,1	147	99
52	158,78,69	69,58,54	91,62,99	73,50,66	147	99
54	226,162,129	0,0,0	198,221,180	3,1,2	241	99
55	170,169,114	41,23,21	132,103,139	39,34,27	132	99
56	208,146,137	17,13,16	245,202,263	14,17,15	102	99
57	7,7,8	11,7,13	8,3,16	11,8,14	127	99
58	28,21,28	1,0,1	36,24,20	0,0,0	350	99
59	65,36,27	15,14,8	42,39,56	18,7,18	111	99
60	588,427,338	0,0,0	772,538,664	0,1,0	137	99
61	519,369,316	0,1,0	639,435,578	0,0,0	282	99
62	0,0,0	39,29,26	2,0,1	41,42,22	179	99
64	125,76,65	0,0,0	133,78,127	0,3,0	165	99
65	29,39,19	18,12,8	35,55,30	12,5,17	124	99
67	186,108,117	0,0,0	203,155,176	0,0,1	1776	99
68	649,427,397	0,0,4	333,251,260	0,1,1	125	99
71	132,61,80	7,2,2	36,18,32	5,0,3	1032	99
72	200,182,144	66,71,40	232,197,204	58,36,79	111	99
75	16,26,7	3,3,3	23,24,17	1,4,6	230	99
76	0,5,5	28,19,19	3,4,3	23,24,12	176	99
78	0,0,0	0,0,1	0,1,0	0,0,0	109	99
79	0,0,2	70,43,37	0,1,0	67,64,100	125	99
81	5,2,6	27,26,21	1,0,0	17,12,18	134	99
83	5,1,0	29,22,27	4,1,2	35,33,29	104	99
84	12,2,4	0,0,0	21,10,7	0,1,0	116	99
85	36,23,31	0,0,0	52,42,34	0,1,0	111	99
89	90,80,82	0,2,0	120,84,94	0,1,1	286	99
92	1,0,0	30,21,9	0,0,1	26,21,18	192	99
94	769,567,478	11,8,4	737,489,635	4,9,9	165	99
95	5,2,0	60,54,35	3,2,2	29,43,28	260	99
96	85,57,66	1,0,0	136,106,122	4,0,4	216	99
97	381,265,219	1,0,0	486,353,470	4,0,4	381	99
98	297,211,156	1,3,3	361,249,349	11,2,1	264	99
99	87,54,63	0,1,1	125,104,121	0,0,0	216	99
100	394,277,265	20,14,9	299,279,290	10,8,12	177	99
104	85,77,49	0,0,0	89,70,76	1,0,3	518	99
105	2,6,7	64,41,36	4,3,4	41,34,30	1118	99
106	75,78,60	78,56,44	84,74,72	52,32,46	126	99
107	88,70,56	0,1,1	110,68,92	2,2,1	1019	99
109	0,2,1	6,0,1	2,3,0	1,1,2	145	99
110	0,2,1	98,82,53	2,3,0	97,76,89	172	99
111	6,0,1	98,82,53	1,1,2	97,76,89	126	99
112	3,4,1	0,1,0	1,0,1	0,0,0	239	99
116	167,130,94	11,14,9	117,102,116	17,11,12	105	99
122	2,4,1	3,5,1	4,1,1	3,1,9	128	99
124	164,123,108	4,2,0	166,113,132	1,0,2	2361	99
125	90,66,51	1,0,1	72,62,81	1,1,0	111	99
126	3,5,0	0,0,0	0,2,4	1,0,0	132	99
127	73,42,39	0,0,0	29,44,44	0,1,3	1264	99
128	75,47,39	1,2,0	29,46,48	3,0,3	1297	99
129	2,5,0	1,2,0	0,3,7	3,0,3	132	99
130	13,9,6	28,14,14	4,8,9	22,10,15	132	99
131	554,350,311	0,0,2	405,366,423	1,0,0	291	99
132	177,109,110	9,7,2	138,107,102	8,3,8	287	99
133	136,93,93	0,0,0	96,96,108	0,2,0	597	99
134	16,8,10	59,39,41	8,4,4	42,28,45	186	99
135	274,170,141	0,0,1	192,137,168	0,0,0	327	99
136	411,267,206	1,0,1	312,166,279	0,0,0	836	99
137	14,9,1	5,0,2	6,2,10	3,2,4	146	99
138	284,188,152	4,0,3	193,173,203	1,0,2	253	99
139	297,200,160	0,0,1	221,181,231	2,0,0	982	99
140	264,164,155	0,0,0	271,158,239	1,0,0	576	99
141	33,17,24	1,1,0	36,34,27	0,2,1	302	99
142	49,26,40	0,0,0	52,46,39	0,2,0	996	99
143	5,2,8	9,11,16	2,2,5	5,11,13	103	99
144	7,4,5	25,16,21	13,8,4	20,18,25	539	99
152	80,53,48	0,0,1	63,53,63	0,0,1	124	99
153	5,1,0	18,10,4	3,3,7	9,16,9	113	99
157	201,155,108	2,8,2	115,136,113	3,2,7	539	99
159	52,55,38	23,18,15	51,36,35	24,15,28	625	99
162	1935,1512,1154	3,0,1	1791,1248,1826	0,0,0	404	99
163	15,11,4	0,4,0	18,12,11	0,0,0	267	99
166	175,152,120	2,4,3	248,205,250	8,1,4	159	99
167	7,3,3	30,29,31	3,3,3	31,23,29	163	99
168	1,1,2	0,0,0	1,0,2	1,0,0	163	99
169	1,2,0	58,48,35	2,2,2	50,39,36	154	99
170	0,2,0	10,10,6	0,0,0	4,0,5	141	99
173	15,8,12	5,5,0	12,15,15	2,1,5	176	99
175	11,8,9	25,19,9	5,8,8	25,17,28	178	99
177	109,53,65	3,2,0	103,85,104	0,0,4	201	99
180	92,62,54	10,12,4	91,86,101	25,7,15	528	99
181	16,11,7	302,191,191	14,14,19	287,243,286	288	99
182	8,5,3	0,1,2	7,6,11	4,1,8	288	99
183	13,13,17	1,0,0	7,12,15	0,1,0	313	99
184	8,2,6	1,0,0	0,6,6	0,0,0	230	99
188	43,23,15	38,27,22	20,25,16	42,30,27	498	99
189	0,0,0	0,2,1	2,0,0	1,0,0	104	99
190	0,4,0	36,25,19	0,0,0	28,18,8	104	99
191	32,17,22	27,30,24	16,11,27	29,22,36	275	99
192	0,5,1	78,51,49	1,2,1	57,51,53	103	99
195	1,2,0	5,5,3	0,0,0	1,1,1	135	99
197	0,0,0	59,47,51	1,0,0	52,45,43	161	99
198	4780,3121,3224	0,0,1	3970,3208,3911	0,1,1	406	99
199	2760,2259,1718	68,54,43	2582,1743,1981	84,86,88	1118	99
200	7220,5171,4742	152,104,90	6327,4788,5682	117,80,119	207	99
204	31,16,14	3,2,0	16,14,5	0,0,7	114	99
205	36,39,36	361,281,225	66,65,32	288,187,267	2582	99
207	3,3,0	190,113,140	6,3,4	148,123,157	106	99
