ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	16,10,13	2,1,0	26,16,24	0,1,0	842	99
3	5,0,3	20,10,6	1,1,5	7,7,6	266	99
4	66,39,47	1301,800,719	43,14,30	735,491,739	185	99
5	121,111,76	2232,1614,1202	80,56,60	1310,1022,1136	274	99
6	44,44,41	81,69,62	56,33,45	77,62,100	657	99
7	1,0,0	141,84,65	3,0,0	113,78,110	545	99
8	0,1,0	9,6,4	2,1,0	10,8,12	1447	99
9	8,5,7	111,107,68	9,5,6	91,56,68	191	99
14	0,1,1	24,13,14	1,0,1	27,25,33	215	99
15	8,5,5	20,14,14	12,6,3	34,18,23	195	99
16	0,2,2	20,22,14	4,1,2	27,21,17	237	99
17	0,0,3	13,18,12	1,2,1	24,21,14	176	99
18	25,17,17	160,84,100	27,20,22	114,87,117	1792	99
22	2,2,1	1,2,0	0,0,3	2,0,0	1171	99
25	3,0,0	19,9,13	2,1,3	5,10,6	196	99
26	3,0,3	9,7,7	4,4,2	4,1,4	446	99
28	4,1,1	31,27,20	5,1,4	48,57,63	850	99
31	33,21,20	104,96,80	22,19,18	153,120,169	237	99
32	1,1,0	10,7,9	0,0,0	4,3,7	347	99
33	1,2,0	6,11,7	1,0,0	18,7,13	179	99
34	1,0,0	9,21,8	0,1,0	5,1,11	178	99
35	1,0,0	9,4,9	3,0,0	6,6,5	379	99
36	0,0,1	11,7,3	0,0,0	7,3,6	174	99
39	13,8,12	195,137,122	18,6,25	241,155,231	178	99
40	39,29,24	0,2,0	18,19,29	0,0,1	1412	99
44	1,2,7	0,1,1	8,4,5	5,2,0	175	99
47	0,0,0	127,119,68	0,0,2	79,60,77	309	99
48	7,1,4	0,0,0	4,0,2	1,0,2	191	99
49	3,1,6	1,0,0	0,0,1	1,1,2	492	99
50	15,15,14	423,205,213	23,16,20	155,130,169	704	99
51	62,49,46	66,41,43	61,63,58	50,34,46	998	99
54	37,25,25	46,36,39	18,21,21	40,24,20	582	99
57	1,0,1	2,1,0	0,0,0	2,0,0	177	99
58	4,1,3	170,97,117	5,0,0	148,57,117	1030	99
59	1,5,6	14,12,13	1,2,3	13,22,14	244	99
60	2,2,1	42,37,30	1,2,0	66,25,55	1048	99
61	4,2,0	6,4,2	1,0,2	2,0,1	386	99
62	6,2,0	428,319,293	5,4,5	541,415,517	195	99
63	2,0,0	400,349,237	0,1,0	519,339,510	183	99
69	2,5,0	38,32,21	5,1,0	48,33,25	372	99
70	91,52,55	3,0,3	100,76,81	7,5,4	189	99
71	4,6,3	27,21,19	7,4,1	17,17,16	427	99
72	3,4,2	0,2,1	7,3,1	0,0,0	393	99
73	14,3,6	101,77,61	5,11,9	104,92,119	1586	99
74	16,8,6	46,24,23	6,13,11	43,35,37	1589	99
75	245,207,143	0,0,2	81,40,51	0,0,0	1025	99
76	23,15,11	0,1,1	9,1,4	0,1,1	734	99
77	0,0,0	29,23,19	1,0,1	3,3,7	297	99
78	81,45,59	26,16,18	15,7,15	18,7,9	942	99
79	2,0,1	35,17,17	0,1,0	44,20,19	186	99
80	7,8,5	59,38,35	5,11,1	67,34,54	776	99
96	13,4,8	236,194,165	10,2,12	284,200,244	379	99
