ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
11	2,1,0	0,0,0	0,0,0	1,0,0	237	99
14	160,97,90	0,0,0	89,88,109	0,0,1	203	99
15	40,32,33	0,0,0	26,35,18	0,0,1	150	99
16	96,71,61	0,1,0	59,53,74	0,0,0	174	99
17	935,658,478	3,1,2	683,585,639	2,0,0	965	99
18	992,695,497	3,1,2	705,614,672	2,0,0	947	99
19	0,1,0	0,2,0	0,3,0	0,0,0	235	99
21	317,192,178	2,3,0	244,227,245	0,2,2	223	99
22	322,203,167	3,0,0	229,214,256	4,7,3	223	99
23	49,42,31	0,4,5	47,39,53	0,0,3	133	99
24	1,0,0	3,3,2	0,0,2	1,2,0	133	99
25	50,39,31	0,1,2	51,44,54	2,3,13	133	99
26	0,0,0	0,0,1	0,2,0	0,0,0	133	99
27	1,4,4	3,3,2	3,7,4	1,2,0	166	99
28	131,109,80	0,0,1	137,116,149	0,0,0	166	99
29	354,250,197	2,3,0	304,267,328	0,0,0	166	99
30	181,108,95	0,4,0	132,127,148	0,0,3	166	99
31	118,87,53	0,4,0	91,80,72	0,0,3	276	99
32	292,229,161	3,1,4	269,228,260	6,8,4	276	99
33	88,46,36	2,2,3	45,27,67	2,1,1	252	99
34	62,45,29	0,0,1	37,14,19	0,0,0	173	99
35	18,18,11	0,0,0	10,3,13	0,0,2	173	99
36	48,48,22	0,0,0	44,33,34	0,0,2	287	99
37	92,75,39	0,0,0	71,44,41	0,0,1	287	99
38	53,36,30	1,0,0	41,20,35	0,1,0	147	99
39	34,26,20	68,57,43	39,27,31	67,66,81	264	99
40	215,156,134	1,0,1	234,212,249	1,1,0	297	99
41	130,110,92	5,8,5	141,131,147	0,7,13	297	99
43	85,58,54	5,8,5	80,85,77	0,7,13	163	99
45	168,105,98	0,1,4	180,172,190	8,9,11	163	99
46	8,1,1	0,1,4	0,2,3	8,9,11	220	99
47	9,2,3	103,73,59	1,2,4	107,103,112	220	99
48	0,1,0	103,73,59	0,0,2	107,103,112	187	99
49	250,186,151	7,0,1	272,258,311	11,1,0	190	99
53	3,7,3	0,1,0	1,2,2	0,0,0	260	99
54	53,26,29	0,0,0	36,20,50	1,0,0	122	99
55	5,4,7	0,0,0	9,0,4	0,0,1	122	99
56	116,110,85	0,0,0	109,78,110	0,0,1	330	99
57	164,133,108	2,0,1	135,99,158	0,0,0	330	99
58	0,0,0	50,41,17	1,0,1	42,23,36	177	99
59	791,620,397	0,1,0	513,421,548	0,0,1	202	99
63	10,5,4	10,13,11	5,10,9	25,30,12	192	99
64	45,55,25	0,0,2	55,41,59	0,0,1	188	99
65	56,32,30	0,0,0	54,41,60	1,0,0	256	99
66	71,35,33	1,0,0	67,56,74	1,0,0	278	99
67	18,11,13	17,3,9	18,8,10	16,11,16	213	99
68	15,7,15	0,0,1	7,12,15	0,0,0	138	99
69	25,17,17	2,1,0	23,22,27	1,0,0	226	99
71	80,47,37	0,0,0	82,68,73	0,0,1	188	99
73	19,16,14	25,17,14	18,22,31	33,16,36	159	99
74	42,37,19	3,1,0	63,49,61	0,3,1	168	99
75	0,0,0	23,21,11	1,0,0	34,32,36	226	99
76	199,121,107	0,0,0	192,141,147	0,0,1	192	99
77	169,129,111	2,0,0	192,140,168	1,0,0	243	99
78	134,94,74	2,0,0	137,90,130	1,0,0	268	99
79	34,21,17	0,0,1	31,13,26	1,0,2	171	99
80	347,204,176	2,1,2	185,102,147	3,1,3	201	99
81	165,109,80	2,0,0	93,49,77	1,0,0	201	99
83	473,363,272	0,0,0	572,453,508	0,0,1	131	99
84	98,74,64	3,0,0	122,75,100	0,0,0	131	99
85	487,310,296	3,0,0	585,479,525	0,0,0	181	99
86	863,601,505	0,1,0	1035,857,932	0,0,0	181	99
87	289,210,163	2,0,2	338,261,315	6,0,3	202	99
88	55,34,28	0,0,0	36,41,55	0,1,0	151	99
89	202,104,111	0,3,1	204,178,158	3,0,2	173	99
90	244,139,128	1,0,2	245,210,204	1,0,4	176	99
91	100,50,67	0,0,0	107,94,87	0,0,3	176	99
92	138,108,73	0,0,0	150,128,154	0,0,3	170	99
93	281,198,132	0,1,0	287,245,268	0,0,0	170	99
94	1,3,1	1,3,3	1,0,3	0,1,7	214	99
95	129,85,84	0,0,1	91,63,83	0,0,0	252	99
96	92,70,58	0,0,0	63,45,63	0,3,0	252	99
97	25,13,15	0,0,0	20,16,21	0,3,0	206	99
98	64,29,40	2,2,0	46,34,41	0,0,1	206	99
99	77,41,41	2,0,1	48,47,36	0,0,0	251	99
100	64,38,23	0,0,0	64,62,75	0,0,2	170	99
101	884,657,550	1,0,0	582,456,619	0,0,0	239	99
102	2,0,0	2,1,0	0,0,0	0,3,1	140	99
106	0,0,0	233,153,134	0,0,1	208,157,199	224	99
107	626,452,393	1,0,0	564,430,541	0,0,0	200	99
108	11,11,4	1,0,0	10,9,2	0,0,0	353	99
109	11,11,4	1,0,0	10,8,2	0,0,0	350	99
111	218,129,151	0,1,0	213,159,152	0,0,0	165	99
113	270,210,165	2,1,0	213,186,210	0,1,0	162	99
115	29,17,12	10,2,0	14,24,10	5,2,1	168	99
116	21,11,13	85,63,65	18,11,11	109,61,82	168	99
