,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
EGR1,11043.6275569281,13.4364712434064,3.74808239460511,0.0609940702957063,61.449947124925,0,0,0,0
ZFP36L1,9548.69194634108,2.36703420052413,1.2430805512648,0.0414742842564062,29.9723207657957,2.25259193737929e-197,4.63988887261386e-193,1.65441614840822e-193,3.30883229681644e-193
DDIT4,12070.1385330393,3.65102182926234,1.86830029459432,0.0628396811049151,29.7312185826511,3.03348386430105e-194,6.24806671530088e-190,1.48529481609061e-190,4.45588444827182e-190
RIPK4,7255.65778182067,2.60304043618136,1.38019772304637,0.0473733564526155,29.134471914121,1.31417928404765e-186,2.70668365342455e-182,4.825994875844e-183,1.9303979503376e-182
SOX9,8990.71900046508,2.62807370140431,1.39400573500558,0.0482895087140803,28.8676727539188,3.04072740399507e-183,6.26237808852785e-179,8.93304896745672e-180,4.46652448372836e-179
IRF2BP2,6910.58879035003,2.09341479669515,1.06585820067346,0.0378592147630257,28.1532041101499,2.189438487849e-174,4.50892962187623e-170,5.36011032466899e-171,3.2160661948014e-170
DUSP1,5059.32592595308,3.40680572648958,1.76841967991992,0.0650469679480095,27.1868118639039,9.30106339024705e-163,1.91536798395357e-158,1.95176171627627e-159,1.36623320139339e-158
BHLHE40,8115.85770888544,2.80990090211827,1.4905192512492,0.0550555504735599,27.0730060534953,2.04763067603994e-161,4.21648108810145e-157,3.75970587504384e-158,3.00776470003507e-157
ATF3,3062.12896230681,4.24712901222342,2.08648793314211,0.0772048604622181,27.0253442678415,7.44581853344012e-161,1.53316849422066e-156,1.21524031597447e-157,1.09371628437702e-156
TSC22D1,4288.13698465121,2.70137801457669,1.43369553603207,0.0530761504824816,27.0120482174999,1.06694585189067e-160,2.1968415090429e-156,1.56723676184221e-157,1.56723676184221e-156
ID4,2753.26163847541,2.98741601250725,1.57889815408334,0.0607633653101707,25.9843763758598,7.43730541916211e-149,1.53126681275129e-144,9.93150720927929e-146,1.09246579302072e-144
DUSP5,3385.07807006146,2.57552899682993,1.36486878286736,0.0537229905895283,25.405673956159,2.18287186851477e-142,4.4940966028982e-138,2.67201707305112e-139,3.20642048766134e-138
MAT2A,15966.2427857622,2.07556920165692,1.05350703371117,0.0419662308692521,25.1036848411148,4.53327694991497e-139,9.33265725678996e-135,5.12225423979239e-136,6.6589305117301e-135
KLF10,2455.03321525445,2.63635812098692,1.39854635831219,0.0561284114331355,24.9169061194301,4.87982967777175e-137,1.00456173746609e-132,5.11998700977066e-134,7.16798181367892e-133
CHAC1,1174.09213476329,7.6969688961171,2.94429041730449,0.118276891765514,24.8932008049519,8.81488019281023e-137,1.81454308768999e-132,8.63211834347929e-134,1.29481775152189e-132
ITPRIP,1565.90508634215,3.5169758794255,1.81433544052121,0.0746421626824292,24.3071124324256,1.6486535420866e-130,3.39358845103106e-126,1.51356699248188e-127,2.42170718797101e-126
CYP1A1,1163.2917651145,0.318851271281309,-1.64904446155687,0.0683203103140978,-24.1369580140298,1.02354911347521e-128,2.10677114026603e-124,8.84406642813966e-126,1.50349129278374e-124
JAG1,2055.43200550421,2.64871875004499,1.40529466157958,0.0586260114440336,23.9704975140791,5.64959148097453e-127,1.16279891861418e-122,4.6103805146686e-124,8.29868492640349e-123
MYC,14783.1228068856,2.17338690087922,1.11994502233048,0.0468377866027988,23.9111431935931,2.3454092431772e-126,4.827086763383e-122,1.81324823015947e-123,3.44517163730299e-122
