,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
CHAC1,1174.09213476329,21.0385055222713,4.39496032080156,0.114487792330828,38.3880257565079,0,0,0,0
MAFB,983.664984514375,9.90596165728372,3.3082970367856,0.0729601214666001,45.3439080183013,0,0,0,0
CCDC80,1170.94782880791,6.27906167906135,2.65054898394066,0.0700080305649034,37.860642022823,0,0,0,0
CEBPG,7176.60661114552,4.50559927021058,2.17171900540894,0.0426688696843914,50.8970362110008,0,0,0,0
MAT2A,15966.2427857622,3.9301130272125,1.97457080394804,0.0414681859057754,47.6165224211806,0,0,0,0
TFRC,14039.1110314404,0.365837106434738,-1.45072668148914,0.0370658319667666,-39.139191123239,0,0,0,0
TPM4,13277.5532882383,0.364825562041219,-1.45472127728682,0.0372194508817006,-39.0849741956311,0,0,0,0
PFN2,5907.40903992903,0.352638959944666,-1.50373622087043,0.0396292713160017,-37.9450888430352,0,0,0,0
SLC20A2,3603.64137407903,0.314780788582413,-1.6675806006196,0.0420985543711395,-39.6113506872056,0,0,0,0
SQLE,7707.3844073847,0.309795528079425,-1.69061177601554,0.0390966306677196,-43.241879086307,0,0,0,0
ALDH1A3,12694.5027068649,0.304604909033615,-1.71498890230253,0.0420698634959938,-40.7652594942658,0,0,0,0
FLJ41200,3266.83734353201,0.296701434273536,-1.75291619397307,0.0430271266165138,-40.7397921222168,0,0,0,0
FDFT1,11390.3136226327,0.283746448972419,-1.81732575739813,0.041353511283649,-43.9461052033251,0,0,0,0
ACAT2,4623.15416165302,0.279162632549593,-1.84082225306507,0.0486635956814525,-37.8275017965159,0,0,0,0
IDI1,4904.84482216242,0.279095326172055,-1.84117013015682,0.0476659314087035,-38.6265426006265,0,0,0,0
PLCG2,7913.154482484,0.278650838442037,-1.84346960049037,0.048942884576652,-37.6657325459274,0,0,0,0
QPRT,3769.96207820728,0.276499589396897,-1.85465075683425,0.0468125978073315,-39.618624979274,0,0,0,0
SCD,32834.8257448969,0.257375062825725,-1.95805581786529,0.0413035078615216,-47.4065259645758,0,0,0,0
TM4SF1,9190.05584637133,0.237807619315821,-2.07213315535867,0.0442990294381583,-46.7760396026594,0,0,0,0
MVD,6849.7845964159,0.235399444516068,-2.08681717890718,0.0486797049320637,-42.8683202131051,0,0,0,0
HMGCR,4796.33207643566,0.215348217783933,-2.2152567109636,0.0527964656505401,-41.9584281574147,0,0,0,0
ACSL1,7421.07985416026,0.20939383103844,-2.25570915529939,0.0392326794478269,-57.4956690964511,0,0,0,0
C6orf223,1147.55552679326,0.175084148154085,-2.51387962456385,0.0644558030572375,-39.0016027312777,0,0,0,0
IFFO2,6768.5641128369,0.172452290117318,-2.53573080738196,0.0554684530415987,-45.7148283093506,0,0,0,0
