ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
14	"MBD4"	"MBD4"	chr3	-	129434061	129434136	129433849	129433984	129437807	129437950
17	"RP11-1012E15.2"	"RP11-1012E15.2"	chr14	+	55957154	55957290	55943639	55943812	55957961	55958166
18	"RP11-1012E15.2"	"RP11-1012E15.2"	chr14	+	55962171	55962277	55961980	55962087	55962824	55962970
19	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10433841	10433965	10430101	10430568	10434656	10434690
20	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10433841	10433965	10431257	10431401	10434656	10434690
21	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430101	10430568	10440346	10440413
22	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430101	10430568	10451376	10451659
24	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430803	10431401	10442264	10442441
25	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10430101	10430568	10451376	10451659
26	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10431257	10431401	10442264	10442441
27	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10434656	10434690	10442264	10442441
28	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10434656	10434690	10451376	10451659
29	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10442264	10442441	10434656	10434690	10451376	10451411
31	"ALDH4A1"	"ALDH4A1"	chr1	-	18876314	18876467	18875381	18875503	18877207	18877255
32	"ALDH4A1"	"ALDH4A1"	chr1	-	18879299	18879373	18877415	18877612	18881699	18881887
33	"ALDH4A1"	"ALDH4A1"	chr1	-	18881699	18881887	18879299	18879373	18883123	18883198
34	"ALDH4A1"	"ALDH4A1"	chr1	-	18886463	18886511	18885472	18885628	18889361	18889454
36	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103562961	103563124	103574106	103574170
37	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103562961	103563124	103587273	103587364
39	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103562961	103563124	103587273	103587364
41	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103571622	103571820	103587273	103587364
43	"APOPT1"	"APOPT1"	chr14	+	103579370	103579491	103574106	103574170	103587273	103587364
44	"APOPT1"	"APOPT1"	chr14	+	103581568	103581656	103574106	103574170	103587273	103587364
45	"APOPT1"	"APOPT1"	chr14	+	103587273	103587364	103574106	103574170	103590180	103590234
49	"C19orf18"	"C19orf18"	chr19	-	57961390	57961551	57958436	57958717	57966529	57966632
50	"TRIM4"	"TRIM4"	chr7	-	99908581	99908812	99903575	99903598	99909564	99909660
51	"TRIM4"	"TRIM4"	chr7	-	99916701	99916779	99909564	99909660	99919008	99919531
52	"DSP"	"DSP"	chr6	+	7555717	7555820	7541574	7542085	7558115	7558264
57	"RAPGEF1"	"RAPGEF1"	chr9	-	131604930	131605188	131602113	131602149	131619050	131619209
60	"RAPGEF1"	"RAPGEF1"	chr9	-	131638634	131638791	131630235	131630324	131643238	131643391
61	"RAPGEF1"	"RAPGEF1"	chr9	-	131643238	131643417	131638634	131638791	131650809	131650949
64	"ZNF684"	"ZNF684"	chr1	+	40540585	40540712	40533142	40533181	40541614	40541710
68	"FGFR1OP"	"FGFR1OP"	chr6	+	167026546	167026615	167024781	167024894	167032602	167032642
70	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218664738	218664873	218665915	218666059
71	"RNF25"	"RNF25"	chr2	-	218665915	218666059	218665153	218665247	218666158	218666230
72	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665154	218665247	218666158	218666230
73	"RNF25"	"RNF25"	chr2	-	218666158	218666230	218665153	218665247	218667911	218667981
74	"UCA1"	"UCA1"	chr19	+	15831254	15831356	15828960	15829338	15834501	15836320
75	"UCA1"	"UCA1"	chr19	+	15831254	15831356	15828960	15829338	15835217	15835420
77	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13616462	13616521	13620207	13620329
78	"NOL7"	"NOL7"	chr6	+	13618057	13618139	13617769	13617801	13620207	13620329
79	"NOL7"	"NOL7"	chr6	+	13620753	13620856	13620407	13620485	13632392	13632739
80	"DNAJC15"	"DNAJC15"	chr13	+	43065685	43065737	43023202	43023734	43078611	43078688
81	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43065685	43065737	43078611	43078688
82	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43068929	43069003	43085767	43085838
83	"DNAJC15"	"DNAJC15"	chr13	+	43085767	43085838	43078611	43078688	43107177	43114224
85	"TFCP2L1"	"TFCP2L1"	chr2	-	121231825	121231968	121225561	121225613	121234090	121234194
86	"TFCP2L1"	"TFCP2L1"	chr2	-	121237801	121237850	121237622	121237716	121239557	121239649
87	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121242358	121242469	121248163	121248270
88	"TFCP2L1"	"TFCP2L1"	chr2	-	121248163	121248270	121246817	121246970	121248981	121249087
89	"TFCP2L1"	"TFCP2L1"	chr2	-	121281119	121281271	121249570	121249647	121285047	121285207
90	"AP000320.7"	"AP000320.7"	chr21	+	34125340	34125480	34073591	34073745	34215499	34215540
91	"AP000320.7"	"AP000320.7"	chr21	+	34215499	34215540	34073591	34073745	34262819	34262921
96	"PPP2R1A"	"PPP2R1A"	chr19	+	52205962	52206063	52201766	52202034	52211259	52211296
97	"RGMB"	"RGMB"	chr5	+	98773952	98774206	98770352	98770673	98779579	98780088
98	"RGMB"	"RGMB"	chr5	+	98773955	98774206	98770597	98770673	98779579	98779919
99	"EXOC7"	"EXOC7"	chr17	-	76084005	76084139	76081016	76083750	76084247	76084289
103	"EXOC7"	"EXOC7"	chr17	-	76088059	76088122	76087653	76087720	76088463	76088562
110	"EXOC7"	"EXOC7"	chr17	-	76097795	76098018	76092314	76094581	76101270	76101376
111	"EXOC7"	"EXOC7"	chr17	-	76101678	76101863	76101011	76101376	76103083	76103270
114	"PDZD11"	"PDZD11"	chrX	-	70288116	70288173	70287731	70287830	70288429	70288513
115	"PDZD11"	"PDZD11"	chrX	-	70289254	70289354	70288429	70288513	70289859	70289979
