"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"exonStart_0base"	"exonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
47503	"SRSF3"	"SRSF3"	chr6	+	36599820	36600276	36598848	36598983	36601151	36601190	47503	324,214,197	1278,875,742	351,289,365	634,534,630	555	99	3.5527136788e-15	5.98300668268e-11	0.043,0.042,0.045	0.09,0.088,0.094	-0.047
18545	"ZNF207"	"ZNF207"	chr17	+	32366664	32366757	32365329	32365487	32367771	32368014	18545	222,166,119	244,172,133	192,129,171	490,370,413	192	99	4.06341627013e-14	4.10583833599e-10	0.319,0.332,0.316	0.168,0.152,0.176	0.157
22555	"MAP4"	"MAP4"	chr3	-	47909037	47912421	47877416	47877523	47914816	47914939	22555	475,348,294	267,266,171	869,629,806	236,202,216	3483	99	3.697042672e-14	4.10583833599e-10	0.048,0.036,0.047	0.095,0.081,0.096	-0.047
31210	"SAT1"	"SAT1"	chrX	+	23784293	23784403	23783799	23783883	23785327	23785429	31210	88,97,72	636,450,348	42,35,39	670,505,579	209	99	5.04374320087e-13	4.24699989991e-09	0.062,0.093,0.089	0.029,0.032,0.031	0.051
23004	"USF2"	"USF2"	chr19	+	35275081	35275425	35271082	35271141	35275782	35275900	23004	0,2,0	1,3,1	2,1,1	0,0,0	443	99	1.25643939697e-12	9.06826160196e-09	0.0,0.13,0.0	1.0,1.0,1.0	-0.957
16861	"DCUN1D4"	"DCUN1D4"	chr4	+	51860542	51860663	51848204	51848367	51863436	51863507	16861	5,2,1	0,0,0	1,2,1	3,1,4	220	99	1.48425716162e-12	9.37345503992e-09	1.0,1.0,1.0	0.13,0.474,0.101	0.765
48314	"PLSCR1"	"PLSCR1"	chr3	-	146536539	146536565	146533469	146533550	146544466	146544530	48314	562,428,407	66,50,31	336,240,335	82,106,93	125	99	2.50777176802e-12	1.15179677513e-08	0.871,0.871,0.912	0.764,0.642,0.74	0.169
48359	"GIPC1"	"GIPC1"	chr19	-	14492856	14492912	14480592	14480778	14496036	14496052	48359	3,1,2	0,0,0	1,1,1	1,5,2	155	99	2.43127740163e-12	1.15179677513e-08	1.0,1.0,1.0	0.39,0.113,0.242	0.752
69734	"FHL2"	"FHL2"	chr2	-	105396646	105396697	105386360	105386540	105398841	105399224	69734	307,223,202	90,49,62	93,77,100	71,56,79	150	99	2.41229258791e-12	1.15179677513e-08	0.692,0.75,0.683	0.464,0.476,0.455	0.243
69498	"DENND1B"	"DENND1B"	chr1	-	197658299	197658369	197652234	197652315	197672036	197672156	69498	34,35,16	0,2,0	20,12,16	12,5,11	169	99	5.21782617113e-12	2.19679178182e-08	1.0,0.911,1.0	0.494,0.584,0.46	0.458
3951	"EEF1D"	"EEF1D"	chr8	-	143588990	143590092	143586728	143586852	143597347	143597675	3951	32,20,25	4,1,3	0,0,0	1,3,5	1201	99	6.23834317537e-12	2.25123981361e-08	0.397,0.622,0.407	0.0,0.0,0.0	0.475
34585	"ZNF138"	"ZNF138"	chr7	+	64830939	64831076	64815575	64815653	64831450	64831803	34585	6,4,2	0,0,0	4,1,4	2,6,2	236	99	5.87119242113e-12	2.25123981361e-08	1.0,1.0,1.0	0.456,0.065,0.456	0.674
29639	"SRSF2"	"SRSF2"	chr17	-	76735771	76735875	76734146	76735158	76736153	76736464	29639	216,128,125	846,465,416	119,99,124	986,787,922	203	99	8.73234817789e-12	2.94117129762e-08	0.111,0.118,0.128	0.056,0.058,0.062	0.06
24250	"PDIK1L"	"PDIK1L"	chr1	+	26112459	26112650	26111172	26111420	26114291	26114593	24250	2,4,2	3,2,3	8,8,3	0,0,0	290	99	9.83690906509e-12	3.10612699867e-08	0.185,0.406,0.185	1.0,1.0,1.0	-0.741
4995	"RHBDD1"	"RHBDD1"	chr2	+	226838072	226838154	226837523	226837838	226839408	226839627	4995	1,3,3	0,0,0	2,2,3	4,3,2	181	99	2.72659672618e-11	8.10312469412e-08	1.0,1.0,1.0	0.215,0.267,0.451	0.689
37907	"NQO2"	"NQO2"	chr6	+	3004494	3004651	2993930	2994053	3006467	3006559	37907	6,7,10	5,6,2	18,10,17	0,0,0	256	99	3.25085514064e-11	9.12442796752e-08	0.317,0.311,0.659	1.0,1.0,1.0	-0.571
40836	"HNRNPH1"	"HNRNPH1"	chr5	-	179615545	179615595	179614177	179614959	179616125	179616218	40836	1415,1086,949	123,78,63	1379,980,1331	217,153,214	149	99	4.55215865003e-11	1.21044294377e-07	0.884,0.902,0.909	0.809,0.81,0.805	0.09
7467	"SFI1"	"SFI1"	chr22	+	31531057	31531129	31528689	31528863	31546860	31546971	7467	10,6,7	9,3,6	8,5,8	0,0,0	171	99	1.88053572714e-10	4.75042130033e-07	0.391,0.537,0.403	1.0,1.0,1.0	-0.556
