ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"CFAP69"	"CFAP69"	chr7	+	90268285	90268384	90268285	90268330	90271525	90271675	3	1,0,0	0,2,0	1,0,0	0,0,0	152	99	1	1.0	1.0,0.0,NA	1.0,NA,NA	-0.5
4	"MBD4"	"MBD4"	chr3	-	129436442	129437308	129436460	129437308	129434061	129434136	4	32,51,24	76,103,54	51,44,38	108,81,57	116	99	0.327266670214	1.0	0.264,0.297,0.275	0.287,0.317,0.363	-0.044
5	"MBD4"	"MBD4"	chr3	-	129437719	129437950	129437807	129437950	129434061	129434136	5	69,82,53	0,0,1	87,75,51	0,0,0	186	99	1	1.0	1.0,1.0,0.966	1.0,1.0,1.0	-0.011
8	"RNF25"	"RNF25"	chr2	-	218668238	218668341	218668278	218668341	218668078	218668146	8	55,52,34	2,0,1	51,26,41	1,2,0	138	99	1	1.0	0.952,1.0,0.961	0.973,0.903,1.0	0.012
9	"SLC44A2"	"SLC44A2"	chr19	+	10625519	10625670	10625519	10625549	10626252	10626301	9	872,878,501	0,1,0	1006,650,658	0,0,0	198	99	1	1.0	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
10	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10635162	10635255	10	1423,1710,922	3,1,1	1599,1106,1052	2,1,1	198	99	1	1.0	0.996,0.999,0.998	0.998,0.998,0.998	-0.0
11	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10636322	10636585	11	43,49,31	2,3,3	34,22,27	2,0,1	198	99	0.0554935471118	0.556582163911	0.915,0.891,0.838	0.895,1.0,0.931	-0.061
12	"NTMT1"	"NTMT1"	chr9	+	129632649	129632865	129632649	129632801	129634053	129634306	12	230,249,135	19,34,14	237,147,141	13,12,15	162	99	0.100422342142	0.76275846391	0.881,0.817,0.855	0.918,0.882,0.852	-0.033
13	"PARL"	"PARL"	chr3	-	183862696	183862801	183862752	183862801	183844230	183844326	13	10,16,9	91,122,55	17,8,3	102,65,63	154	99	0.81962151446	1.0	0.066,0.078,0.095	0.097,0.073,0.03	0.013
14	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232136471	232136719	14	1,2,1	18,34,10	0,0,0	29,19,24	198	99	0.391810764852	1.0	0.027,0.029,0.048	0.0,0.0,0.0	0.035
15	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232163458	232163632	15	0,2,1	0,0,0	0,0,0	1,2,2	198	99	1	1.0	NA,1.0,1.0	0.0,0.0,0.0	1.0
16	"RIOK3"	"RIOK3"	chr18	+	23473428	23473626	23473428	23473483	23474947	23475107	16	99,110,68	1,3,4	107,65,64	0,0,0	198	99	0.0156759161228	0.279801044615	0.98,0.948,0.895	1.0,1.0,1.0	-0.059
18	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19677863	19677986	19678725	19678786	18	8,14,13	3,2,3	7,13,10	8,2,9	102	99	0.0514277987036	0.536499875365	0.721,0.872,0.808	0.459,0.863,0.519	0.187
25	"NEURL4"	"NEURL4"	chr17	-	7322947	7323123	7322953	7323123	7322734	7322866	25	15,20,16	3,4,5	10,11,13	8,3,5	104	99	0.139784239799	0.913506105999	0.826,0.826,0.753	0.543,0.777,0.712	0.124
26	"NEURL4"	"NEURL4"	chr17	-	7324798	7324980	7324910	7324980	7324394	7324480	26	64,55,46	1,2,1	43,50,32	0,1,0	198	99	0.255979327217	1.0	0.97,0.932,0.958	1.0,0.962,1.0	-0.034
27	"HSD17B4"	"HSD17B4"	chr5	+	119477416	119477501	119477416	119477492	119478833	119479021	27	149,161,94	0,0,1	165,100,101	0,0,2	107	99	1	1.0	1.0,1.0,0.989	1.0,1.0,0.979	0.003
30	"POLR3H"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	30	29,67,24	148,157,111	45,28,19	164,116,65	153	99	0.793229238547	1.0	0.113,0.216,0.123	0.151,0.135,0.159	0.002
31	"SRRT"	"SRRT"	chr7	+	100885700	100885774	100885700	100885762	100885862	100885941	31	1,1,0	103,136,80	0,0,1	100,65,75	110	99	1	1.0	0.009,0.007,0.0	0.0,0.0,0.012	0.001
33	"CLPTM1"	"CLPTM1"	chr19	+	44954590	44955085	44954590	44954701	44961962	44962075	33	5,2,1	0,1,0	3,3,3	0,0,0	198	99	1	1.0	1.0,0.5,1.0	1.0,1.0,1.0	-0.167
35	"EXO1"	"EXO1"	chr1	+	241853357	241853481	241853357	241853472	241857344	241857482	35	77,113,41	1,1,2	120,57,34	4,0,0	107	99	0.724886729788	1.0	0.986,0.991,0.95	0.965,1.0,1.0	-0.013
37	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912040	73912068	37	4,4,1	41,39,25	6,7,7	84,59,54	198	99	0.403971646834	1.0	0.047,0.049,0.02	0.034,0.056,0.061	-0.012
38	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912214	73912322	38	4,4,1	0,0,0	5,7,7	6,0,4	198	99	2.01829981605e-06	0.000426365836141	1.0,1.0,1.0	0.294,1.0,0.467	0.413
41	"IKBKB"	"IKBKB"	chr8	+	42293442	42293568	42293442	42293512	42305186	42305275	41	2,1,0	16,19,3	2,0,0	16,4,13	154	99	1	1.0	0.074,0.033,0.0	0.074,0.0,0.0	0.011
46	"EML2"	"EML2"	chr19	-	45639294	45639397	45639356	45639397	45638844	45638873	46	8,3,9	52,59,46	20,13,4	69,59,47	160	99	0.0809957181402	0.689585711118	0.087,0.031,0.108	0.152,0.12,0.05	-0.032
49	"PSEN1"	"PSEN1"	chr14	+	73147966	73148106	73147966	73148094	73170796	73171047	49	45,63,44	51,51,32	48,32,44	56,43,29	110	99	0.527701981902	1.0	0.443,0.526,0.553	0.435,0.401,0.577	0.036
51	"WDR26"	"WDR26"	chr1	-	224431476	224431581	224431524	224431581	224419517	224419615	51	45,36,19	0,0,0	55,37,26	0,0,1	146	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.946	0.018
52	"WDR26"	"WDR26"	chr1	-	224431476	224431581	224431524	224431581	224424517	224424654	52	111,103,56	70,67,37	158,78,69	69,58,54	146	99	0.832973241943	1.0	0.518,0.51,0.506	0.608,0.477,0.464	-0.005
54	"DCUN1D1"	"DCUN1D1"	chr3	-	182965536	182965753	182965678	182965753	182963880	182964049	54	168,213,98	0,7,3	204,129,108	0,0,0	198	99	0.0164904101075	0.287307145172	1.0,0.938,0.942	1.0,1.0,1.0	-0.04
55	"FLNB"	"FLNB"	chr3	+	58141857	58141929	58141857	58141896	58142649	58142752	55	167,202,132	40,25,15	170,169,114	41,23,21	131	99	0.407128074904	1.0	0.759,0.859,0.869	0.758,0.847,0.804	0.026
56	"TTC1"	"TTC1"	chr5	+	160009112	160009193	160009112	160009190	160010499	160010858	56	148,230,85	26,12,11	208,146,137	17,13,16	101	99	0.570387336094	1.0	0.848,0.949,0.883	0.923,0.917,0.894	-0.018
57	"CCDC84"	"CCDC84"	chr11	+	119011220	119011311	119011220	119011283	119011938	119012003	57	7,11,0	18,18,4	7,7,8	11,7,13	126	99	0.215473430956	1.0	0.234,0.324,0.0	0.333,0.44,0.326	-0.18
58	"CCDC84"	"CCDC84"	chr11	+	119011938	119012254	119011938	119012003	119013231	119013262	58	39,15,8	0,0,0	26,17,22	1,0,1	198	99	1	1.0	1.0,1.0,1.0	0.929,1.0,0.917	0.051
59	"RFWD2"	"RFWD2"	chr1	-	176163814	176163891	176163826	176163891	176162868	176162988	59	43,54,34	17,12,10	65,36,27	15,14,8	110	99	0.951175710804	1.0	0.695,0.802,0.754	0.796,0.698,0.752	0.002
60	"FARSA"	"FARSA"	chr19	-	12928534	12928663	12928572	12928663	12928341	12928457	60	501,486,294	0,2,0	588,427,338	0,0,0	136	99	1	1.0	1.0,0.994,1.0	1.0,1.0,1.0	-0.002
61	"FARSA"	"FARSA"	chr19	-	12930428	12930749	12930611	12930749	12930222	12930341	61	397,429,228	0,0,0	519,369,316	0,1,0	198	99	1	1.0	1.0,1.0,1.0	1.0,0.995,1.0	0.002
