ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ZNF684"	"ZNF684"	chr1	+	40544396	40545037	40544415	40545037	40541614	40541710	1	2,3,0	0,0,1	2,3,3	1,2,0	118	99	0.58187570279	1.0	1.0,1.0,0.0	0.627,0.557,1.0	-0.061
2	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665915	218666059	218666158	218666230	2	3,1,2	128,65,111	0,0,1	55,50,39	124	99	0.704791625943	1.0	0.018,0.012,0.014	0.0,0.0,0.02	0.008
4	"IL1RL1"	"IL1RL1"	chr2	+	102343035	102343177	102343077	102343177	102342222	102342294	4	21,8,13	3,0,2	3,0,1	0,0,0	141	99	1	1.0	0.831,1.0,0.82	1.0,NA,1.0	-0.116
6	"EXOC7"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235	6	15,7,5	26,6,19	4,3,0	5,16,5	183	99	0.0776996711251	0.471413363038	0.238,0.387,0.125	0.302,0.092,0.0	0.119
8	"ACTR8"	"ACTR8"	chr3	-	53873031	53873146	53873031	53873127	53874210	53874364	8	2,1,4	45,29,45	1,0,1	38,26,32	118	99	0.0654748183654	0.426867000419	0.036,0.028,0.069	0.022,0.0,0.026	0.028
9	"ACTR8"	"ACTR8"	chr3	-	53879938	53880109	53879938	53880072	53881978	53882202	9	54,35,58	2,0,0	55,25,47	1,3,1	136	99	0.319094912822	1.0	0.952,1.0,1.0	0.976,0.858,0.972	0.049
12	"SLC44A2"	"SLC44A2"	chr19	+	10637643	10637747	10637649	10637747	10636661	10636756	12	828,505,797	0,0,0	722,579,711	3,0,0	105	99	1	1.0	1.0,1.0,1.0	0.996,1.0,1.0	0.001
13	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66456186	66456342	13	9,5,4	3,0,0	2,1,5	2,0,0	102	99	0.49230550259	1.0	0.744,1.0,1.0	0.493,1.0,1.0	0.084
14	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66462923	66463093	14	1,1,1	0,0,2	0,1,0	0,1,0	102	99	1	1.0	1.0,1.0,0.327	NA,0.493,NA	0.283
19	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399169	133399226	19	77,31,66	0,0,1	53,30,44	1,3,2	719	99	0.000561715970818	0.0146844670214	1.0,1.0,0.901	0.879,0.579,0.752	0.23
20	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399528	133399619	20	158,79,154	5,0,0	123,84,124	0,0,0	719	99	0.12779240058	0.659715299282	0.813,1.0,1.0	1.0,1.0,1.0	-0.062
