ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"MBD4"	"MBD4"	chr3	-	129434061	129434136	129436460	129437308	129433849	129433984	129437719	129437950
1	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10440346	10440413	10430434	10430568	10442264	10442441
2	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103574106	103574170	103562961	103563124	103587273	103587364
3	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103574106	103574170	103563172	103563379	103587273	103587364
4	"APOPT1"	"APOPT1"	chr14	+	103579370	103579491	103581568	103581656	103574106	103574170	103587273	103587364
5	"RAPGEF1"	"RAPGEF1"	chr9	-	131604930	131605188	131619050	131619209	131602113	131602149	131621795	131621998
6	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666059	218664738	218664873	218666158	218666230
7	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666084	218664826	218664873	218666158	218666230
8	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13618057	13618139	13616462	13616521	13620207	13620329
9	"DNAJC15"	"DNAJC15"	chr13	+	43065685	43065737	43068929	43069003	43023202	43023734	43078611	43078688
10	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43078611	43078688	43023202	43023734	43085767	43085838
11	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43078611	43078688	43065685	43065737	43085767	43085838
12	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43085767	43085838	43068929	43069003	43107177	43114224
13	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121248163	121248270	121242358	121242469	121248981	121249087
14	"AP000320.7"	"AP000320.7"	chr21	+	34125340	34125480	34262819	34262921	34073591	34073745	34293680	34293756
15	"EXOC7"	"EXOC7"	chr17	-	76084005	76084139	76084247	76084289	76081016	76083750	76084516	76084580
16	"EXOC7"	"EXOC7"	chr17	-	76090328	76090397	76091142	76091235	76089174	76089320	76094413	76094581
17	"RP11-251P6.1"	"RP11-251P6.1"	chr1	-	105600630	105600759	105603276	105603558	105589679	105589785	105604162	105604265
18	"ACOT11"	"ACOT11"	chr1	+	54585834	54585904	54592545	54592606	54584654	54584862	54593940	54594039
19	"IL6R"	"IL6R"	chr1	+	154435968	154436110	154445046	154445094	154434989	154435156	154448124	154448171
20	"SLC44A2"	"SLC44A2"	chr19	+	10627919	10628004	10631056	10631141	10626252	10626301	10631274	10631385
21	"SLC44A2"	"SLC44A2"	chr19	+	10631474	10631535	10631625	10631749	10631274	10631385	10631867	10631918
22	"SLC44A2"	"SLC44A2"	chr19	+	10631625	10631749	10631867	10631951	10631474	10631535	10632043	10632156
23	"SLC44A2"	"SLC44A2"	chr19	+	10631867	10631951	10632043	10632156	10631625	10631749	10634755	10634887
24	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10636322	10636585	10634755	10634887	10636661	10636756
25	"SLC44A2"	"SLC44A2"	chr19	+	10638022	10638093	10638226	10638315	10637855	10637929	10642366	10642451
26	"SLC44A2"	"SLC44A2"	chr19	+	10638226	10638315	10642366	10642451	10638022	10638093	10643278	10644550
27	"GRIP1"	"GRIP1"	chr12	-	66456186	66456342	66462923	66463093	66455408	66455561	66465274	66465422
28	"GRIP1"	"GRIP1"	chr12	-	66456186	66456342	66462923	66463093	66455408	66455564	66465274	66465422
29	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48998153	48998180	48990925	48991110	48999237	48999299
30	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48997249	48997357	48991009	48991102	48998153	48998180
31	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48997249	48997357	48991009	48991102	48999237	48999299
32	"GRIPAP1"	"GRIPAP1"	chrX	-	48997249	48997357	48998153	48998180	48993427	48993578	48999237	48999299
33	"MTG1"	"MTG1"	chr10	+	133399528	133399619	133401528	133401590	133399169	133399226	133402148	133402245
