ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ZNF684"	"ZNF684"	chr1	+	40544396	40545037	40544415	40545037	40541614	40541710	1	5,5,4	0,2,0	2,3,0	0,0,1	118	99	1	1.0	1.0,0.677,1.0	1.0,1.0,0.0	0.226
2	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665915	218666059	218666158	218666230	2	3,2,0	28,51,27	3,1,2	128,65,111	124	99	0.545459273128	1.0	0.079,0.03,0.0	0.018,0.012,0.014	0.022
4	"IL1RL1"	"IL1RL1"	chr2	+	102343035	102343177	102343077	102343177	102342222	102342294	4	0,1,5	0,0,2	21,8,13	3,0,2	141	99	1	1.0	NA,1.0,0.637	0.831,1.0,0.82	-0.065
6	"EXOC7"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235	6	6,9,7	12,18,9	15,7,5	26,6,19	183	99	0.813229904017	1.0	0.213,0.213,0.296	0.238,0.387,0.125	-0.009
8	"ACTR8"	"ACTR8"	chr3	-	53873031	53873146	53873031	53873127	53874210	53874364	8	0,1,1	16,34,7	2,1,4	45,29,45	118	99	0.0864097849538	0.503025090378	0.0,0.024,0.107	0.036,0.028,0.069	-0.001
9	"ACTR8"	"ACTR8"	chr3	-	53879938	53880109	53879938	53880072	53881978	53882202	9	23,35,10	0,0,3	54,35,58	2,0,0	136	99	0.657983736314	1.0	1.0,1.0,0.708	0.952,1.0,1.0	-0.081
12	"SLC44A2"	"SLC44A2"	chr19	+	10637643	10637747	10637649	10637747	10636661	10636756	12	1194,1359,805	8,16,0	828,505,797	0,0,0	105	99	1	1.0	0.993,0.988,1.0	1.0,1.0,1.0	-0.006
13	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66456186	66456342	13	2,4,0	1,0,0	9,5,4	3,0,0	102	99	1	1.0	0.66,1.0,NA	0.744,1.0,1.0	-0.085
14	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66462923	66463093	14	0,2,0	0,0,0	1,1,1	0,0,2	102	99	1	1.0	NA,1.0,NA	1.0,1.0,0.327	0.224
19	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399169	133399226	19	49,45,31	1,0,1	77,31,66	0,0,1	719	99	1	1.0	0.871,1.0,0.81	1.0,1.0,0.901	-0.073
20	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399528	133399619	20	139,126,81	2,3,0	158,79,154	5,0,0	719	99	0.659729286374	1.0	0.905,0.853,1.0	0.813,1.0,1.0	-0.018
21	"APH1A"	"APH1A"	chr1	-	150267074	150267254	150267074	150267202	150267355	150267478	21	0,9,1	256,241,148	0,0,3	356,145,320	151	99	0.900643293345	1.0	0.0,0.024,0.004	0.0,0.0,0.006	0.007
22	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13038514	13038579	13037236	13037301	22	28,31,35	0,0,0	23,14,22	0,1,0	244	99	1	1.0	1.0,1.0,1.0	1.0,0.85,1.0	0.05
23	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13059081	13059312	13055779	13056698	23	19,22,12	1,0,1	26,24,31	0,0,0	1596	99	1	1.0	0.541,1.0,0.427	1.0,1.0,1.0	-0.344
