ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"CFAP69"	"CFAP69"	chr7	+	90268285	90268384	90268285	90268330	90271525	90271675	3	0,0,0	0,2,0	1,0,0	0,0,0	152	99	1	1.0	NA,0.0,NA	1.0,NA,NA	-1.0
4	"MBD4"	"MBD4"	chr3	-	129436442	129437308	129436460	129437308	129434061	129434136	4	108,49,102	227,126,240	51,29,48	73,58,81	116	99	0.0441695975212	0.282628783197	0.289,0.249,0.266	0.374,0.299,0.336	-0.068
5	"MBD4"	"MBD4"	chr3	-	129437719	129437950	129437807	129437950	129434061	129434136	5	209,98,158	2,2,1	80,39,76	0,0,0	186	99	0.542508778876	1.0	0.982,0.963,0.988	1.0,1.0,1.0	-0.022
8	"RNF25"	"RNF25"	chr2	-	218668238	218668341	218668278	218668341	218668078	218668146	8	156,89,144	0,2,2	74,59,83	1,0,3	138	99	0.448014232176	1.0	1.0,0.97,0.981	0.982,1.0,0.952	0.006
9	"SLC44A2"	"SLC44A2"	chr19	+	10625519	10625670	10625519	10625549	10626252	10626301	9	713,484,729	3,0,0	634,463,675	0,2,0	198	99	1	1.0	0.992,1.0,1.0	1.0,0.991,1.0	0.0
10	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10635162	10635255	10	1167,701,1357	4,1,2	950,736,901	1,2,0	198	99	1	1.0	0.993,0.997,0.997	0.998,0.995,1.0	-0.002
11	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10636322	10636585	11	52,25,41	2,2,1	25,10,19	1,0,1	198	99	1	1.0	0.929,0.862,0.953	0.926,1.0,0.905	-0.029
12	"NTMT1"	"NTMT1"	chr9	+	129632649	129632865	129632649	129632801	129634053	129634306	12	359,188,348	83,37,49	283,223,227	26,7,22	162	99	3.19374439339e-07	2.59228643634e-05	0.726,0.756,0.813	0.869,0.951,0.863	-0.129
13	"PARL"	"PARL"	chr3	-	183862696	183862801	183862752	183862801	183844230	183844326	13	35,18,45	110,83,98	14,6,13	110,86,89	154	99	2.08542288027e-06	0.000128181596003	0.17,0.122,0.228	0.076,0.043,0.086	0.105
14	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232163458	232163632	14	0,2,0	1,5,1	2,0,2	2,2,2	198	99	0.552005322089	1.0	0.0,0.167,0.0	0.333,0.0,0.333	-0.166
15	"MTG1"	"MTG1"	chr10	+	133399528	133399653	133399528	133399619	133402148	133402773	15	4,1,2	5,0,0	1,2,1	0,0,0	132	99	0.0294746324501	0.212276898353	0.375,1.0,1.0	1.0,1.0,1.0	-0.208
16	"RIOK3"	"RIOK3"	chr18	+	23473428	23473626	23473428	23473483	23474947	23475107	16	146,75,148	4,3,1	86,86,80	0,1,0	198	99	0.048258721241	0.297137031475	0.948,0.926,0.987	1.0,0.977,1.0	-0.039
18	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19677863	19677986	19678725	19678786	18	44,13,21	23,9,22	13,18,20	3,8,8	102	99	0.0474588949312	0.293874744139	0.65,0.584,0.481	0.808,0.686,0.708	-0.162
22	"WDR31"	"WDR31"	chr9	-	113331906	113332050	113331977	113332050	113330983	113331116	22	1,4,4	1,0,0	5,0,7	0,0,0	169	99	1	1.0	0.369,1.0,1.0	1.0,NA,1.0	-0.21
25	"NEURL4"	"NEURL4"	chr17	-	7322947	7323123	7322953	7323123	7322734	7322866	25	40,17,43	16,4,10	18,15,13	4,6,4	104	99	0.89169400197	1.0	0.704,0.802,0.804	0.811,0.704,0.756	0.013
26	"NEURL4"	"NEURL4"	chr17	-	7324798	7324980	7324910	7324980	7324394	7324480	26	92,67,107	2,2,2	66,35,60	1,0,1	198	99	1	1.0	0.958,0.944,0.964	0.971,1.0,0.968	-0.024
27	"HSD17B4"	"HSD17B4"	chr5	+	119477416	119477501	119477416	119477492	119478833	119479021	27	99,70,66	2,0,0	131,106,98	0,2,0	107	99	1	1.0	0.979,1.0,1.0	1.0,0.98,1.0	-0.0
30	"POLR3H"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	30	192,101,180	578,333,634	42,39,50	193,145,184	153	99	0.125168717322	0.557842489396	0.177,0.164,0.155	0.123,0.148,0.15	0.025
31	"SRRT"	"SRRT"	chr7	+	100885700	100885774	100885700	100885762	100885862	100885941	31	3,0,3	182,101,200	0,2,0	161,99,127	110	99	1	1.0	0.015,0.0,0.013	0.0,0.018,0.0	0.003
32	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248955	52249063	32	0,1,2	1,0,0	0,0,1	0,5,0	198	99	1	1.0	0.0,1.0,1.0	NA,0.0,1.0	0.167
34	"CLPTM1"	"CLPTM1"	chr19	+	44954590	44955085	44954590	44954701	44961962	44962075	34	24,10,21	0,3,2	3,3,4	1,0,0	198	99	0.0300272723528	0.214094451875	1.0,0.625,0.84	0.6,1.0,1.0	-0.045
35	"E2F4"	"E2F4"	chr16	+	67192760	67192870	67192760	67192824	67193008	67193170	35	432,289,473	4,1,2	234,178,248	0,0,0	144	99	1	1.0	0.987,0.995,0.994	1.0,1.0,1.0	-0.008
36	"EXO1"	"EXO1"	chr1	+	241853357	241853481	241853357	241853472	241857344	241857482	36	258,134,247	5,4,5	68,58,71	0,2,2	107	99	0.307337219525	0.989753557007	0.979,0.969,0.979	1.0,0.964,0.97	-0.002
38	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912040	73912068	38	9,7,11	82,53,89	5,2,4	22,31,21	198	99	0.788610576241	1.0	0.052,0.062,0.058	0.102,0.031,0.087	-0.016
39	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912214	73912322	39	8,5,7	1,4,0	5,1,4	1,0,0	198	99	0.00803520345681	0.0793504164087	0.8,0.385,1.0	0.714,1.0,1.0	-0.176
42	"IKBKB"	"IKBKB"	chr8	+	42293442	42293568	42293442	42293512	42305186	42305275	42	3,2,3	26,14,14	3,0,3	16,18,13	154	99	0.718098656211	1.0	0.069,0.084,0.121	0.108,0.0,0.129	0.012
43	"DDX54"	"DDX54"	chr12	-	113180928	113181058	113180980	113181058	113179934	113180005	43	218,142,262	0,1,2	250,156,210	0,0,0	150	99	1	1.0	1.0,0.989,0.989	1.0,1.0,1.0	-0.007
