ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"MBD4"	"MBD4"	chr3	-	129436442	129437308	129436460	129437308	129434061	129434136	4	51,44,38	108,81,57	51,29,48	73,58,81	116	99	0.570686762533	1.0	0.287,0.317,0.363	0.374,0.299,0.336	-0.014
8	"RNF25"	"RNF25"	chr2	-	218668238	218668341	218668278	218668341	218668078	218668146	8	51,26,41	1,2,0	74,59,83	1,0,3	138	99	0.721458908749	1.0	0.973,0.903,1.0	0.982,1.0,0.952	-0.019
9	"SLC44A2"	"SLC44A2"	chr19	+	10625519	10625670	10625519	10625549	10626252	10626301	9	1006,650,658	0,0,0	634,463,675	0,2,0	198	99	1	1.0	1.0,1.0,1.0	1.0,0.991,1.0	0.003
10	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10635162	10635255	10	1599,1106,1052	2,1,1	950,736,901	1,2,0	198	99	1	1.0	0.998,0.998,0.998	0.998,0.995,1.0	0.0
11	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10636322	10636585	11	34,22,27	2,0,1	25,10,19	1,0,1	198	99	1	1.0	0.895,1.0,0.931	0.926,1.0,0.905	-0.002
12	"NTMT1"	"NTMT1"	chr9	+	129632649	129632865	129632649	129632801	129634053	129634306	12	237,147,141	13,12,15	283,223,227	26,7,22	162	99	0.873368559387	1.0	0.918,0.882,0.852	0.869,0.951,0.863	-0.01
13	"PARL"	"PARL"	chr3	-	183862696	183862801	183862752	183862801	183844230	183844326	13	17,8,3	102,65,63	14,6,13	110,86,89	154	99	0.805636599314	1.0	0.097,0.073,0.03	0.076,0.043,0.086	-0.002
14	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232163458	232163632	14	0,0,0	1,2,2	2,0,2	2,2,2	198	99	0.120653117973	0.791081477286	0.0,0.0,0.0	0.333,0.0,0.333	-0.222
15	"RIOK3"	"RIOK3"	chr18	+	23473428	23473626	23473428	23473483	23474947	23475107	15	107,65,64	0,0,0	86,86,80	0,1,0	198	99	1	1.0	1.0,1.0,1.0	1.0,0.977,1.0	0.008
17	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19677863	19677986	19678725	19678786	17	7,13,10	8,2,9	13,18,20	3,8,8	102	99	0.328840816461	1.0	0.459,0.863,0.519	0.808,0.686,0.708	-0.12
24	"NEURL4"	"NEURL4"	chr17	-	7322947	7323123	7322953	7323123	7322734	7322866	24	10,11,13	8,3,5	18,15,13	4,6,4	104	99	0.373133555912	1.0	0.543,0.777,0.712	0.811,0.704,0.756	-0.08
25	"NEURL4"	"NEURL4"	chr17	-	7324798	7324980	7324910	7324980	7324394	7324480	25	43,50,32	0,1,0	66,35,60	1,0,1	198	99	1	1.0	1.0,0.962,1.0	0.971,1.0,0.968	0.008
26	"HSD17B4"	"HSD17B4"	chr5	+	119477416	119477501	119477416	119477492	119478833	119479021	26	165,100,101	0,0,2	131,106,98	0,2,0	107	99	1	1.0	1.0,1.0,0.979	1.0,0.98,1.0	-0.0
29	"POLR3H"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	29	45,28,19	164,116,65	42,39,50	193,145,184	153	99	0.780950348055	1.0	0.151,0.135,0.159	0.123,0.148,0.15	0.008
30	"SRRT"	"SRRT"	chr7	+	100885700	100885774	100885700	100885762	100885862	100885941	30	0,0,1	100,65,75	0,2,0	161,99,127	110	99	1	1.0	0.0,0.0,0.012	0.0,0.018,0.0	-0.002
33	"CLPTM1"	"CLPTM1"	chr19	+	44954590	44955085	44954590	44954701	44961962	44962075	33	3,3,3	0,0,0	3,3,4	1,0,0	198	99	1	1.0	1.0,1.0,1.0	0.6,1.0,1.0	0.133
35	"EXO1"	"EXO1"	chr1	+	241853357	241853481	241853357	241853472	241857344	241857482	35	120,57,34	4,0,0	68,58,71	0,2,2	107	99	0.525866493271	1.0	0.965,1.0,1.0	1.0,0.964,0.97	0.01
37	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912040	73912068	37	6,7,7	84,59,54	5,2,4	22,31,21	198	99	0.664307059921	1.0	0.034,0.056,0.061	0.102,0.031,0.087	-0.023
38	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912214	73912322	38	5,7,7	6,0,4	5,1,4	1,0,0	198	99	0.000109869283098	0.0103550320766	0.294,1.0,0.467	0.714,1.0,1.0	-0.318
41	"IKBKB"	"IKBKB"	chr8	+	42293442	42293568	42293442	42293512	42305186	42305275	41	2,0,0	16,4,13	3,0,3	16,18,13	154	99	0.0569557955405	0.531840391587	0.074,0.0,0.0	0.108,0.0,0.129	-0.054
46	"EML2"	"EML2"	chr19	-	45639294	45639397	45639356	45639397	45638844	45638873	46	20,13,4	69,59,47	7,5,6	54,37,51	160	99	0.0805333828947	0.630876714458	0.152,0.12,0.05	0.074,0.077,0.068	0.034
