ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"EXOC7"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562	2	4,14,7	0,0,0	2,9,18	4,4,6	198	99	1.13626408282e-09	1.10033356993e-07	1.0,1.0,1.0	0.2,0.529,0.6	0.557
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	3	2,3,0	7,11,2	4,3,2	10,6,14	198	99	0.39911651453	0.959629884836	0.125,0.12,0.0	0.167,0.2,0.067	-0.063
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073	4	69,79,43	1115,1285,730	92,42,84	874,507,858	184	99	0.000532021030643	0.00797586340081	0.032,0.032,0.031	0.054,0.043,0.05	-0.017
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515	5	103,111,55	1976,2197,1234	109,68,118	1511,866,1847	198	99	0.00349093676355	0.0347445178439	0.025,0.025,0.022	0.035,0.038,0.031	-0.011
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245	6	13,17,12	92,99,59	16,3,15	96,60,87	198	99	0.452192519595	1.0	0.066,0.079,0.092	0.077,0.024,0.079	0.019
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773	7	0,0,0	111,173,59	0,0,2	146,76,165	198	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.006	-0.002
8	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312	8	2,0,0	12,12,7	0,2,1	14,9,16	198	99	0.474962371178	1.0	0.077,0.0,0.0	0.0,0.1,0.03	-0.018
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268	9	8,8,0	86,118,55	7,11,13	226,108,217	190	99	0.941747151077	1.0	0.046,0.034,0.0	0.016,0.05,0.03	-0.005
14	"PFAS"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648	14	0,2,1	32,37,20	1,2,1	78,40,50	198	99	1	1.0	0.0,0.026,0.024	0.006,0.024,0.01	0.003
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356	15	10,15,12	20,37,6	13,7,19	39,34,43	194	99	0.0836778359675	0.347901466936	0.203,0.171,0.505	0.145,0.095,0.184	0.152
16	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7318494	7318674	16	2,5,0	11,18,16	2,0,3	53,18,42	198	99	0.0824736531626	0.345082051809	0.083,0.122,0.0	0.019,0.0,0.034	0.051
