"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"exonStart_0base"	"exonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
34576	"DDX49"	"DDX49"	chr19	+	18920844	18920909	18920579	18920703	18921662	18921748	34576	35,30,36	195,144,213	3,3,0	171,99,127	163	99	1.11022302463e-16	1.16623691836e-13	0.098,0.112,0.093	0.011,0.018,0.0	0.091
7262	"HNRNPC"	"HNRNPC"	chr14	-	21262600	21262768	21233952	21234229	21263310	21263336	7262	51,47,41	792,473,859	21,16,13	1200,1054,1244	198	99	2.22044604925e-16	2.28927987678e-13	0.031,0.047,0.023	0.009,0.008,0.005	0.026
22327	"TCEA1"	"TCEA1"	chr8	-	54010429	54010492	53999624	54000050	54022062	54022148	22327	94,67,335	12,13,20	8,0,0	10,11,9	161	99	5.55111512313e-16	5.61914151573e-13	0.828,0.76,0.912	0.33,0.0,0.0	0.723
54525	"NDUFS4"	"NDUFS4"	chr5	+	53604806	53604895	53603451	53603530	53646232	53646405	54525	30,21,29	103,47,56	4,2,4	88,70,89	187	99	1.33226762955e-15	1.32451192871e-12	0.134,0.191,0.215	0.023,0.015,0.023	0.16
30276	"CTNNA1"	"CTNNA1"	chr5	+	138783176	138783372	138781922	138782029	138824529	138824588	30276	299,155,356	20,4,23	68,28,60	30,28,22	198	99	1.88737914186e-15	1.84347274288e-12	0.882,0.951,0.886	0.531,0.333,0.577	0.426
44302	"EIF4A1"	"EIF4A1"	chr17	+	7573399	7573547	7572825	7572864	7574259	7574308	44302	46,28,30	585,322,523	7,8,1	629,574,639	198	99	2.44249065418e-15	2.34453835657e-12	0.038,0.042,0.028	0.006,0.007,0.001	0.031
25617	"SOBP"	"SOBP"	chr6	+	107587079	107587175	107533458	107533610	107633513	107635469	25617	3,3,11	1,0,0	0,0,0	2,2,3	194	99	2.6645352591e-15	2.51432772907e-12	0.605,1.0,1.0	0.0,0.0,0.0	0.868
42896	"HBS1L"	"HBS1L"	chr6	-	135037810	135038026	135002620	135002842	135039572	135039767	42896	35,12,33	207,140,196	1,5,1	200,159,181	198	99	3.5527136788e-15	3.29656302256e-12	0.078,0.041,0.078	0.002,0.015,0.003	0.059
55588	"HNRNPH3"	"HNRNPH3"	chr10	+	68337857	68337996	68337198	68337333	68338502	68338642	55588	1454,883,1628	249,122,225	1812,1415,1727	137,75,106	198	99	4.66293670343e-15	4.25580882011e-12	0.745,0.783,0.783	0.869,0.904,0.891	-0.118
38060	"UPP1"	"UPP1"	chr7	+	48101823	48101870	48094762	48094827	48106872	48107082	38060	88,44,94	181,77,177	21,14,14	144,99,131	145	99	7.21644966006e-15	6.48013900604e-12	0.249,0.281,0.266	0.091,0.088,0.068	0.183
47363	"HNRNPA2B1"	"HNRNPA2B1"	chr7	-	26190992	26191128	26190124	26190460	26192494	26192577	47363	317,158,273	50,28,51	442,347,457	191,181,224	198	99	7.88258347484e-15	6.96595162505e-12	0.76,0.738,0.728	0.536,0.489,0.505	0.232
66425	"PSMD13"	"PSMD13"	chr11	+	244040	244075	238997	239076	244160	244216	66425	193,112,192	53,20,35	326,273,317	19,8,16	133	99	9.32587340685e-15	8.11263556333e-12	0.731,0.807,0.803	0.927,0.962,0.936	-0.161
77450	"FKBP7"	"FKBP7"	chr2	-	178473028	178473142	178469651	178469785	178478278	178478553	77450	4,2,1	0,0,0	2,0,0	6,1,1	198	99	1.72084568817e-14	1.47394404374e-11	1.0,1.0,1.0	0.143,0.0,0.0	0.952
20172	"DDX39A"	"DDX39A"	chr19	-	14410420	14410605	14409741	14410334	14410988	14411172	20172	44,35,41	286,191,307	15,11,22	491,348,428	198	99	3.75255382323e-14	3.16544972052e-11	0.071,0.084,0.063	0.015,0.016,0.025	0.054
31765	"VAPB"	"VAPB"	chr20	+	58434601	58434705	58418210	58418363	58438944	58439025	31765	236,124,213	16,16,41	192,146,184	2,2,1	198	99	3.9857006584e-14	3.31193878292e-11	0.881,0.795,0.722	0.98,0.973,0.989	-0.181
54524	"NDUFS4"	"NDUFS4"	chr5	+	53604723	53604895	53603451	53603530	53646232	53646405	54524	46,36,57	103,47,56	9,10,9	88,70,89	198	99	4.94049245958e-14	4.04495554698e-11	0.183,0.277,0.337	0.049,0.067,0.048	0.211
20173	"DDX39A"	"DDX39A"	chr19	-	14410547	14410605	14409772	14410334	14410988	14411172	20173	60,39,32	286,191,307	18,17,22	491,348,428	156	99	1.16795462191e-13	9.42387037974e-11	0.117,0.115,0.062	0.023,0.03,0.032	0.07
20780	"RAB5A"	"RAB5A"	chr3	+	19970547	19970717	19950805	19951061	19975600	19975752	20780	24,17,41	142,67,143	3,2,0	73,89,79	198	99	1.6364687383e-13	1.30155372194e-10	0.078,0.113,0.125	0.02,0.011,0.0	0.095
46966	"AP1G2"	"AP1G2"	chr14	-	23565815	23565892	23565605	23565701	23566063	23566160	46966	123,47,94	14,7,18	164,83,130	0,3,0	175	99	1.87516668859e-13	1.47039479184e-10	0.833,0.792,0.747	1.0,0.94,1.0	-0.189
12149	"BIRC5"	"BIRC5"	chr17	+	78222827	78222992	78216663	78216781	78223464	78223554	12149	86,52,80	412,217,311	27,16,31	363,294,344	198	99	1.97619698383e-13	1.52809431775e-10	0.095,0.107,0.114	0.036,0.026,0.043	0.07
77788	"MGST1"	"MGST1"	chr12	+	16357604	16357699	16354230	16354378	16363794	16363806	77788	1734,1000,2020	119,75,100	1779,1433,1830	50,36,34	193	99	4.08229006155e-13	3.11338927242e-10	0.882,0.872,0.912	0.948,0.953,0.965	-0.067
8022	"CD59"	"CD59"	chr11	-	33702667	33702737	33698261	33698514	33710205	33710343	8022	52,12,3	2,0,0	0,0,0	1,2,1	168	99	4.14113188185e-13	3.11558616743e-10	0.939,1.0,1.0	0.0,0.0,0.0	0.98
4104	"PMF1-BGLAP"	"PMF1-BGLAP"	chr1	+	156232319	156232425	156212981	156213176	156233627	156233728	4104	453,236,499	29,10,25	390,304,402	4,0,2	198	99	4.53304060954e-13	3.36496670527e-10	0.886,0.922,0.909	0.98,1.0,0.99	-0.084
