"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"exonStart_0base"	"exonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
8667	"WHSC1"	"WHSC1"	chr4	+	1899220	1899395	1893729	1893909	1900625	1901251	8667	3,1,1	0,0,0	2,0,2	3,3,4	274	99	7.77156117238e-16	6.4220295748e-12	1.0,1.0,1.0	0.194,0.0,0.153	0.884
61033	"FDPS"	"FDPS"	chr1	+	155310042	155310205	155308793	155308965	155312254	155312395	61033	2538,3109,1619	20,23,14	2479,2011,1650	61,64,52	262	99	1.44328993201e-15	1.02228225884e-11	0.98,0.981,0.978	0.939,0.922,0.923	0.052
61037	"FDPS"	"FDPS"	chr1	+	155310063	155310205	155308754	155308965	155312254	155312395	61037	2310,2842,1561	20,23,14	2367,1893,1539	61,64,52	241	99	3.88578058619e-15	2.40826109055e-11	0.979,0.981,0.979	0.941,0.924,0.924	0.05
20603	"TCEA1"	"TCEA1"	chr8	-	54021525	54021586	54010429	54010492	54022062	54022310	20603	2,1,2	2,60,1	3,3,4	0,0,0	160	99	5.99520433298e-15	3.30275806704e-11	0.382,0.01,0.553	1.0,1.0,1.0	-0.685
71010	"AKR1C2"	"AKR1C2"	chr10	-	5003751	5004014	5001513	5001681	5010343	5010653	71010	5148,6386,3566	84,71,57	4382,3185,2768	15,9,15	362	99	2.0650148258e-14	1.02385500078e-10	0.944,0.961,0.945	0.988,0.99,0.981	-0.036
61024	"FDPS"	"FDPS"	chr1	+	155309752	155309965	155308913	155308965	155312254	155312395	61024	54,62,41	20,23,14	51,19,24	61,64,52	312	99	3.97459842816e-14	1.79149604242e-10	0.461,0.461,0.482	0.21,0.086,0.128	0.327
17271	"HMGCR"	"HMGCR"	chr5	+	75355055	75355214	75354502	75354697	75355364	75355522	17271	525,600,356	6,4,6	357,275,214	33,19,11	258	99	8.57092175011e-14	3.5412905941e-10	0.971,0.983,0.958	0.806,0.847,0.882	0.126
70370	"ING4"	"ING4"	chr12	-	6655637	6655913	6653229	6653396	6656726	6656798	70370	41,50,21	35,34,22	6,4,10	40,30,39	375	99	2.69895217286e-13	1.02935959756e-09	0.236,0.28,0.201	0.038,0.034,0.063	0.194
61029	"FDPS"	"FDPS"	chr1	+	155309788	155309965	155308851	155308965	155312254	155312395	61029	60,101,61	20,23,14	67,35,53	61,64,52	276	99	3.84736686954e-12	1.36254497685e-08	0.518,0.612,0.61	0.283,0.164,0.268	0.342
15771	"APOLD1"	"APOLD1"	chr12	+	12726296	12726373	12725916	12726096	12812260	12812440	15771	6,3,2	0,0,0	1,1,2	3,3,2	176	99	7.48934247952e-12	2.47552726318e-08	1.0,1.0,1.0	0.158,0.158,0.36	0.775
61961	"SORBS2"	"SORBS2"	chr4	-	185690561	185690611	185678795	185678822	185775226	185775288	61961	2,1,1	0,0,0	0,2,1	1,6,1	149	99	1.82995840703e-11	5.67069798618e-08	1.0,1.0,1.0	0.0,0.181,0.399	0.807
67462	"XIAP"	"XIAP"	chrX	+	123860166	123860293	123859723	123859905	123888618	123888718	67462	0,1,4	3,4,1	12,3,2	0,0,0	226	99	1.97891703024e-11	5.77156972214e-08	0.0,0.099,0.637	1.0,1.0,1.0	-0.755
37227	"NQO2"	"NQO2"	chr6	+	3004494	3004651	2993930	2994053	3006467	3006559	37227	23,21,7	0,0,0	6,7,10	5,6,2	256	99	2.4980351121e-11	6.88083771628e-08	1.0,1.0,1.0	0.317,0.311,0.659	0.571
62881	"RBPJ"	"RBPJ"	chr4	+	26362445	26362628	26320786	26320815	26386352	26386391	62881	39,56,26	13,6,7	55,32,41	0,0,0	282	99	3.3499869545e-11	8.74187911532e-08	0.513,0.766,0.566	1.0,1.0,1.0	-0.385
63700	"TMBIM6"	"TMBIM6"	chr12	+	49744412	49744542	49743416	49743565	49752463	49752549	63700	13,4,13	0,0,0	1,7,1	7,1,4	229	99	5.30915311714e-11	1.3161656035e-07	1.0,1.0,1.0	0.058,0.752,0.098	0.697
37219	"NQO2"	"NQO2"	chr6	+	3002049	3002286	2993930	2994053	3006467	3006559	37219	13,16,8	0,0,0	15,10,10	5,6,2	336	99	6.09959860398e-11	1.4401152304e-07	1.0,1.0,1.0	0.469,0.329,0.596	0.535
56444	"LYPD6B"	"LYPD6B"	chr2	+	149119102	149119163	149038717	149038801	149160763	149160835	56444	1,1,1	0,0,0	2,4,1	3,3,3	160	99	8.24253998388e-11	1.85760624973e-07	1.0,1.0,1.0	0.292,0.452,0.171	0.695
19137	"NT5C"	"NT5C"	chr17	-	75130964	75131081	75130227	75130642	75131180	75131281	19137	9,8,3	7,4,5	2,5,2	0,0,0	216	99	1.17390430709e-10	2.53058041086e-07	0.371,0.478,0.216	1.0,1.0,1.0	-0.645
65958	"BRD9"	"BRD9"	chr5	-	868606	869119	865413	865581	869244	869404	65958	39,42,4	0,0,0	27,29,26	6,7,2	612	99	1.5719858748e-10	3.2475263191e-07	1.0,1.0,1.0	0.421,0.401,0.678	0.5
61767	"ALDOA"	"ALDOA"	chr16	+	30065875	30065927	30064423	30064505	30067233	30067366	61767	1047,1156,642	301,346,178	1289,887,776	661,503,386	151	99	5.14144504749e-10	1.0196719476e-06	0.695,0.687,0.703	0.561,0.536,0.569	0.14
4921	"RHBDD1"	"RHBDD1"	chr2	+	226838072	226838154	226837523	226837838	226839408	226839627	4921	8,7,3	7,10,1	1,3,3	0,0,0	181	99	8.66192784166e-10	1.6517963243e-06	0.385,0.277,0.621	1.0,1.0,1.0	-0.572
