"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"riExonStart_0base"	"riExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
5329	"SNHG12"	"SNHG12"	chr1	-	28579532	28579981	28579532	28579587	28579911	28579981	5329	204,235,103	23,23,9	120,69,126	68,27,55	423	99	1.11022302463e-16	2.25375274e-14	0.675,0.705,0.728	0.292,0.374,0.349	0.364
6238	"ST3GAL1"	"ST3GAL1"	chr8	-	133475718	133476600	133475718	133476074	133476277	133476600	6238	103,123,65	94,95,69	17,4,9	59,26,64	302	99	1.11022302463e-16	2.25375274e-14	0.264,0.298,0.236	0.086,0.048,0.044	0.207
2809	"TINAGL1"	"TINAGL1"	chr1	+	31585439	31586755	31585439	31585876	31586709	31586755	2809	246,283,154	835,981,526	200,107,169	1555,811,1533	932	99	2.22044604925e-16	4.27026834945e-14	0.03,0.03,0.03	0.013,0.014,0.012	0.017
1234	"NCK1"	"NCK1"	chr3	+	136945582	136946295	136945582	136945752	136946151	136946295	1234	254,253,138	3,6,8	604,381,545	125,62,117	498	99	6.66133814775e-16	1.21702647959e-13	0.944,0.893,0.774	0.49,0.55,0.481	0.363
1102	"LRRC75A-AS1"	"LRRC75A-AS1"	chr17	+	16439326	16440253	16439326	16439703	16440184	16440253	1102	195,275,114	742,968,629	128,66,127	1206,738,1223	580	99	1.66533453694e-15	2.89768209428e-13	0.043,0.046,0.03	0.018,0.015,0.017	0.023
3533	"RPL10A"	"RPL10A"	chr6	+	35468946	35469529	35468946	35469027	35469380	35469529	3533	494,525,346	2118,2437,1488	806,461,815	1757,998,1719	452	99	3.77475828373e-15	6.26953034943e-13	0.049,0.045,0.048	0.091,0.092,0.094	-0.045
976	"ALKBH2"	"ALKBH2"	chr12	-	109092506	109093472	109092506	109092787	109093246	109093472	976	85,97,75	36,39,20	137,53,132	200,90,160	558	99	6.66133814775e-15	1.0582838953e-12	0.295,0.306,0.4	0.108,0.095,0.128	0.223
588	"MOV10"	"MOV10"	chr1	+	112698286	112699810	112698286	112698789	112699684	112699810	588	62,31,22	59,66,39	112,61,99	31,27,35	994	99	1.25455201783e-14	1.91005544715e-12	0.095,0.045,0.053	0.265,0.184,0.22	-0.159
1670	"DDX39A"	"DDX39A"	chr19	-	14409302	14409645	14409302	14409447	14409535	14409645	1670	17,34,15	266,312,151	98,55,97	300,182,331	187	99	1.65423230669e-14	2.41782593946e-12	0.033,0.055,0.05	0.147,0.138,0.134	-0.094
310	"SLU7"	"SLU7"	chr5	-	160418595	160419081	160418595	160418685	160419022	160419081	310	13,21,8	0,0,0	12,3,10	9,3,5	436	99	1.35558231307e-13	1.83455473035e-11	1.0,1.0,1.0	0.232,0.185,0.312	0.757
4978	"CAPN2"	"CAPN2"	chr1	+	223769840	223770525	223769840	223769909	223770446	223770525	4978	106,134,84	233,252,136	69,53,75	406,245,348	636	99	1.34781075189e-13	1.83455473035e-11	0.066,0.076,0.088	0.026,0.033,0.032	0.046
2555	"WRAP53"	"WRAP53"	chr17	+	7688476	7689079	7688476	7688561	7688647	7689079	2555	17,30,18	54,41,28	10,1,7	93,49,123	185	99	4.7473136533e-13	6.19524431756e-11	0.144,0.281,0.256	0.054,0.011,0.03	0.195
4379	"ABHD17A"	"ABHD17A"	chr19	-	1877507	1880115	1877507	1877687	1879920	1880115	4379	102,109,46	29,50,52	215,125,204	22,7,26	2332	99	1.11177733686e-12	1.40083944444e-10	0.13,0.085,0.036	0.293,0.431,0.25	-0.241
1306	"ZNF131"	"ZNF131"	chr5	+	43161248	43161931	43161248	43161606	43161708	43161931	1306	46,41,25	42,62,21	37,27,34	206,107,153	201	99	1.63469238146e-12	1.99105532062e-10	0.35,0.246,0.37	0.081,0.111,0.099	0.225
1291	"CIRBP"	"CIRBP"	chr19	+	1271139	1271365	1271139	1271246	1271328	1271365	1291	17,12,10	360,335,204	39,22,42	225,147,206	181	99	1.84585680074e-12	2.17572927416e-10	0.025,0.019,0.026	0.087,0.076,0.1	-0.064
1058	"VEGFA"	"VEGFA"	chr6	+	43778888	43786484	43778888	43778918	43784540	43786484	1058	376,425,249	65,65,43	650,314,565	264,124,224	5721	99	2.01905159258e-12	2.30550453728e-10	0.091,0.102,0.091	0.041,0.042,0.042	0.053
384	"BCKDHA"	"BCKDHA"	chr19	+	41410636	41411009	41410636	41410816	41410922	41411009	384	2,5,0	118,142,98	26,13,23	136,81,144	205	99	6.10977934912e-12	6.76519204293e-10	0.008,0.017,0.0	0.085,0.072,0.072	-0.068
396	"MOK"	"MOK"	chr14	-	102232534	102233789	102232534	102232708	102233687	102233789	396	96,106,59	54,53,27	47,32,52	71,54,91	1078	99	9.50473033612e-12	9.92293847091e-10	0.14,0.155,0.167	0.057,0.052,0.05	0.101
6094	"GNB2L1"	"GNB2L1"	chr5	-	181241491	181242345	181241491	181241639	181242169	181242345	6094	425,498,272	9,7,15	502,238,439	83,24,64	629	99	9.46742684249e-12	9.92293847091e-10	0.881,0.918,0.741	0.488,0.609,0.519	0.308
2217	"GAS5"	"GAS5"	chr1	-	173865228	173865547	173865228	173865282	173865470	173865547	2217	164,163,81	675,844,495	114,48,90	1078,646,1028	287	99	1.71470615484e-11	1.74042674716e-09	0.077,0.062,0.053	0.035,0.025,0.029	0.034
1595	"ASTE1"	"ASTE1"	chr3	-	131024004	131025331	131024004	131024238	131025163	131025331	1595	118,124,71	0,0,0	235,137,252	15,8,12	1024	99	4.34156044449e-11	4.28758428761e-09	1.0,1.0,1.0	0.602,0.623,0.67	0.368
136	"VPS28"	"VPS28"	chr8	-	144423600	144424132	144423600	144423922	144424040	144424132	136	110,105,60	76,73,44	383,204,417	103,63,73	217	99	8.48195957914e-11	8.15607376373e-09	0.398,0.396,0.384	0.629,0.596,0.723	-0.257
2220	"GAS5"	"GAS5"	chr1	-	173866527	173866796	173866527	173866567	173866760	173866796	2220	139,143,78	1357,1663,1043	86,47,75	2032,1202,1920	292	99	1.12987397216e-10	1.05860499853e-08	0.034,0.028,0.025	0.014,0.013,0.013	0.016
2216	"GAS5"	"GAS5"	chr1	-	173864256	173865282	173864256	173864704	173865228	173865282	2216	436,473,230	1028,1174,730	313,183,274	1493,884,1414	623	99	1.32343691561e-10	1.20895962241e-08	0.063,0.06,0.048	0.032,0.032,0.03	0.026
142	"VPS28"	"VPS28"	chr8	-	144425682	144426208	144425682	144425772	144426025	144426208	142	25,24,20	233,260,124	87,79,107	332,217,348	352	99	2.11657802396e-10	1.8477417596e-08	0.029,0.025,0.043	0.069,0.093,0.08	-0.048
1423	"MAN2B1"	"MAN2B1"	chr19	-	12655693	12656687	12655693	12655879	12656570	12656687	1423	18,22,12	102,130,70	61,35,63	108,67,104	790	99	2.12384110299e-10	1.8477417596e-08	0.022,0.021,0.021	0.066,0.061,0.071	-0.045
2107	"S100A13"	"S100A13"	chr1	-	153626319	153627598	153626319	153626533	153627482	153627598	2107	70,81,54	214,226,156	193,127,162	296,139,201	1048	99	3.72267550119e-10	3.16340843752e-08	0.03,0.033,0.032	0.058,0.079,0.071	-0.038
277	"SKIL"	"SKIL"	chr3	+	170359698	170361429	170359698	170359876	170360367	170361429	277	222,267,153	0,0,0	348,175,293	14,6,8	590	99	4.03301059215e-10	3.34923197812e-08	1.0,1.0,1.0	0.807,0.83,0.86	0.168
4766	"ACD"	"ACD"	chr16	-	67658927	67659613	67658927	67659079	67659536	67659613	4766	11,6,3	0,0,0	21,9,15	10,2,9	556	99	5.1061399553e-10	4.1461856437e-08	1.0,1.0,1.0	0.272,0.445,0.229	0.685
2468	"MTO1"	"MTO1"	chr6	+	73479935	73480367	73479935	73480126	73480292	73480367	2468	3,7,8	3,4,2	12,9,9	0,0,0	265	99	5.3337378958e-10	4.23684310245e-08	0.272,0.395,0.599	1.0,1.0,1.0	-0.578
4949	"CARS2"	"CARS2"	chr13	-	110645966	110647239	110645966	110646090	110647100	110647239	4949	46,77,36	144,179,103	52,15,43	305,184,291	1109	99	1.16994114396e-09	9.09567008517e-08	0.028,0.037,0.03	0.015,0.007,0.013	0.02
1484	"GCDH"	"GCDH"	chr19	+	12891486	12891974	12891486	12891522	12891830	12891974	1484	18,21,8	103,114,58	50,46,65	108,81,109	407	99	1.47095380321e-09	1.11976358269e-07	0.041,0.043,0.032	0.101,0.121,0.127	-0.078
