ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ZNF684"	"ZNF684"	chr1	+	40544396	40545037	40544415	40545037	40541614	40541710	1	5,5,4	0,2,0	7,2,2	0,0,0	118	99	1	1.0	1.0,0.677,1.0	1.0,1.0,1.0	-0.108
2	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665915	218666059	218666158	218666230	2	3,2,0	28,51,27	0,1,0	35,36,37	124	99	0.937797969525	1.0	0.079,0.03,0.0	0.0,0.022,0.0	0.029
4	"IL1RL1"	"IL1RL1"	chr2	+	102343035	102343177	102343077	102343177	102342222	102342294	4	0,1,5	0,0,2	2,1,0	0,0,0	141	99	1	1.0	NA,1.0,0.637	1.0,1.0,NA	-0.181
6	"EXOC7"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235	6	6,9,7	12,18,9	6,4,1	10,6,8	183	99	0.464900203026	1.0	0.213,0.213,0.296	0.245,0.265,0.063	0.05
8	"ACTR8"	"ACTR8"	chr3	-	53873031	53873146	53873031	53873127	53874210	53874364	8	0,1,1	16,34,7	3,0,1	35,19,15	118	99	0.267921448514	1.0	0.0,0.024,0.107	0.067,0.0,0.053	0.004
9	"ACTR8"	"ACTR8"	chr3	-	53879938	53880109	53879938	53880072	53881978	53882202	9	23,35,10	0,0,3	41,28,29	0,1,1	136	99	1	1.0	1.0,1.0,0.708	1.0,0.953,0.955	-0.067
12	"SLC44A2"	"SLC44A2"	chr19	+	10637643	10637747	10637649	10637747	10636661	10636756	12	1194,1359,805	8,16,0	1294,760,811	0,0,0	105	99	1	1.0	0.993,0.988,1.0	1.0,1.0,1.0	-0.006
13	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66456186	66456342	13	2,4,0	1,0,0	3,6,2	2,0,0	102	99	1	1.0	0.66,1.0,NA	0.593,1.0,1.0	-0.034
19	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399169	133399226	19	49,45,31	1,0,1	40,41,39	1,1,0	719	99	1	1.0	0.871,1.0,0.81	0.846,0.85,1.0	-0.005
20	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399528	133399619	20	139,126,81	2,3,0	102,101,97	0,0,0	719	99	0.0875130972416	0.698376899626	0.905,0.853,1.0	1.0,1.0,1.0	-0.081
