"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"X1stExonStart_0base"	"X1stExonEnd"	"X2ndExonStart_0base"	"X2ndExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
7743	"FRMD8"	"FRMD8"	chr11	+	65389384	65389528	65393572	65393674	65387036	65387121	65394040	65394099	7743	2,0,0	12,26,7	5,5,5	5,1,2	198	198	3.8257630397e-10	1.07810002459e-06	0.143,0.0,0.0	0.5,0.833,0.714	-0.635
7145	"TXNRD1"	"TXNRD1"	chr12	+	104290992	104291104	104309758	104309950	104288930	104289040	104311289	104311412	7145	7,8,2	2,1,1	0,4,0	11,9,12	198	198	3.52758333655e-09	7.4555473818e-06	0.778,0.889,0.667	0.0,0.308,0.0	0.675
8813	"CANT1"	"CANT1"	chr17	-	79000099	79000270	79005371	79005481	78997839	78997963	79009663	79009793	8813	14,5,16	25,14,14	0,2,2	24,21,27	198	198	3.73258953745e-08	6.31106238992e-05	0.359,0.263,0.533	0.0,0.087,0.069	0.333
5105	"SYNE1"	"SYNE1"	chr6	-	152347058	152347235	152350167	152350335	152344080	152344227	152350617	152350770	5105	2,2,1	2,0,0	0,0,1	2,2,4	198	198	1.88204610563e-07	0.000265180296283	0.5,1.0,1.0	0.0,0.0,0.2	0.767
9822	"THBS3"	"THBS3"	chr1	-	155203512	155203539	155204854	155204957	155203222	155203305	155205059	155205316	9822	12,0,2	7,5,3	7,7,14	1,1,0	198	125	2.39637699795e-07	0.000289413873438	0.52,0.0,0.296	0.815,0.815,1.0	-0.605
5400	"GGT1"	"GGT1"	chr22	+	24607953	24608023	24609961	24610033	24594813	24594886	24610357	24610531	5400	8,13,4	9,1,6	1,3,9	0,0,0	168	170	3.03750226638e-07	0.000320988052	0.474,0.929,0.403	1.0,1.0,1.0	-0.398
8460	"RPL11"	"RPL11"	chr1	+	23692608	23692759	23693806	23693913	23691778	23691829	23694659	23694791	8460	755,523,578	3544,2564,2116	1279,1181,1269	3768,3136,3694	198	198	6.38331020375e-07	0.000599605605139	0.176,0.169,0.215	0.253,0.274,0.256	-0.074
8250	"SUN1"	"SUN1"	chr7	+	849519	849603	849922	850033	843340	843520	851383	851482	8250	39,30,30	100,89,79	57,64,61	75,48,67	182	198	7.31662056275e-07	0.000618547102375	0.298,0.268,0.292	0.453,0.592,0.498	-0.228
3903	"DTYMK"	"DTYMK"	chr2	-	241681918	241682333	241682798	241682915	241680228	241680319	241685768	241685877	3903	4,4,2	0,2,1	1,0,1	2,1,6	198	198	1.00778576628e-06	0.00077452916983	1.0,0.667,0.667	0.333,0.0,0.143	0.619
1004	"IQCH-AS1"	"IQCH-AS1"	chr15	-	67459691	67459975	67466493	67466711	67430320	67430400	67518999	67519102	1004	3,7,2	1,0,0	1,0,2	3,1,2	198	198	1.26006359646e-06	0.000887714803706	0.75,1.0,1.0	0.25,0.0,0.5	0.667
