ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"MBD4"	"MBD4"	chr3	-	129434061	129434136	129436460	129437308	129433849	129433984	129437719	129437950
1	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10440346	10440413	10430434	10430568	10442264	10442441
2	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103574106	103574170	103562961	103563124	103587273	103587364
3	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103574106	103574170	103563172	103563379	103587273	103587364
5	"TRIM4"	"TRIM4"	chr7	-	99903575	99903598	99908581	99908812	99903217	99903315	99909564	99909660
6	"RAPGEF1"	"RAPGEF1"	chr9	-	131604930	131605188	131619050	131619209	131602113	131602149	131621795	131621998
7	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666059	218664738	218664873	218666158	218666230
8	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666084	218664826	218664873	218666158	218666230
9	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13618057	13618139	13616462	13616521	13620207	13620329
10	"DNAJC15"	"DNAJC15"	chr13	+	43065685	43065737	43068929	43069003	43023202	43023734	43078611	43078688
11	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43078611	43078688	43023202	43023734	43085767	43085838
12	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43078611	43078688	43065685	43065737	43085767	43085838
13	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43085767	43085838	43068929	43069003	43107177	43114224
14	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121248163	121248270	121242358	121242469	121248981	121249087
15	"AP000320.7"	"AP000320.7"	chr21	+	34125340	34125480	34262819	34262921	34073591	34073745	34293680	34293756
20	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10631274	10631385	10626252	10626301	10631474	10631535
21	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10631274	10631385	10627919	10628004	10631474	10631535
22	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10636322	10636585	10634755	10634887	10636661	10636756
24	"SLC44A2"	"SLC44A2"	chr19	+	10638226	10638315	10642366	10642451	10638022	10638093	10643278	10644550
27	"SAR1A"	"SAR1A"	chr10	-	70161618	70161738	70161857	70161931	70161003	70161069	70170412	70170523
28	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48998153	48998180	48990925	48991110	48999237	48999299
30	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48997249	48997357	48991009	48991102	48999237	48999299
31	"GRIPAP1"	"GRIPAP1"	chrX	-	48997249	48997357	48998153	48998180	48993427	48993578	48999237	48999299
32	"MTG1"	"MTG1"	chr10	+	133399528	133399619	133401528	133401590	133399169	133399226	133402148	133402245
33	"MTG1"	"MTG1"	chr10	+	133399528	133399653	133401528	133401590	133399169	133399226	133402148	133402773
34	"APH1A"	"APH1A"	chr1	-	150267355	150267478	150267715	150267789	150267074	150267202	150268697	150269023
35	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13038369	13038579	13030464	13030608	13040829	13040956
36	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13040829	13040956	13030464	13030608	13048858	13049681
37	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13040829	13040956	13030464	13030608	13048858	13049681
38	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13040829	13040956	13037236	13037301	13048858	13049681
39	"CEP192"	"CEP192"	chr18	+	13038514	13038579	13040829	13040956	13037236	13037301	13048858	13049681
43	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139296331	139296367	139295042	139295146	139302415	139302551
46	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331113	113323010	113323155	113331906	113332050
47	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331116	113323010	113323155	113331906	113332050
48	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331116	113323010	113323155	113331977	113332050
