ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10440346	10440413	10430434	10430568	10442264	10442441
1	"ALDH4A1"	"ALDH4A1"	chr1	-	18879299	18879373	18881699	18881887	18877415	18877612	18883123	18883198
2	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103574106	103574170	103562961	103563124	103587273	103587364
3	"APOPT1"	"APOPT1"	chr14	+	103579370	103579491	103581568	103581656	103574106	103574170	103587273	103587364
4	"TRIM4"	"TRIM4"	chr7	-	99903575	99903598	99908581	99908812	99903217	99903315	99909564	99909660
5	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666059	218664738	218664873	218666158	218666230
6	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666084	218664826	218664873	218666158	218666230
7	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13618057	13618139	13616462	13616521	13620207	13620329
8	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43078611	43078688	43065685	43065737	43085767	43085838
9	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43085767	43085838	43068929	43069003	43107177	43114224
10	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121248163	121248270	121242358	121242469	121248981	121249087
11	"EXOC7"	"EXOC7"	chr17	-	76090328	76090397	76091142	76091235	76089174	76089320	76094413	76094581
12	"RP11-251P6.1"	"RP11-251P6.1"	chr1	-	105600630	105600759	105603276	105603558	105589679	105589785	105604162	105604265
13	"ACOT11"	"ACOT11"	chr1	+	54585834	54585904	54592545	54592606	54584654	54584862	54593940	54594039
14	"SLC44A2"	"SLC44A2"	chr19	+	10627919	10628004	10631056	10631141	10626252	10626301	10631274	10631385
15	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10631274	10631385	10626252	10626301	10631474	10631535
16	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10631274	10631385	10627919	10628004	10631474	10631535
17	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10636322	10636585	10634755	10634887	10636661	10636756
18	"SLC44A2"	"SLC44A2"	chr19	+	10638022	10638093	10638226	10638315	10637855	10637929	10642366	10642451
19	"SLC44A2"	"SLC44A2"	chr19	+	10638226	10638315	10642366	10642451	10638022	10638093	10643278	10644550
20	"GRIP1"	"GRIP1"	chr12	-	66456186	66456342	66462923	66463093	66455408	66455561	66465274	66465422
21	"GRIP1"	"GRIP1"	chr12	-	66456186	66456342	66462923	66463093	66455408	66455564	66465274	66465422
22	"SAR1A"	"SAR1A"	chr10	-	70161618	70161738	70161857	70161931	70161003	70161069	70170412	70170523
23	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48998153	48998180	48990925	48991110	48999237	48999299
24	"GRIPAP1"	"GRIPAP1"	chrX	-	48997249	48997357	48998153	48998180	48993427	48993578	48999237	48999299
25	"MTG1"	"MTG1"	chr10	+	133398434	133398515	133399169	133399226	133396162	133396267	133402148	133402245
26	"MTG1"	"MTG1"	chr10	+	133399528	133399653	133401528	133401590	133399169	133399226	133402148	133402773
27	"APH1A"	"APH1A"	chr1	-	150267355	150267478	150267715	150267789	150267074	150267202	150268697	150269023
28	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13038369	13038579	13030464	13030608	13040829	13040956
29	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13040829	13040956	13030464	13030608	13048858	13049681
30	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13042203	13042334	13030464	13030608	13048858	13049681
31	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13040829	13040956	13030464	13030608	13048858	13049681
32	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13042203	13042334	13030464	13030608	13048858	13049681
33	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13040829	13040956	13037236	13037301	13048858	13049681
34	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13042203	13042334	13030464	13030608	13048858	13049681
35	"NDE1"	"NDE1"	chr16	+	1309479	1309595	1309941	1310061	1308257	1308305	1322746	1322872
36	"NDE1"	"NDE1"	chr16	+	15651468	15651584	15651930	15652050	15650246	15650294	15664735	15664861
37	"RFXANK"	"RFXANK"	chr19	+	19197185	19197251	19197520	19197621	19196962	19197046	19198106	19198232
38	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139296331	139296367	139295042	139295146	139302415	139302551
39	"NDUFC1"	"NDUFC1"	chr4	-	139296331	139296367	139297384	139297443	139295731	139295960	139300601	139301210
40	"APH1B"	"APH1B"	chr15	+	63287423	63287546	63302344	63302472	63286557	63286628	63305613	63305801
41	"TDRD5"	"TDRD5"	chr1	+	179593459	179593867	179595627	179595818	179592309	179592847	179618598	179618682
42	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331113	113323010	113323155	113331906	113332050
43	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331116	113323010	113323155	113331906	113332050
44	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331116	113323010	113323155	113331977	113332050
45	"NEURL4"	"NEURL4"	chr17	-	7318268	7318356	7318494	7318674	7318064	7318172	7319049	7319208
46	"NEURL4"	"NEURL4"	chr17	-	7318268	7318356	7318494	7318691	7318064	7318172	7319049	7319208
47	"MILR1"	"MILR1"	chr17	+	64452596	64452866	64457399	64457684	64449313	64449355	64460821	64460932
48	"ARHGEF26-AS1"	"ARHGEF26-AS1"	chr3	-	154108668	154108785	154119685	154119783	154030276	154030379	154121071	154121332
49	"ANKRD36C"	"ANKRD36C"	chr2	-	95893532	95893605	95899144	95899217	95891831	95891860	95899307	95899336
50	"ANKRD36C"	"ANKRD36C"	chr2	-	95918013	95918042	95919891	95919920	95917854	95917927	95921606	95921679
51	"ANKRD36C"	"ANKRD36C"	chr2	-	95958756	95958785	95960638	95960667	95958590	95958663	95962351	95962424
52	"TNNT3"	"TNNT3"	chr11	+	1923554	1923572	1925098	1925116	1923047	1923061	1929809	1929828
