ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
14	"MBD4"	"MBD4"	chr3	-	129432502	129432606	129430943	129431578	129433097	129433247
15	"MBD4"	"MBD4"	chr3	-	129432555	129432606	129431265	129431578	129433097	129433247
16	"MBD4"	"MBD4"	chr3	-	129434061	129434136	129433849	129433984	129437807	129437950
19	"RP11-1012E15.2"	"RP11-1012E15.2"	chr14	+	55957154	55957290	55943639	55943812	55957961	55958166
20	"RP11-1012E15.2"	"RP11-1012E15.2"	chr14	+	55962171	55962277	55961980	55962087	55962824	55962970
21	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10433841	10433965	10430101	10430568	10434656	10434690
22	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10433841	10433965	10431257	10431401	10434656	10434690
23	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430101	10430568	10440346	10440413
24	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430101	10430568	10451376	10451659
26	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430803	10431401	10442264	10442441
27	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10430101	10430568	10451376	10451659
28	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10431257	10431401	10442264	10442441
29	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10434656	10434690	10442264	10442441
30	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10434656	10434690	10451376	10451659
31	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10442264	10442441	10434656	10434690	10451376	10451411
33	"ALDH4A1"	"ALDH4A1"	chr1	-	18876314	18876467	18875381	18875503	18877207	18877255
34	"ALDH4A1"	"ALDH4A1"	chr1	-	18879299	18879373	18877415	18877612	18881699	18881887
35	"ALDH4A1"	"ALDH4A1"	chr1	-	18879299	18879373	18877415	18877612	18883123	18883198
36	"ALDH4A1"	"ALDH4A1"	chr1	-	18881699	18881887	18877415	18877612	18883123	18883198
37	"ALDH4A1"	"ALDH4A1"	chr1	-	18881699	18881887	18879299	18879373	18883123	18883198
38	"ALDH4A1"	"ALDH4A1"	chr1	-	18886463	18886511	18885472	18885628	18889361	18889454
40	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103562961	103563124	103574106	103574170
41	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103562961	103563124	103587273	103587364
43	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103562961	103563124	103587273	103587364
45	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103571622	103571820	103587273	103587364
47	"APOPT1"	"APOPT1"	chr14	+	103579370	103579491	103574106	103574170	103587273	103587364
48	"APOPT1"	"APOPT1"	chr14	+	103581568	103581656	103574106	103574170	103587273	103587364
49	"APOPT1"	"APOPT1"	chr14	+	103587273	103587364	103574106	103574170	103590180	103590234
53	"C19orf18"	"C19orf18"	chr19	-	57961390	57961551	57958436	57958717	57966529	57966632
54	"TRIM4"	"TRIM4"	chr7	-	99903575	99903598	99903217	99903315	99908581	99908812
55	"TRIM4"	"TRIM4"	chr7	-	99903575	99903598	99903217	99903315	99909564	99909660
56	"TRIM4"	"TRIM4"	chr7	-	99908581	99908812	99903217	99903315	99909564	99909660
57	"TRIM4"	"TRIM4"	chr7	-	99908581	99908812	99903575	99903598	99909564	99909660
58	"TRIM4"	"TRIM4"	chr7	-	99916701	99916779	99909564	99909660	99919008	99919531
59	"DSP"	"DSP"	chr6	+	7555717	7555820	7541574	7542085	7558115	7558264
65	"RAPGEF1"	"RAPGEF1"	chr9	-	131638634	131638791	131629101	131629254	131643238	131643391
66	"RAPGEF1"	"RAPGEF1"	chr9	-	131643238	131643417	131638634	131638791	131650809	131650949
69	"ZNF684"	"ZNF684"	chr1	+	40540585	40540712	40533142	40533181	40541614	40541710
71	"FGFR1OP"	"FGFR1OP"	chr6	+	167003722	167003811	167003192	167003247	167004263	167004304
72	"FGFR1OP"	"FGFR1OP"	chr6	+	167010812	167010893	167004263	167004401	167022408	167022635
73	"FGFR1OP"	"FGFR1OP"	chr6	+	167013507	167013567	167010812	167010893	167022408	167022635
74	"FGFR1OP"	"FGFR1OP"	chr6	+	167026546	167026615	167024781	167024894	167032602	167032642
76	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218664738	218664873	218665915	218666059
77	"RNF25"	"RNF25"	chr2	-	218665915	218666059	218665153	218665247	218666158	218666230
78	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665154	218665247	218666158	218666230
79	"RNF25"	"RNF25"	chr2	-	218666158	218666230	218665153	218665247	218667911	218667981
80	"UCA1"	"UCA1"	chr19	+	15831254	15831356	15828960	15829338	15834501	15836320
81	"UCA1"	"UCA1"	chr19	+	15831254	15831356	15828960	15829338	15835217	15835420
83	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13616462	13616521	13618057	13618139
84	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13616462	13616521	13620207	13620329
85	"NOL7"	"NOL7"	chr6	+	13618057	13618139	13616462	13616521	13620207	13620329
86	"NOL7"	"NOL7"	chr6	+	13618057	13618139	13617769	13617801	13620207	13620329
87	"NOL7"	"NOL7"	chr6	+	13620753	13620856	13620407	13620485	13632392	13632739
88	"DNAJC15"	"DNAJC15"	chr13	+	43065685	43065737	43023202	43023734	43078611	43078688
89	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43065685	43065737	43078611	43078688
90	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43068929	43069003	43085767	43085838
91	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43068929	43069003	43107177	43114224
92	"DNAJC15"	"DNAJC15"	chr13	+	43085767	43085838	43068929	43069003	43107177	43114224
93	"DNAJC15"	"DNAJC15"	chr13	+	43085767	43085838	43078611	43078688	43107177	43114224
95	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121242358	121242469	121248163	121248270
96	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121242358	121242469	121248981	121249087
97	"TFCP2L1"	"TFCP2L1"	chr2	-	121248163	121248270	121242358	121242469	121248981	121249087
98	"TFCP2L1"	"TFCP2L1"	chr2	-	121248163	121248270	121246817	121246970	121248981	121249087
99	"TFCP2L1"	"TFCP2L1"	chr2	-	121281119	121281271	121249570	121249647	121285047	121285207
100	"URGCP-MRPS24"	"URGCP-MRPS24"	chr7	-	43887414	43887485	43881906	43881957	43906561	43906589
101	"AP000320.7"	"AP000320.7"	chr21	+	34125340	34125480	34073591	34073745	34215499	34215540
102	"AP000320.7"	"AP000320.7"	chr21	+	34215499	34215540	34073591	34073745	34262819	34262921
107	"PPP2R1A"	"PPP2R1A"	chr19	+	52205962	52206063	52201766	52202034	52211259	52211296
108	"RGMB"	"RGMB"	chr5	+	98773952	98774206	98770352	98770673	98779579	98780088
109	"RGMB"	"RGMB"	chr5	+	98773955	98774206	98770597	98770673	98779579	98779919
113	"EXOC7"	"EXOC7"	chr17	-	76088059	76088122	76087653	76087720	76088463	76088562
120	"EXOC7"	"EXOC7"	chr17	-	76097795	76098018	76092314	76094581	76101270	76101376
121	"EXOC7"	"EXOC7"	chr17	-	76101678	76101863	76101011	76101376	76103083	76103270
122	"EXOC7"	"EXOC7"	chr17	-	76103360	76103426	76101678	76101863	76103632	76103677
125	"PDZD11"	"PDZD11"	chrX	-	70288116	70288173	70287731	70287830	70288429	70288513
126	"PDZD11"	"PDZD11"	chrX	-	70289254	70289354	70288429	70288513	70289859	70289979
127	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70288429	70288513	70289859	70289913
130	"ACTR8"	"ACTR8"	chr3	-	53878356	53878467	53877646	53877751	53879938	53880072
142	"ACOT11"	"ACOT11"	chr1	+	54585834	54585904	54584654	54584862	54593940	54594039
143	"ACOT11"	"ACOT11"	chr1	+	54592545	54592606	54584654	54584862	54593940	54594039
144	"ACOT11"	"ACOT11"	chr1	+	54592545	54592606	54585834	54585904	54593940	54594039
147	"IL6R"	"IL6R"	chr1	+	154449910	154449980	154448124	154448171	154454487	154454581
151	"SLC44A2"	"SLC44A2"	chr19	+	10627919	10628004	10626252	10626301	10631274	10631385
152	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10626252	10626301	10631274	10631385
153	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10627919	10628004	10631274	10631385
154	"SLC44A2"	"SLC44A2"	chr19	+	10631274	10631385	10631056	10631141	10631474	10631535
155	"SLC44A2"	"SLC44A2"	chr19	+	10631625	10631749	10631474	10631535	10631867	10631918
156	"SLC44A2"	"SLC44A2"	chr19	+	10632043	10632156	10631867	10631951	10634755	10634887
157	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635069	10634755	10634887	10635162	10635515
158	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10634755	10634887	10635162	10635234
159	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10634755	10634887	10636322	10636585
160	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10634755	10634887	10636322	10636496
161	"SLC44A2"	"SLC44A2"	chr19	+	10636322	10636585	10634755	10635073	10636661	10636756
162	"SLC44A2"	"SLC44A2"	chr19	+	10636322	10636585	10635430	10635515	10636661	10636756
164	"SLC44A2"	"SLC44A2"	chr19	+	10638226	10638315	10637855	10637929	10643278	10643528
165	"SLC44A2"	"SLC44A2"	chr19	+	10638226	10638315	10638022	10638093	10642366	10642385
166	"SLC44A2"	"SLC44A2"	chr19	+	10642366	10642451	10638226	10638315	10643278	10643528
177	"SAR1A"	"SAR1A"	chr10	-	70161618	70161738	70161003	70161069	70161857	70161915
178	"SAR1A"	"SAR1A"	chr10	-	70161618	70161738	70161003	70161069	70170412	70170523
179	"SAR1A"	"SAR1A"	chr10	-	70161857	70161931	70161003	70161069	70170412	70170523
180	"SAR1A"	"SAR1A"	chr10	-	70161857	70161931	70161283	70161738	70170412	70170523
181	"SAR1A"	"SAR1A"	chr10	-	70162689	70162759	70161857	70161931	70170412	70170523
187	"GRIPAP1"	"GRIPAP1"	chrX	-	48990684	48990732	48989971	48990003	48990925	48991102
188	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48990925	48991110	48997249	48997357
189	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48990925	48991110	48998153	48998180
190	"GRIPAP1"	"GRIPAP1"	chrX	-	48997249	48997357	48993427	48993578	48998153	48998180
193	"GRIPAP1"	"GRIPAP1"	chrX	-	48998153	48998180	48997249	48997357	48999237	48999299
194	"GRIPAP1"	"GRIPAP1"	chrX	-	48999237	48999299	48993427	48993578	48999437	48999504
195	"GRIPAP1"	"GRIPAP1"	chrX	-	49000565	49000689	48999437	48999504	49000860	49000959
207	"ACVR1B"	"ACVR1B"	chr12	+	51980968	51981199	51976326	51976575	51983998	51984166
212	"DIS3L2"	"DIS3L2"	chr2	+	232014834	232014979	231961244	231961765	232024276	232024330
213	"DIS3L2"	"DIS3L2"	chr2	+	232014847	232014979	231961707	231961765	232024276	232024330
214	"DIS3L2"	"DIS3L2"	chr2	+	232015513	232015671	232014834	232014979	232024276	232024330
216	"DIS3L2"	"DIS3L2"	chr2	+	232136471	232136719	232130618	232130719	232163458	232163632
217	"DIS3L2"	"DIS3L2"	chr2	+	232198526	232198776	232163458	232163632	232210325	232210405
220	"DIS3L2"	"DIS3L2"	chr2	+	232333839	232333987	232330689	232330776	232334368	232334454
221	"MTG1"	"MTG1"	chr10	+	133398434	133398515	133396162	133396267	133399169	133399226
222	"MTG1"	"MTG1"	chr10	+	133398434	133398515	133396162	133396267	133402148	133402245
223	"MTG1"	"MTG1"	chr10	+	133399169	133399226	133396162	133396267	133402148	133402245
224	"MTG1"	"MTG1"	chr10	+	133399169	133399226	133398434	133398515	133402148	133402245
225	"MTG1"	"MTG1"	chr10	+	133399528	133399619	133399169	133399226	133401528	133401590
226	"MTG1"	"MTG1"	chr10	+	133399528	133399653	133399169	133399226	133401528	133401847
227	"MTG1"	"MTG1"	chr10	+	133399528	133399653	133399169	133399226	133402148	133402773
228	"MTG1"	"MTG1"	chr10	+	133401528	133401590	133399169	133399226	133402148	133402245
229	"APH1A"	"APH1A"	chr1	-	150267355	150267478	150267074	150267202	150267715	150267789
231	"APH1A"	"APH1A"	chr1	-	150267715	150267789	150267355	150267478	150268697	150269023
232	"APH1A"	"APH1A"	chr1	-	150267956	150267991	150267355	150267478	150268697	150269015
233	"APH1A"	"APH1A"	chr1	-	150267956	150267991	150267715	150267789	150268697	150269015
234	"APH1A"	"APH1A"	chr1	-	150267956	150268127	150267715	150267789	150268697	150268999
236	"CEP192"	"CEP192"	chr18	+	13017187	13017336	13015327	13015448	13018479	13018615
237	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13030464	13030608	13038369	13038579
239	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13030464	13030608	13048858	13049681
241	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13030464	13030608	13048858	13049681
243	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13037236	13037301	13048858	13049681
244	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13030464	13030608	13042203	13042334
245	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13030464	13030608	13048858	13049681
246	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13037236	13037301	13048858	13049681
247	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13038369	13038579	13048858	13049681
248	"CEP192"	"CEP192"	chr18	+	13042203	13042334	13030464	13030608	13048858	13049681
249	"CEP192"	"CEP192"	chr18	+	13042203	13042334	13040829	13040956	13048858	13049681
250	"CEP192"	"CEP192"	chr18	+	13057584	13057733	13055779	13056698	13059081	13059312
252	"CEP192"	"CEP192"	chr18	+	13069088	13069181	13068851	13068991	13069737	13069856
253	"CEP192"	"CEP192"	chr18	+	13071038	13071212	13069737	13069856	13072754	13072845
254	"CEP192"	"CEP192"	chr18	+	13073008	13073185	13072754	13072845	13087016	13087277
259	"CEP192"	"CEP192"	chr18	+	13114129	13114251	13113585	13113705	13116373	13116503
275	"RIOK3"	"RIOK3"	chr18	+	23479316	23479424	23477005	23477268	23481171	23481365
276	"RIOK3"	"RIOK3"	chr18	+	23479325	23479424	23477178	23477268	23481171	23481500
279	"MEIS1"	"MEIS1"	chr2	+	66512148	66512294	66496025	66496200	66547942	66548019
282	"RFXANK"	"RFXANK"	chr19	+	19196962	19197046	19193938	19194133	19198106	19198232
283	"RFXANK"	"RFXANK"	chr19	+	19196965	19197046	19193938	19194133	19198106	19198232
285	"RFXANK"	"RFXANK"	chr19	+	19197185	19197251	19196962	19197046	19198106	19198232
286	"RFXANK"	"RFXANK"	chr19	+	19197520	19197621	19196962	19197046	19198106	19198232
287	"RFXANK"	"RFXANK"	chr19	+	19197520	19197621	19197185	19197251	19198106	19198232
293	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19668795	19668966	19679180	19680329
294	"ZNF101"	"ZNF101"	chr19	+	19678725	19678786	19668795	19668966	19679180	19679523
295	"ZNF101"	"ZNF101"	chr19	+	19678725	19678786	19677863	19677990	19679180	19679523
300	"NDUFC1"	"NDUFC1"	chr4	-	139268671	139268765	139266879	139267041	139275288	139275392
301	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139295042	139295146	139296331	139296367
302	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139295042	139295146	139300601	139301210
303	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139295042	139295146	139302415	139302526
304	"NDUFC1"	"NDUFC1"	chr4	-	139296331	139296367	139295042	139295146	139300601	139301210
305	"NDUFC1"	"NDUFC1"	chr4	-	139296331	139296367	139295042	139295146	139302415	139302551
314	"TDRD5"	"TDRD5"	chr1	+	179593459	179593867	179592309	179592847	179595627	179595818
315	"TDRD5"	"TDRD5"	chr1	+	179593459	179593867	179592309	179592847	179618598	179618682
316	"TDRD5"	"TDRD5"	chr1	+	179595627	179595818	179592309	179592847	179618598	179618682
317	"TDRD5"	"TDRD5"	chr1	+	179595627	179595818	179593459	179593867	179618598	179618682
319	"TDRD5"	"TDRD5"	chr1	+	179669193	179669404	179663347	179663491	179690695	179691263
320	"PAXBP1-AS1"	"PAXBP1-AS1"	chr21	+	32738271	32738341	32733588	32733657	32742261	32743122
321	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113323010	113323155	113330983	113331113
