ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356
58	"FLNB"	"FLNB"	chr3	+	58168439	58169793	58168439	58168658	58169589	58169793
70	"BAZ2A"	"BAZ2A"	chr12	-	56615013	56615607	56615013	56615128	56615218	56615607
78	"YBX2"	"YBX2"	chr17	-	7291092	7292059	7291092	7291182	7292025	7292059
98	"FTSJ1"	"FTSJ1"	chrX	+	48482596	48483027	48482596	48482794	48482985	48483027
112	"CPSF7"	"CPSF7"	chr11	-	61416104	61416519	61416104	61416162	61416363	61416519
113	"CPSF7"	"CPSF7"	chr11	-	61420469	61421608	61420469	61420530	61421389	61421608
114	"CPSF7"	"CPSF7"	chr11	-	61420469	61421608	61420469	61420573	61421389	61421608
126	"GALE"	"GALE"	chr1	-	23796508	23796782	23796508	23796586	23796696	23796782
127	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798225	23798614	23798730
128	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798230	23798614	23798730
137	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144424945	144425772
138	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144425682	144425772
139	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425000	144425682	144425772
140	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425051	144425682	144425772
144	"CCDC14"	"CCDC14"	chr3	-	123955842	123956115	123955842	123955965	123956045	123956115
169	"RPL9"	"RPL9"	chr4	-	39456405	39457681	39456405	39456538	39457585	39457681
171	"MPDU1"	"MPDU1"	chr17	+	7586691	7586961	7586691	7586777	7586898	7586961
172	"MPDU1"	"MPDU1"	chr17	+	7586898	7587017	7586898	7586972	7586974	7587017
173	"MPDU1"	"MPDU1"	chr17	+	7586691	7587271	7586691	7586838	7587160	7587271
175	"MPDU1"	"MPDU1"	chr17	+	7587160	7587271	7587160	7587181	7587182	7587271
189	"RPL13"	"RPL13"	chr16	+	89560710	89561063	89560710	89560839	89560939	89561063
190	"RPL13"	"RPL13"	chr16	+	89560939	89561368	89560939	89561063	89561226	89561368
192	"RPL13"	"RPL13"	chr16	+	89561577	89561751	89561577	89561598	89561739	89561751
226	"BPTF"	"BPTF"	chr17	+	67893369	67893725	67893369	67893678	67893679	67893725
232	"PRIM1"	"PRIM1"	chr12	-	56746780	56747032	56746780	56746854	56746925	56747032
250	"ACAD9"	"ACAD9"	chr3	+	128909343	128910149	128909343	128909421	128910020	128910149
251	"DZIP3"	"DZIP3"	chr3	+	108647942	108648962	108647942	108648112	108648917	108648962
255	"MYL6"	"MYL6"	chr12	+	56158683	56159730	56158683	56158711	56159586	56159730
256	"MYL6"	"MYL6"	chr12	+	56158683	56159730	56158683	56158711	56159622	56159730
257	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159622	56159974	56160148
