ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"CFAP69"	"CFAP69"	chr7	+	90268285	90268384	90268285	90268330	90271525	90271675	3	1,0,0	0,2,0	0,0,0	0,2,0	153	99	1	1.0	1.0,0.0,NA	NA,0.0,NA	0.5
4	"MBD4"	"MBD4"	chr3	-	129436442	129437308	129436460	129437308	129434061	129434136	4	32,51,24	76,103,54	108,49,102	227,126,240	117	99	0.801666378319	1.0	0.263,0.295,0.273	0.287,0.248,0.264	0.011
5	"MBD4"	"MBD4"	chr3	-	129437719	129437950	129437807	129437950	129434061	129434136	5	69,82,53	0,0,1	209,98,158	2,2,1	187	99	0.535579797846	1.0	1.0,1.0,0.966	0.982,0.963,0.988	0.011
8	"RNF25"	"RNF25"	chr2	-	218668238	218668341	218668278	218668341	218668078	218668146	8	55,52,34	2,0,1	156,89,144	0,2,2	139	99	0.869397281704	1.0	0.951,1.0,0.96	1.0,0.969,0.981	-0.013
9	"SLC44A2"	"SLC44A2"	chr19	+	10625519	10625670	10625519	10625549	10626252	10626301	9	1007,920,583	0,1,0	853,572,829	3,0,0	220	99	1	1.0	1.0,0.998,1.0	0.992,1.0,1.0	0.002
10	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10635162	10635255	10	1462,1759,944	3,1,1	1220,731,1405	4,1,2	285	99	1	1.0	0.994,0.998,0.997	0.991,0.996,0.996	0.002
11	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10636322	10636585	11	82,98,53	2,3,3	105,55,89	2,2,1	285	99	0.246750372812	0.85799701877	0.934,0.919,0.86	0.948,0.905,0.969	-0.036
12	"NTMT1"	"NTMT1"	chr9	+	129632649	129632865	129632649	129632801	129634053	129634306	12	230,249,135	19,34,14	359,188,348	83,37,49	163	99	0.00127542604859	0.0194483278148	0.88,0.816,0.854	0.724,0.755,0.812	0.086
13	"PARL"	"PARL"	chr3	-	183862696	183862801	183862752	183862801	183844230	183844326	13	10,16,9	91,122,55	35,18,45	110,83,98	155	99	2.40623400382e-05	0.000807523301465	0.066,0.077,0.095	0.169,0.122,0.227	-0.093
14	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232136471	232136719	14	3,2,1	18,34,10	3,3,4	49,21,44	323	99	1	1.0	0.049,0.018,0.03	0.018,0.042,0.027	0.003
15	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232163458	232163632	15	2,2,1	0,0,0	3,3,4	1,5,1	323	99	2.37604536046e-09	3.10413354592e-07	1.0,1.0,1.0	0.479,0.155,0.551	0.605
16	"RIOK3"	"RIOK3"	chr18	+	23473428	23473626	23473428	23473483	23474947	23475107	16	122,143,78	1,3,4	212,105,217	4,3,1	242	99	0.495961735023	1.0	0.98,0.951,0.889	0.956,0.935,0.989	-0.02
18	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19677863	19677986	19678725	19678786	18	8,14,13	3,2,3	44,13,21	23,9,22	103	99	0.00278763871682	0.0339906080871	0.719,0.871,0.806	0.648,0.581,0.478	0.23
