ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268
26	"PPM1M"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595
63	"FARSA"	"FARSA"	chr19	-	12930428	12930749	12930428	12930527	12930611	12930749
67	"TRPM7"	"TRPM7"	chr15	-	50575723	50575919	50575723	50575789	50575868	50575919
70	"BAZ2A"	"BAZ2A"	chr12	-	56615013	56615607	56615013	56615128	56615218	56615607
80	"AQR"	"AQR"	chr15	-	34873827	34874864	34873827	34873999	34874676	34874864
98	"FTSJ1"	"FTSJ1"	chrX	+	48482596	48483027	48482596	48482794	48482985	48483027
112	"CPSF7"	"CPSF7"	chr11	-	61416104	61416519	61416104	61416162	61416363	61416519
124	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39158284	39158402	39159449	39159550
125	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39158284	39158402	39159482	39159550
126	"GALE"	"GALE"	chr1	-	23796508	23796782	23796508	23796586	23796696	23796782
127	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798225	23798614	23798730
128	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798230	23798614	23798730
137	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144424945	144425772
138	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144425682	144425772
139	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425000	144425682	144425772
140	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425051	144425682	144425772
168	"RPL9"	"RPL9"	chr4	-	39456405	39457681	39456405	39456538	39457585	39457681
170	"MPDU1"	"MPDU1"	chr17	+	7586691	7586961	7586691	7586777	7586898	7586961
171	"MPDU1"	"MPDU1"	chr17	+	7586898	7587017	7586898	7586972	7586974	7587017
172	"MPDU1"	"MPDU1"	chr17	+	7586691	7587271	7586691	7586838	7587160	7587271
174	"MPDU1"	"MPDU1"	chr17	+	7587160	7587271	7587160	7587181	7587182	7587271
188	"RPL13"	"RPL13"	chr16	+	89560710	89561063	89560710	89560839	89560939	89561063
191	"RPL13"	"RPL13"	chr16	+	89561577	89561751	89561577	89561598	89561739	89561751
194	"BSDC1"	"BSDC1"	chr1	-	32394079	32394425	32394079	32394140	32394403	32394425
225	"BPTF"	"BPTF"	chr17	+	67893369	67893725	67893369	67893678	67893679	67893725
226	"UBE2V1"	"UBE2V1"	chr20	-	50096482	50096820	50096482	50096534	50096671	50096820
231	"PRIM1"	"PRIM1"	chr12	-	56746780	56747032	56746780	56746854	56746925	56747032
234	"GGA3"	"GGA3"	chr17	-	75239788	75241057	75239788	75240108	75240341	75241057
235	"GGA3"	"GGA3"	chr17	-	75240341	75241057	75240341	75240412	75240811	75241057
250	"DZIP3"	"DZIP3"	chr3	+	108647942	108648962	108647942	108648112	108648917	108648962
254	"MYL6"	"MYL6"	chr12	+	56158683	56159730	56158683	56158711	56159586	56159730
