ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"CFAP69"	"CFAP69"	chr7	+	90299866	90304820	90299866	90300059	90304743	90304820
1	"CDHR1"	"CDHR1"	chr10	+	84219078	84219621	84219078	84219092	84219343	84219621
2	"EXOC7"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773
8	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268
10	"FAM107A"	"FAM107A"	chr3	-	58565460	58567364	58565460	58566695	58567207	58567364
11	"PPP2R3B"	"PPP2R3B"	chrX	-	14253	14877	14253	14343	14828	14877
12	"PPP2R3B"	"PPP2R3B"	chrX	-	24479	25104	24479	24569	25055	25104
13	"PPP2R3B"	"PPP2R3B"	chrX	-	341306	341931	341306	341396	341882	341931
14	"PFAS"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356
16	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7318494	7318674
17	"NEURL4"	"NEURL4"	chr17	-	7321559	7322010	7321559	7321787	7321864	7322010
18	"HSD17B4"	"HSD17B4"	chr5	+	119492099	119493946	119492099	119492124	119493817	119493946
19	"GTF2H2"	"GTF2H2"	chr5	-	361685	362082	361685	361776	361994	362082
20	"GTF2H2"	"GTF2H2"	chr5	-	597141	597538	597141	597229	597447	597538
21	"GTF2H2"	"GTF2H2"	chr5	-	71048761	71049158	71048761	71048849	71049067	71049158
22	"SLC25A18"	"SLC25A18"	chr22	+	17579744	17581159	17579744	17579964	17581036	17581159
23	"CAPN12"	"CAPN12"	chr19	-	38734318	38734870	38734318	38734389	38734812	38734870
24	"CAPN12"	"CAPN12"	chr19	-	38735369	38735544	38735369	38735429	38735501	38735544
25	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248334	52248453
26	"PPM1M"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595
27	"AF064858.6"	"AF064858.6"	chr21	-	38923425	38923693	38923425	38923513	38923637	38923693
28	"NOC3L"	"NOC3L"	chr10	-	94357173	94358215	94357173	94357331	94358082	94358215
29	"EPB41L3"	"EPB41L3"	chr18	-	5397057	5397426	5397057	5397395	5397396	5397426
30	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192824	67193008	67193170
31	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192870	67193008	67193170
32	"ABCA2"	"ABCA2"	chr9	-	137010192	137010737	137010192	137010371	137010619	137010737
33	"ABCA2"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309
34	"ABCA2"	"ABCA2"	chr9	-	137011406	137011749	137011406	137011554	137011633	137011749
35	"ABCA2"	"ABCA2"	chr9	-	137021391	137022001	137021391	137021610	137021890	137022001
36	"ABCA2"	"ABCA2"	chr9	-	137022701	137023052	137022701	137022865	137022940	137023052
37	"ABCA2"	"ABCA2"	chr9	-	137022940	137023840	137022940	137023052	137023837	137023840
38	"RP4-565E6.1"	"RP4-565E6.1"	chr1	-	148226493	148226798	148226493	148226621	148226734	148226798
39	"CTPS1"	"CTPS1"	chr1	+	41008658	41008890	41008658	41008714	41008793	41008890
40	"IKBKB"	"IKBKB"	chr8	+	42319269	42320844	42319269	42319421	42320734	42320844
41	"LCK"	"LCK"	chr1	+	32274736	32275083	32274736	32274818	32274992	32275083
42	"LCK"	"LCK"	chr1	+	32279670	32279994	32279670	32279747	32279840	32279994
43	"LINC01102"	"LINC01102"	chr2	+	104505865	104507406	104505865	104506303	104507231	104507406
44	"SCNN1D"	"SCNN1D"	chr1	+	1287507	1287836	1287507	1287596	1287672	1287836
45	"ATP1A3"	"ATP1A3"	chr19	-	41966581	41967340	41966581	41966965	41967248	41967340
46	"EML2"	"EML2"	chr19	-	45632860	45633139	45632860	45632971	45633069	45633139
47	"EML2"	"EML2"	chr19	-	45638504	45638873	45638504	45638634	45638844	45638873
48	"EML2"	"EML2"	chr19	-	45641917	45642352	45641917	45642041	45642133	45642352
49	"NELL2"	"NELL2"	chr12	-	44875814	44876315	44875814	44875900	44876293	44876315
50	"IDI1"	"IDI1"	chr10	-	1043300	1044171	1043300	1043393	1043998	1044171
51	"CDCA7"	"CDCA7"	chr2	+	173363817	173364989	173363817	173363895	173364794	173364989
52	"WFDC2"	"WFDC2"	chr20	+	45479438	45480094	45479438	45479769	45479941	45480094
53	"DDX3Y"	"DDX3Y"	chrY	+	12914883	12915227	12914883	12914982	12915066	12915227
54	"PICK1"	"PICK1"	chr22	+	38073772	38074451	38073772	38073823	38074306	38074451
55	"RAD17"	"RAD17"	chr5	+	155226	155410	155226	155247	155349	155410
56	"RAD17"	"RAD17"	chr5	+	69372033	69372217	69372033	69372054	69372156	69372217
57	"ALOX15"	"ALOX15"	chr17	-	4638926	4639132	4638926	4638972	4639050	4639132
58	"FLNB"	"FLNB"	chr3	+	58168439	58169793	58168439	58168658	58169589	58169793
59	"CCDC84"	"CCDC84"	chr11	+	119011938	119012254	119011938	119012003	119012148	119012254
60	"RFWD2"	"RFWD2"	chr1	-	175988287	175989479	175988287	175988412	175989361	175989479
61	"IL11RA"	"IL11RA"	chr9	+	34655217	34655665	34655217	34655317	34655604	34655665
62	"FARSA"	"FARSA"	chr19	-	12924638	12925003	12924638	12924807	12924903	12925003
63	"FARSA"	"FARSA"	chr19	-	12930428	12930749	12930428	12930527	12930611	12930749
64	"GOLGA6A"	"GOLGA6A"	chr15	-	74077220	74077453	74077220	74077302	74077402	74077453
65	"GABRA1"	"GABRA1"	chr5	+	161847654	161848422	161847654	161847713	161848190	161848422
66	"GLYR1"	"GLYR1"	chr16	-	4803202	4805310	4803202	4804148	4804521	4805310
67	"TRPM7"	"TRPM7"	chr15	-	50575723	50575919	50575723	50575789	50575868	50575919
68	"FAM86B1"	"FAM86B1"	chr8	-	12186351	12186833	12186351	12186617	12186699	12186833
69	"BAZ2A"	"BAZ2A"	chr12	-	56604584	56605327	56604584	56604799	56605072	56605327
70	"BAZ2A"	"BAZ2A"	chr12	-	56615013	56615607	56615013	56615128	56615218	56615607
71	"B9D1"	"B9D1"	chr17	-	19343169	19343857	19343169	19343461	19343789	19343857
72	"B9D1"	"B9D1"	chr17	-	19343169	19343857	19343169	19343495	19343789	19343857
73	"WAC"	"WAC"	chr10	+	28614566	28616362	28614566	28614685	28616172	28616362
74	"WAC"	"WAC"	chr10	+	28614566	28616362	28614566	28614685	28616175	28616362
75	"INPP5J"	"INPP5J"	chr22	+	31124844	31126010	31124844	31124906	31125832	31126010
76	"INPP5J"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532
77	"INPP5J"	"INPP5J"	chr22	+	31133609	31134696	31133609	31133714	31133912	31134696
78	"YBX2"	"YBX2"	chr17	-	7291092	7292059	7291092	7291182	7292025	7292059
79	"TMTC4"	"TMTC4"	chr13	-	100634804	100635195	100634804	100634936	100635023	100635195
80	"AQR"	"AQR"	chr15	-	34873827	34874864	34873827	34873999	34874676	34874864
81	"CYP3A5"	"CYP3A5"	chr7	-	99662815	99664095	99662815	99662882	99663967	99664095
82	"CYP3A5"	"CYP3A5"	chr7	-	99672579	99672915	99672579	99672679	99672783	99672915
83	"CYP3A5"	"CYP3A5"	chr7	-	99672579	99672915	99672579	99672698	99672783	99672915
84	"CYP3A5"	"CYP3A5"	chr7	-	99676114	99676576	99676114	99676208	99676316	99676576
85	"ITK"	"ITK"	chr5	+	157240061	157241720	157240061	157240195	157241645	157241720
86	"RP11-598F7.4"	"RP11-598F7.4"	chr12	-	137253	138584	137253	137424	138323	138584
87	"RP11-598F7.4"	"RP11-598F7.4"	chr12	-	143238	144569	143238	143409	144308	144569
