"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"X1stExonStart_0base"	"X1stExonEnd"	"X2ndExonStart_0base"	"X2ndExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
10743	"CTD-2116N17.1"	"CTD-2116N17.1"	chr15	-	64300318	64300723	64376742	64376905	64251544	64251581	64380957	64381038	10743	185,214,122	18,16,5	140,92,139	61,25,45	262	504	3.10862446895e-15	6.32915941878e-12	0.952,0.963,0.979	0.815,0.876,0.856	0.116
10495	"HNRNPDL"	"HNRNPDL"	chr4	-	82426036	82426129	82426462	82426633	82425562	82425667	82427189	82427304	10495	1267,1324,792	36,53,28	1098,639,1144	116,76,91	270	192	7.88258347484e-15	1.3374116629e-11	0.962,0.947,0.953	0.871,0.857,0.899	0.078
10525	"DPM1"	"DPM1"	chr20	-	50942030	50942126	50945736	50945762	50936147	50936262	50945846	50945861	10525	68,72,45	19,21,11	64,41,51	84,51,54	125	195	6.16173778667e-14	8.96092723833e-11	0.848,0.842,0.865	0.543,0.556,0.596	0.287
4768	"ANKRD11"	"ANKRD11"	chr16	-	89291680	89291777	89305205	89305344	89291012	89291183	89316932	89317078	4768	392,388,212	80,83,47	993,531,862	66,42,82	238	196	5.79092329644e-13	7.36894989472e-10	0.801,0.794,0.788	0.925,0.912,0.896	-0.117
11385	"GPI"	"GPI"	chr19	+	34381465	34381519	34393247	34393308	34379517	34379562	34393727	34393771	11385	123,1,1	1281,1380,756	0,0,3	1195,687,1098	153	160	1.51911816459e-12	1.71829143506e-09	0.091,0.001,0.001	0.0,0.0,0.003	0.03
4971	"RPL13A"	"RPL13A"	chr19	+	49490231	49490297	49490474	49490576	49489849	49489912	49490778	49490864	4971	176,225,145	3863,4264,2444	338,155,306	2977,1776,2862	165	201	9.88131798607e-12	1.00591817098e-08	0.053,0.06,0.067	0.122,0.096,0.115	-0.051
2807	"ANAPC15"	"ANAPC15"	chr11	-	72111156	72111286	72111411	72111496	72110543	72110603	72111923	72112232	2807	1,0,2	292,352,187	23,20,31	603,291,555	184	229	1.26715304916e-11	1.17269254913e-08	0.004,0.0,0.013	0.045,0.079,0.065	-0.057
3633	"FNTA"	"FNTA"	chr8	+	43072180	43072307	43077215	43080441	43064100	43064215	43083117	43083180	3633	35,35,31	332,325,210	84,39,96	277,148,243	226	3325	4.24722479409e-11	3.60306236699e-08	0.608,0.613,0.685	0.817,0.795,0.853	-0.186
10527	"DPM1"	"DPM1"	chr20	-	50942030	50942126	50945736	50945762	50941128	50941209	50945846	50945923	10527	67,72,45	25,26,16	62,41,51	82,47,61	125	195	1.38972944264e-10	1.08826505585e-07	0.807,0.812,0.814	0.541,0.576,0.566	0.25
3457	"CCNB3"	"CCNB3"	chrX	+	50294862	50294993	50308504	50311496	50288779	50288887	50312536	50312632	3457	4,5,3	49,42,44	0,0,0	36,28,38	230	3091	1.50676804367e-10	1.09563562033e-07	0.523,0.615,0.478	0.0,0.0,0.0	0.539
10468	"SARNP"	"SARNP"	chr12	-	55796024	55796076	55800561	55800629	55794806	55794880	55803628	55803728	10468	6,5,2	62,86,50	35,17,23	89,32,79	167	151	6.35192121123e-10	4.31083719535e-07	0.08,0.05,0.035	0.262,0.324,0.208	-0.21
847	"UFD1L"	"UFD1L"	chr22	-	19471686	19471808	19475067	19475100	19467872	19468003	19475495	19475602	847	7,8,6	269,291,162	45,20,58	426,238,428	132	221	9.973923909e-10	6.3459090871e-07	0.042,0.044,0.058	0.15,0.123,0.185	-0.105
