ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"CFAP69"	"CFAP69"	chr7	+	90299866	90304820	90299866	90300059	90304743	90304820	0	1,2,0	1,0,0	0,2,1	1,0,0	4783	99	1	1.0	0.02,1.0,NA	0.0,1.0,1.0	-0.157
2	"EXOC7"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562	2	36,34,55	4,4,6	26,16,24	0,1,0	842	99	6.53033516329e-06	0.000167380363689	0.514,0.5,0.519	1.0,0.653,1.0	-0.373
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	3	4,4,2	10,6,14	1,1,5	7,7,6	266	99	0.814410365492	1.0	0.13,0.199,0.05	0.05,0.05,0.237	0.014
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073	4	92,42,84	874,507,858	43,14,30	735,491,739	185	99	1.24939774859e-07	4.70346194105e-06	0.053,0.042,0.05	0.03,0.015,0.021	0.026
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515	5	150,89,173	1511,866,1847	80,56,60	1310,1022,1136	274	99	4.43396147443e-06	0.000119841831648	0.035,0.036,0.033	0.022,0.019,0.019	0.015
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245	6	78,31,67	96,60,87	56,33,45	77,62,100	657	99	0.140217314366	0.463927341112	0.109,0.072,0.104	0.099,0.074,0.064	0.016
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773	7	0,0,2	146,76,165	3,0,0	113,78,110	545	99	1	1.0	0.0,0.0,0.002	0.005,0.0,0.0	-0.001
8	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312	8	2,3,9	14,9,16	2,1,0	10,8,12	1447	99	0.115150474353	0.403936715421	0.01,0.022,0.037	0.013,0.008,0.0	0.016
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268	9	7,11,13	226,108,217	9,5,6	91,56,68	191	99	0.198255676501	0.597080012396	0.016,0.05,0.03	0.049,0.044,0.044	-0.014
14	"PFAS"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648	14	1,2,1	78,40,50	1,0,1	27,25,33	215	99	1	1.0	0.006,0.023,0.009	0.017,0.0,0.014	0.002
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356	15	13,7,19	39,34,43	12,6,3	34,18,23	195	99	0.450056372326	0.988756066618	0.145,0.095,0.183	0.152,0.145,0.062	0.021
16	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7318494	7318674	16	2,1,3	53,18,42	4,1,2	27,21,17	237	99	0.293750156141	0.761558869651	0.016,0.023,0.029	0.058,0.02,0.047	-0.019
17	"NEURL4"	"NEURL4"	chr17	-	7321559	7322010	7321559	7321787	7321864	7322010	17	5,0,6	27,20,25	1,2,1	24,21,14	176	99	0.0688099040916	0.276003322294	0.094,0.0,0.119	0.023,0.051,0.039	0.033
18	"HSD17B4"	"HSD17B4"	chr5	+	119492099	119493946	119492099	119492124	119493817	119493946	18	49,26,33	111,52,84	27,20,22	114,87,117	1792	99	0.000276905617174	0.00377069320417	0.024,0.027,0.021	0.013,0.013,0.01	0.012
22	"SLC25A18"	"SLC25A18"	chr22	+	17579744	17581159	17579744	17579964	17581036	17581159	22	1,0,0	0,0,0	0,0,3	2,0,0	1171	99	1	1.0	1.0,NA,NA	0.0,NA,1.0	0.5
25	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248334	52248453	25	0,4,4	19,4,16	2,1,3	5,10,6	196	99	0.70636521811	1.0	0.0,0.336,0.112	0.168,0.048,0.202	0.01
26	"PPM1M"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595	26	4,3,2	23,6,20	4,4,2	4,1,4	446	99	0.0177627921965	0.102048986585	0.037,0.1,0.022	0.182,0.47,0.1	-0.198
28	"NOC3L"	"NOC3L"	chr10	-	94357173	94358215	94357173	94357331	94358082	94358215	28	4,2,5	109,59,78	5,1,4	48,57,63	850	99	1	1.0	0.004,0.004,0.007	0.012,0.002,0.007	-0.002
30	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192824	67193008	67193170	30	189,125,191	4,1,2	103,77,97	0,0,0	283	99	0.182908362956	0.561146709442	0.943,0.978,0.971	1.0,1.0,1.0	-0.036
31	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192870	67193008	67193170	31	43,39,40	286,203,322	22,19,18	153,120,169	237	99	0.433653856962	0.968292295929	0.059,0.074,0.049	0.057,0.062,0.043	0.007
32	"ABCA2"	"ABCA2"	chr9	-	137010192	137010737	137010192	137010371	137010619	137010737	32	1,0,1	11,2,15	0,0,0	4,3,7	347	99	1	1.0	0.025,0.0,0.019	0.0,0.0,0.0	0.015
33	"ABCA2"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309	33	0,2,0	14,6,12	1,0,0	18,7,13	179	99	1	1.0	0.0,0.156,0.0	0.03,0.0,0.0	0.042
34	"ABCA2"	"ABCA2"	chr9	-	137011406	137011749	137011406	137011554	137011633	137011749	34	0,0,0	19,5,15	0,1,0	5,1,11	178	99	1	1.0	0.0,0.0,0.0	0.0,0.357,0.0	-0.119
35	"ABCA2"	"ABCA2"	chr9	-	137021391	137022001	137021391	137021610	137021890	137022001	35	1,0,0	3,3,4	3,0,0	6,6,5	379	99	0.857097969755	1.0	0.08,0.0,0.0	0.116,0.0,0.0	-0.012
39	"CTPS1"	"CTPS1"	chr1	+	41008658	41008890	41008658	41008714	41008793	41008890	39	27,17,19	278,123,274	18,6,25	241,155,231	178	99	0.355995760042	0.857141023845	0.051,0.071,0.037	0.04,0.021,0.057	0.014
40	"IKBKB"	"IKBKB"	chr8	+	42319269	42320844	42319269	42319421	42320734	42320844	40	72,30,65	0,1,0	18,19,29	0,0,1	1412	99	1	1.0	1.0,0.678,1.0	1.0,1.0,0.67	0.003
44	"SCNN1D"	"SCNN1D"	chr1	+	1287507	1287836	1287507	1287596	1287672	1287836	44	2,0,5	1,0,0	8,4,5	5,2,0	175	99	1	1.0	0.531,NA,1.0	0.475,0.531,1.0	0.097
47	"EML2"	"EML2"	chr19	-	45638504	45638873	45638504	45638634	45638844	45638873	47	0,0,1	59,42,104	0,0,2	79,60,77	309	99	1	1.0	0.0,0.0,0.003	0.0,0.0,0.008	-0.002
48	"EML2"	"EML2"	chr19	-	45641917	45642352	45641917	45642041	45642133	45642352	48	2,0,1	3,1,0	4,0,2	1,0,2	191	99	1	1.0	0.257,0.0,1.0	0.675,NA,0.341	-0.089
49	"NELL2"	"NELL2"	chr12	-	44875814	44876315	44875814	44875900	44876293	44876315	49	3,1,2	0,1,1	0,0,1	1,1,2	492	99	0.0102482566491	0.0662561708942	1.0,0.168,0.287	0.0,0.0,0.091	0.455
50	"IDI1"	"IDI1"	chr10	-	1043300	1044171	1043300	1043393	1043998	1044171	50	25,8,22	100,54,92	23,16,20	155,130,169	704	99	0.0200052267487	0.111572360293	0.034,0.02,0.033	0.02,0.017,0.016	0.011
