ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"EXOC7"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562	2	3,3,5	2,1,0	7,7,3	0,1,0	198	99	0.485113159973	1.0	0.429,0.6,1.0	1.0,0.778,1.0	-0.25
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	3	5,0,3	20,10,6	1,1,5	7,7,6	198	99	0.657700102824	1.0	0.111,0.0,0.2	0.067,0.067,0.294	-0.039
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073	4	66,39,47	1301,800,719	43,14,30	735,491,739	184	99	0.168098091366	0.747603345482	0.027,0.026,0.034	0.031,0.015,0.021	0.007
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515	5	83,81,54	2232,1614,1202	60,50,48	1310,1022,1136	198	99	0.789086968893	1.0	0.018,0.024,0.022	0.022,0.024,0.021	-0.001
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245	6	17,10,12	81,69,62	9,9,19	77,62,100	198	99	0.508917973429	1.0	0.095,0.068,0.088	0.055,0.068,0.087	0.014
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773	7	1,0,0	141,84,65	3,0,0	113,78,110	198	99	1	1.0	0.004,0.0,0.0	0.013,0.0,0.0	-0.003
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268	9	8,5,7	111,107,68	9,5,6	91,56,68	190	99	0.443251624151	1.0	0.036,0.024,0.051	0.049,0.044,0.044	-0.009
14	"PFAS"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648	14	0,1,1	24,13,14	1,0,1	27,25,33	198	99	1	1.0	0.0,0.037,0.034	0.018,0.0,0.015	0.013
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356	15	8,5,5	20,14,14	12,6,3	34,18,23	194	99	0.540467196129	1.0	0.17,0.154,0.154	0.153,0.145,0.062	0.039
16	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7318494	7318674	16	0,2,2	20,22,14	4,1,1	27,21,17	198	99	0.494777224907	1.0	0.0,0.043,0.067	0.069,0.023,0.029	-0.004
17	"NEURL4"	"NEURL4"	chr17	-	7321559	7322010	7321559	7321787	7321864	7322010	17	0,0,3	13,18,12	1,2,1	24,21,14	175	99	0.346472573291	1.0	0.0,0.0,0.124	0.023,0.051,0.039	0.004
18	"HSD17B4"	"HSD17B4"	chr5	+	119492099	119493946	119492099	119492124	119493817	119493946	18	2,3,1	160,84,100	1,2,1	114,87,117	198	99	1	1.0	0.006,0.018,0.005	0.004,0.011,0.004	0.003
