ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ZNF684"	"ZNF684"	chr1	+	40544396	40545037	40544415	40545037	40541614	40541710	1	5,5,4	0,2,0	2,3,0	0,0,1	117	99	1	1.0	1.0,0.679,1.0	1.0,1.0,0.0	0.226
2	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665915	218666059	218666158	218666230	2	3,2,0	28,51,27	3,1,2	128,65,111	123	99	0.533749944879	1.0	0.079,0.031,0.0	0.019,0.012,0.014	0.022
4	"IL1RL1"	"IL1RL1"	chr2	+	102343035	102343177	102343077	102343177	102342222	102342294	4	0,1,5	0,0,2	21,8,13	3,0,2	140	99	1	1.0	NA,1.0,0.639	0.832,1.0,0.821	-0.065
6	"EXOC7"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235	6	6,9,7	12,18,9	15,7,5	26,6,19	182	99	0.813979007753	1.0	0.214,0.214,0.297	0.239,0.388,0.125	-0.009
8	"ACTR8"	"ACTR8"	chr3	-	53873031	53873146	53873031	53873127	53874210	53874364	8	0,1,1	16,34,7	2,1,4	45,29,45	117	99	0.0851858694057	0.513062637126	0.0,0.024,0.108	0.036,0.028,0.07	-0.001
9	"ACTR8"	"ACTR8"	chr3	-	53879938	53880109	53879938	53880072	53881978	53882202	9	23,35,10	0,0,3	54,35,58	2,0,0	135	99	0.66271071649	1.0	1.0,1.0,0.71	0.952,1.0,1.0	-0.081
12	"SLC44A2"	"SLC44A2"	chr19	+	10637643	10637747	10637649	10637747	10636661	10636756	12	1194,1359,805	8,16,0	828,505,797	0,0,0	104	99	1	1.0	0.993,0.988,1.0	1.0,1.0,1.0	-0.006
13	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66456186	66456342	13	2,4,0	1,0,0	9,5,4	3,0,0	101	99	1	1.0	0.662,1.0,NA	0.746,1.0,1.0	-0.084
14	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66462923	66463093	14	0,2,0	0,0,0	1,1,1	0,0,2	101	99	1	1.0	NA,1.0,NA	1.0,1.0,0.329	0.224
19	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399169	133399226	19	8,12,8	1,0,1	10,3,12	0,0,1	198	99	1	1.0	0.8,1.0,0.8	1.0,1.0,0.857	-0.086
