ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356
25	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248334	52248453
26	"PPM1M"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595
58	"FLNB"	"FLNB"	chr3	+	58168439	58169793	58168439	58168658	58169589	58169793
63	"FARSA"	"FARSA"	chr19	-	12930428	12930749	12930428	12930527	12930611	12930749
70	"BAZ2A"	"BAZ2A"	chr12	-	56615013	56615607	56615013	56615128	56615218	56615607
78	"YBX2"	"YBX2"	chr17	-	7291092	7292059	7291092	7291182	7292025	7292059
98	"FTSJ1"	"FTSJ1"	chrX	+	48482596	48483027	48482596	48482794	48482985	48483027
102	"SLC52A2"	"SLC52A2"	chr8	+	144359622	144360493	144359622	144359747	144360171	144360493
113	"CPSF7"	"CPSF7"	chr11	-	61416104	61416519	61416104	61416162	61416363	61416519
114	"CPSF7"	"CPSF7"	chr11	-	61420469	61421608	61420469	61420530	61421389	61421608
115	"CPSF7"	"CPSF7"	chr11	-	61420469	61421608	61420469	61420573	61421389	61421608
125	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39158284	39158402	39159449	39159550
126	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39158284	39158402	39159482	39159550
128	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798225	23798614	23798730
129	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798230	23798614	23798730
137	"VPS28"	"VPS28"	chr8	-	144424214	144424819	144424214	144424268	144424717	144424819
138	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144424945	144425772
139	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144425682	144425772
140	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425000	144425682	144425772
141	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425051	144425682	144425772
143	"VPS28"	"VPS28"	chr8	-	144424945	144426208	144424945	144425772	144426179	144426208
145	"VPS28"	"VPS28"	chr8	-	144426025	144426983	144426025	144426063	144426908	144426983
146	"CCDC14"	"CCDC14"	chr3	-	123955842	123956115	123955842	123955965	123956045	123956115
173	"MPDU1"	"MPDU1"	chr17	+	7586691	7586961	7586691	7586777	7586898	7586961
174	"MPDU1"	"MPDU1"	chr17	+	7586898	7587017	7586898	7586972	7586974	7587017
175	"MPDU1"	"MPDU1"	chr17	+	7586691	7587271	7586691	7586838	7587160	7587271
177	"MPDU1"	"MPDU1"	chr17	+	7587160	7587271	7587160	7587181	7587182	7587271
181	"YARS"	"YARS"	chr1	-	32781047	32781145	32781047	32781127	32781128	32781145
191	"RPL13"	"RPL13"	chr16	+	89560710	89561063	89560710	89560839	89560939	89561063
192	"RPL13"	"RPL13"	chr16	+	89560939	89561368	89560939	89561063	89561226	89561368
194	"RPL13"	"RPL13"	chr16	+	89561577	89561751	89561577	89561598	89561739	89561751
230	"UBE2V1"	"UBE2V1"	chr20	-	50096482	50096820	50096482	50096534	50096671	50096820
235	"PRIM1"	"PRIM1"	chr12	-	56746780	56747032	56746780	56746854	56746925	56747032
253	"ACAD9"	"ACAD9"	chr3	+	128909343	128910149	128909343	128909421	128910020	128910149
254	"DZIP3"	"DZIP3"	chr3	+	108647942	108648962	108647942	108648112	108648917	108648962
260	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159622	56159974	56160148
261	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159730	56159974	56160148
262	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159622	56160024	56160148
269	"DALRD3"	"DALRD3"	chr3	-	49015972	49016340	49015972	49016060	49016157	49016340
270	"DALRD3"	"DALRD3"	chr3	-	49015972	49016340	49015972	49016086	49016157	49016340
271	"DALRD3"	"DALRD3"	chr3	-	49017227	49017513	49017227	49017356	49017433	49017513
274	"SAMD4B"	"SAMD4B"	chr19	+	39380586	39380785	39380586	39380755	39380757	39380785
278	"FXYD5"	"FXYD5"	chr19	+	35166141	35166325	35166141	35166171	35166250	35166325
279	"MAGED1"	"MAGED1"	chrX	+	51897794	51898193	51897794	51897886	51898113	51898193
294	"KLHL21"	"KLHL21"	chr1	-	6590723	6595557	6590723	6593658	6595484	6595557
301	"PLCG2"	"PLCG2"	chr16	+	81956694	81956879	81956694	81956847	81956848	81956879
304	"CPNE1"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
310	"SLU7"	"SLU7"	chr5	-	160418595	160419081	160418595	160418685	160419022	160419081
312	"USP39"	"USP39"	chr2	+	85648760	85649280	85648760	85648853	85649016	85649280
323	"SGSM3"	"SGSM3"	chr22	+	40407016	40407328	40407016	40407071	40407200	40407328
324	"SGSM3"	"SGSM3"	chr22	+	40407016	40407568	40407016	40407328	40407412	40407568
339	"SLC44A1"	"SLC44A1"	chr9	+	105389032	105397346	105389032	105389108	105389186	105397346
341	"SETD6"	"SETD6"	chr16	+	58515790	58516097	58515790	58515880	58515952	58516097
367	"QTRT1"	"QTRT1"	chr19	+	10712160	10712628	10712160	10712299	10712552	10712628
369	"POLR1C"	"POLR1C"	chr6	+	43519705	43520185	43519705	43519838	43520065	43520185
371	"DHX8"	"DHX8"	chr17	+	43517166	43520267	43517166	43517322	43520129	43520267
372	"YBX3"	"YBX3"	chr12	-	10701959	10704148	10701959	10702134	10704050	10704148
373	"YBX3"	"YBX3"	chr12	-	10701959	10704148	10701959	10702134	10704059	10704148
377	"DDX52"	"DDX52"	chr17	-	37619767	37621277	37619767	37619839	37621126	37621277
385	"PRPF40B"	"PRPF40B"	chr12	+	49631859	49632880	49631859	49631925	49632854	49632880
