ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"EXOC7"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562	2	16,10,13	2,1,0	26,16,24	0,1,0	842	99	0.434597766126	1.0	0.485,0.54,1.0	1.0,0.653,1.0	-0.209
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	3	5,0,3	20,10,6	1,1,5	7,7,6	266	99	0.654163586354	1.0	0.085,0.0,0.157	0.05,0.05,0.237	-0.032
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073	4	66,39,47	1301,800,719	43,14,30	735,491,739	185	99	0.168133216586	0.688591620057	0.026,0.025,0.034	0.03,0.015,0.021	0.006
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515	5	121,111,76	2232,1614,1202	80,56,60	1310,1022,1136	274	99	0.486369408629	1.0	0.019,0.024,0.022	0.022,0.019,0.019	0.002
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245	6	44,44,41	81,69,62	56,33,45	77,62,100	657	99	0.651034347448	1.0	0.076,0.088,0.091	0.099,0.074,0.064	0.006
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773	7	1,0,0	141,84,65	3,0,0	113,78,110	545	99	1	1.0	0.001,0.0,0.0	0.005,0.0,0.0	-0.001
8	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312	8	0,1,0	9,6,4	2,1,0	10,8,12	1447	99	1	1.0	0.0,0.011,0.0	0.013,0.008,0.0	-0.003
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268	9	8,5,7	111,107,68	9,5,6	91,56,68	191	99	0.443307046508	1.0	0.036,0.024,0.051	0.049,0.044,0.044	-0.009
14	"PFAS"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648	14	0,1,1	24,13,14	1,0,1	27,25,33	215	99	1	1.0	0.0,0.034,0.032	0.017,0.0,0.014	0.012
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356	15	8,5,5	20,14,14	12,6,3	34,18,23	195	99	0.540986334432	1.0	0.169,0.153,0.153	0.152,0.145,0.062	0.039
16	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7318494	7318674	16	0,2,2	20,22,14	4,1,2	27,21,17	237	99	0.301661842901	0.941556677921	0.0,0.037,0.056	0.058,0.02,0.047	-0.011
17	"NEURL4"	"NEURL4"	chr17	-	7321559	7322010	7321559	7321787	7321864	7322010	17	0,0,3	13,18,12	1,2,1	24,21,14	176	99	0.344755466644	1.0	0.0,0.0,0.123	0.023,0.051,0.039	0.003
18	"HSD17B4"	"HSD17B4"	chr5	+	119492099	119493946	119492099	119492124	119493817	119493946	18	25,17,17	160,84,100	27,20,22	114,87,117	1792	99	0.513758993444	1.0	0.009,0.011,0.009	0.013,0.013,0.01	-0.002
22	"SLC25A18"	"SLC25A18"	chr22	+	17579744	17581159	17579744	17579964	17581036	17581159	22	2,2,1	1,2,0	0,0,3	2,0,0	1171	99	1	1.0	0.145,0.078,1.0	0.0,NA,1.0	-0.092
25	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248334	52248453	25	3,0,0	19,9,13	2,1,3	5,10,6	196	99	0.0475440510364	0.328424444902	0.074,0.0,0.0	0.168,0.048,0.202	-0.115
26	"PPM1M"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595	26	3,0,3	9,7,7	4,4,2	4,1,4	446	99	0.0331401039702	0.264525157474	0.069,0.0,0.087	0.182,0.47,0.1	-0.199
