ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"EXOC7"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562	2	18,26,16	0,0,0	36,34,55	4,4,6	842	99	1.04963495673e-08	7.10252987387e-07	1.0,1.0,1.0	0.514,0.5,0.519	0.489
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	3	2,3,0	7,11,2	4,4,2	10,6,14	266	99	0.30265836111	0.751810776	0.096,0.092,0.0	0.13,0.199,0.05	-0.064
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073	4	69,79,43	1115,1285,730	92,42,84	874,507,858	185	99	0.000532252224788	0.00717656689806	0.032,0.032,0.031	0.053,0.042,0.05	-0.017
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515	5	138,157,83	1976,2197,1234	150,89,173	1511,866,1847	274	99	0.00241782313822	0.0228009023133	0.025,0.025,0.024	0.035,0.036,0.033	-0.01
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245	6	52,46,33	92,99,59	78,31,67	96,60,87	657	99	0.0613276563788	0.253210459218	0.078,0.065,0.078	0.109,0.072,0.104	-0.021
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773	7	0,0,0	111,173,59	0,0,2	146,76,165	545	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.002	-0.001
8	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312	8	2,1,0	12,12,7	2,3,9	14,9,16	1447	99	0.11658253943	0.394465593112	0.011,0.006,0.0	0.01,0.022,0.037	-0.017
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268	9	8,8,0	86,118,55	7,11,13	226,108,217	191	99	0.955132889052	1.0	0.046,0.034,0.0	0.016,0.05,0.03	-0.005
14	"PFAS"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648	14	0,2,1	32,37,20	1,2,1	78,40,50	215	99	1	1.0	0.0,0.024,0.023	0.006,0.023,0.009	0.003
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356	15	10,15,12	20,37,6	13,7,19	39,34,43	195	99	0.0835505560127	0.31645818109	0.202,0.171,0.504	0.145,0.095,0.183	0.151
16	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7318494	7318674	16	2,5,0	11,18,16	2,1,3	53,18,42	237	99	0.151196403381	0.4662208084	0.071,0.104,0.0	0.016,0.023,0.029	0.036
17	"NEURL4"	"NEURL4"	chr17	-	7321559	7322010	7321559	7321787	7321864	7322010	17	3,2,1	19,22,13	5,0,6	27,20,25	176	99	0.481996200484	1.0	0.082,0.049,0.041	0.094,0.0,0.119	-0.014
18	"HSD17B4"	"HSD17B4"	chr5	+	119492099	119493946	119492099	119492124	119493817	119493946	18	41,51,30	143,150,79	49,26,33	111,52,84	1792	99	0.123724293393	0.409500514545	0.016,0.018,0.021	0.024,0.027,0.021	-0.006
22	"SLC25A18"	"SLC25A18"	chr22	+	17579744	17581159	17579744	17579964	17581036	17581159	22	0,0,1	1,0,3	1,0,0	0,0,0	1171	99	1	1.0	0.0,NA,0.027	1.0,NA,NA	-0.987
25	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248334	52248453	25	0,0,1	22,20,1	0,4,4	19,4,16	196	99	0.00794301070949	0.0552833545381	0.0,0.0,0.336	0.0,0.336,0.112	-0.037
26	"PPM1M"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595	26	6,3,3	8,19,11	4,3,2	23,6,20	446	99	0.277172963454	0.71172874804	0.143,0.034,0.057	0.037,0.1,0.022	0.025
28	"NOC3L"	"NOC3L"	chr10	-	94357173	94358215	94357173	94357331	94358082	94358215	28	2,0,1	42,27,23	4,2,5	109,59,78	850	99	1	1.0	0.006,0.0,0.005	0.004,0.004,0.007	-0.001
30	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192824	67193008	67193170	30	104,97,48	0,0,0	189,125,191	4,1,2	283	99	0.182743237583	0.53171827088	1.0,1.0,1.0	0.943,0.978,0.971	0.036
31	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192870	67193008	67193170	31	33,34,19	112,176,90	43,39,40	286,203,322	237	99	0.0249321052681	0.13446113081	0.11,0.075,0.081	0.059,0.074,0.049	0.028
