"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"riExonStart_0base"	"riExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
5438	"AKR1C1"	"AKR1C1"	chr10	+	4966926	4968386	4966926	4967043	4968308	4968386	5438	50,74,44	2009,2180,1281	80,77,86	1383,1133,727	198	99	3.48743256495e-12	1.23803856056e-08	0.012,0.017,0.017	0.028,0.033,0.056	-0.024
2129	"CLPP"	"CLPP"	chr19	+	6361868	6362542	6361868	6361940	6362445	6362542	2129	33,17,8	164,171,110	6,8,3	247,153,128	198	99	1.35427214221e-07	0.000160255536828	0.091,0.047,0.035	0.012,0.025,0.012	0.041
6664	"ZNF232"	"ZNF232"	chr17	-	5108925	5109868	5108925	5109052	5109710	5109868	6664	24,46,13	7,9,3	30,22,17	0,0,1	198	99	1.01663663932e-07	0.000160255536828	0.632,0.719,0.684	1.0,1.0,0.895	-0.287
6652	"USP21"	"USP21"	chr1	+	161164533	161164942	161164533	161164612	161164834	161164942	6652	13,22,16	0,1,0	24,20,16	25,1,14	198	99	2.6722798474e-07	0.000237164836457	1.0,0.917,1.0	0.324,0.909,0.364	0.44
4063	"TRA2A"	"TRA2A"	chr7	-	23521706	23522432	23521706	23521840	23522353	23522432	4063	42,53,17	1,0,0	72,50,62	13,3,7	198	99	4.33081045581e-07	0.000307487542363	0.955,1.0,1.0	0.735,0.893,0.816	0.17
1458	"SAMD4A"	"SAMD4A"	chr14	+	54784339	54784620	54784339	54784447	54784536	54784620	1458	5,3,2	3,2,5	4,3,6	0,1,0	187	99	2.18853524847e-06	0.00110990001887	0.469,0.443,0.175	1.0,0.614,1.0	-0.509
5356	"ALS2CL"	"ALS2CL"	chr3	-	46671487	46672033	46671487	46671768	46671883	46672033	5356	1,6,5	2,2,3	9,4,4	1,0,0	198	99	2.03853971359e-06	0.00110990001887	0.2,0.6,0.455	0.818,1.0,1.0	-0.521
3363	"RPS21"	"RPS21"	chr20	+	62388308	62388519	62388308	62388364	62388456	62388519	3363	117,123,73	256,323,168	33,31,28	224,128,98	190	99	2.69862391611e-06	0.00119751436277	0.192,0.166,0.185	0.071,0.112,0.13	0.077
745	"C1QTNF6"	"C1QTNF6"	chr22	-	37180166	37182735	37180166	37180867	37182151	37182735	745	11,10,8	0,0,0	55,39,39	9,4,4	198	99	4.50045990164e-06	0.00167702676334	1.0,1.0,1.0	0.753,0.83,0.83	0.196
1050	"VEGFA"	"VEGFA"	chr6	+	43778888	43786484	43778888	43778918	43784540	43786484	1050	7,3,9	65,65,43	19,30,14	63,64,44	198	99	5.47626249081e-06	0.00167702676334	0.051,0.023,0.095	0.131,0.19,0.137	-0.096
