ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
14	"MBD4"	"MBD4"	chr3	-	129432502	129432606	129430943	129431578	129433097	129433247
15	"MBD4"	"MBD4"	chr3	-	129432555	129432606	129431265	129431578	129433097	129433247
16	"MBD4"	"MBD4"	chr3	-	129434061	129434136	129433849	129433984	129436460	129437308
19	"RP11-1012E15.2"	"RP11-1012E15.2"	chr14	+	55957154	55957290	55943639	55943812	55957961	55958166
20	"RP11-1012E15.2"	"RP11-1012E15.2"	chr14	+	55962171	55962277	55961980	55962087	55962824	55962970
21	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10433841	10433965	10430101	10430568	10434656	10434690
22	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10433841	10433965	10431257	10431401	10434656	10434690
23	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430101	10430568	10440346	10440413
24	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10430101	10430568	10451376	10451659
26	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10430101	10430568	10451376	10451659
27	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10434656	10434690	10442264	10442441
28	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10440346	10440413	10434656	10434690	10451376	10451659
29	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10442264	10442441	10434656	10434690	10451376	10451411
31	"ALDH4A1"	"ALDH4A1"	chr1	-	18876314	18876467	18875381	18875503	18877207	18877255
32	"ALDH4A1"	"ALDH4A1"	chr1	-	18881699	18881887	18879299	18879373	18883123	18883198
33	"ALDH4A1"	"ALDH4A1"	chr1	-	18886463	18886511	18885472	18885628	18889361	18889454
35	"APOPT1"	"APOPT1"	chr14	+	103563214	103563379	103563052	103563124	103574106	103574170
36	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103562961	103563124	103574106	103574170
37	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103562961	103563124	103587273	103587364
38	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103562961	103563124	103590180	103590360
40	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103563172	103563379	103574106	103574170
41	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103562961	103563124	103587273	103587364
42	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103562961	103563124	103590180	103590360
44	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103571622	103571820	103587273	103587364
45	"APOPT1"	"APOPT1"	chr14	+	103574106	103574170	103571622	103571820	103590180	103590360
47	"APOPT1"	"APOPT1"	chr14	+	103579370	103579491	103574106	103574170	103581568	103581656
48	"APOPT1"	"APOPT1"	chr14	+	103579370	103579491	103574106	103574170	103587273	103587364
49	"APOPT1"	"APOPT1"	chr14	+	103581568	103581656	103574106	103574170	103587273	103587364
51	"APOPT1"	"APOPT1"	chr14	+	103587273	103587364	103562964	103563124	103590180	103590234
52	"APOPT1"	"APOPT1"	chr14	+	103587273	103587364	103571622	103571820	103590180	103590234
53	"APOPT1"	"APOPT1"	chr14	+	103587273	103587364	103574106	103574170	103590180	103590234
57	"C19orf18"	"C19orf18"	chr19	-	57966529	57966632	57961390	57961551	57972462	57972504
58	"TRIM4"	"TRIM4"	chr7	-	99908581	99908812	99903575	99903598	99909564	99909660
59	"TRIM4"	"TRIM4"	chr7	-	99916701	99916779	99909564	99909660	99919008	99919531
64	"RAPGEF1"	"RAPGEF1"	chr9	-	131604930	131605188	131602113	131602149	131619050	131619209
67	"RAPGEF1"	"RAPGEF1"	chr9	-	131619050	131619209	131604930	131605188	131621795	131621998
69	"RAPGEF1"	"RAPGEF1"	chr9	-	131630235	131630324	131629101	131629254	131643238	131643417
70	"RAPGEF1"	"RAPGEF1"	chr9	-	131638634	131638791	131629101	131629254	131643238	131643391
71	"RAPGEF1"	"RAPGEF1"	chr9	-	131638634	131638791	131630235	131630324	131643238	131643391
72	"RAPGEF1"	"RAPGEF1"	chr9	-	131643238	131643417	131638634	131638791	131650809	131650949
75	"ZNF684"	"ZNF684"	chr1	+	40533142	40533181	40531560	40531787	40541614	40541710
76	"ZNF684"	"ZNF684"	chr1	+	40533142	40533181	40531560	40531787	40546561	40547785
77	"ZNF684"	"ZNF684"	chr1	+	40540585	40540712	40531652	40531787	40541614	40541710
78	"ZNF684"	"ZNF684"	chr1	+	40540585	40540712	40533142	40533181	40541614	40541710
79	"ZNF684"	"ZNF684"	chr1	+	40541614	40541710	40531560	40531787	40546561	40546765
81	"FGFR1OP"	"FGFR1OP"	chr6	+	167003722	167003811	167003192	167003247	167004263	167004304
82	"FGFR1OP"	"FGFR1OP"	chr6	+	167010812	167010893	167004263	167004401	167022408	167022635
83	"FGFR1OP"	"FGFR1OP"	chr6	+	167013507	167013567	167010812	167010893	167022408	167022635
84	"FGFR1OP"	"FGFR1OP"	chr6	+	167026546	167026615	167024781	167024894	167032602	167032642
86	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218664738	218664873	218665915	218666059
87	"RNF25"	"RNF25"	chr2	-	218665915	218666059	218665153	218665247	218666158	218666230
88	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665154	218665247	218666158	218666230
89	"RNF25"	"RNF25"	chr2	-	218666158	218666230	218665153	218665247	218667911	218667981
90	"UCA1"	"UCA1"	chr19	+	15831254	15831356	15828960	15829338	15834501	15836320
91	"UCA1"	"UCA1"	chr19	+	15831254	15831356	15828960	15829338	15835217	15835420
93	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13616462	13616521	13618057	13618139
94	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13616462	13616521	13620207	13620329
95	"NOL7"	"NOL7"	chr6	+	13618057	13618139	13616462	13616521	13620207	13620329
96	"NOL7"	"NOL7"	chr6	+	13618057	13618139	13617769	13617801	13620207	13620329
97	"NOL7"	"NOL7"	chr6	+	13620753	13620856	13620407	13620485	13632392	13632739
98	"DNAJC15"	"DNAJC15"	chr13	+	43065685	43065737	43023202	43023734	43068929	43069003
99	"DNAJC15"	"DNAJC15"	chr13	+	43065685	43065737	43023202	43023734	43078611	43078688
100	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43023202	43023734	43078611	43078688
101	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43065685	43065737	43078611	43078688
102	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43068929	43069003	43085767	43085838
103	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43068929	43069003	43107177	43114224
104	"DNAJC15"	"DNAJC15"	chr13	+	43085767	43085838	43068929	43069003	43107177	43114224
105	"DNAJC15"	"DNAJC15"	chr13	+	43085767	43085838	43078611	43078688	43107177	43114224
107	"TFCP2L1"	"TFCP2L1"	chr2	-	121231825	121231968	121225561	121225613	121234090	121234194
108	"TFCP2L1"	"TFCP2L1"	chr2	-	121237801	121237850	121237622	121237716	121239557	121239649
109	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121242358	121242469	121248163	121248270
110	"TFCP2L1"	"TFCP2L1"	chr2	-	121248163	121248270	121246817	121246970	121248981	121249087
111	"TFCP2L1"	"TFCP2L1"	chr2	-	121281119	121281271	121249570	121249647	121285047	121285207
112	"URGCP-MRPS24"	"URGCP-MRPS24"	chr7	-	43887414	43887485	43881906	43881957	43906561	43906589
113	"AP000320.7"	"AP000320.7"	chr21	+	34125340	34125480	34073591	34073745	34262819	34262921
114	"AP000320.7"	"AP000320.7"	chr21	+	34125340	34125480	34073591	34073745	34293680	34293756
115	"AP000320.7"	"AP000320.7"	chr21	+	34215499	34215540	34125340	34125480	34262819	34262921
116	"AP000320.7"	"AP000320.7"	chr21	+	34262819	34262921	34073591	34073745	34293680	34293756
117	"AP000320.7"	"AP000320.7"	chr21	+	34262819	34262921	34125340	34125480	34293680	34293756
119	"IL1RL1"	"IL1RL1"	chr2	+	102340097	102340272	102338836	102339047	102342222	102342294
123	"PPP2R1A"	"PPP2R1A"	chr19	+	52205962	52206063	52201766	52202034	52211259	52211296
124	"EXOC7"	"EXOC7"	chr17	-	76084005	76084139	76081016	76083750	76084247	76084289
128	"EXOC7"	"EXOC7"	chr17	-	76088059	76088122	76087653	76087720	76088463	76088562
135	"EXOC7"	"EXOC7"	chr17	-	76097795	76098018	76092314	76094581	76101270	76101376
136	"EXOC7"	"EXOC7"	chr17	-	76101678	76101863	76101011	76101376	76103083	76103270
139	"PDZD11"	"PDZD11"	chrX	-	70289254	70289354	70288429	70288513	70289859	70289979
140	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70288429	70288513	70289859	70289913
143	"ACTR8"	"ACTR8"	chr3	-	53878356	53878467	53877646	53877751	53879938	53880072
155	"ACOT11"	"ACOT11"	chr1	+	54585834	54585904	54584654	54584862	54593940	54594039
156	"ACOT11"	"ACOT11"	chr1	+	54592545	54592606	54584654	54584862	54593940	54594039
157	"ACOT11"	"ACOT11"	chr1	+	54592545	54592606	54585834	54585904	54593940	54594039
158	"ACOT11"	"ACOT11"	chr1	+	54599295	54599415	54597258	54597415	54601268	54601413
159	"IL6R"	"IL6R"	chr1	+	154435968	154436110	154434989	154435156	154445046	154445094
166	"SLC44A2"	"SLC44A2"	chr19	+	10627919	10628004	10626252	10626301	10634755	10634887
167	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10627919	10628004	10631274	10631385
168	"SLC44A2"	"SLC44A2"	chr19	+	10631474	10631535	10631274	10631385	10631625	10631704
169	"SLC44A2"	"SLC44A2"	chr19	+	10631625	10631749	10631474	10631535	10631867	10631918
170	"SLC44A2"	"SLC44A2"	chr19	+	10631867	10631951	10631625	10631749	10632043	10632156
171	"SLC44A2"	"SLC44A2"	chr19	+	10632043	10632156	10631867	10631951	10634755	10634887
172	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10631867	10631951	10636661	10636756
173	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635069	10634755	10634887	10635162	10635515
174	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10634755	10634887	10635162	10635234
175	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10634755	10634887	10636322	10636585
176	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10634755	10634887	10636322	10636496
177	"SLC44A2"	"SLC44A2"	chr19	+	10636322	10636585	10634755	10635073	10636661	10636756
178	"SLC44A2"	"SLC44A2"	chr19	+	10636322	10636585	10635430	10635515	10636661	10636756
180	"SLC44A2"	"SLC44A2"	chr19	+	10638226	10638315	10638022	10638093	10642366	10642385
181	"SLC44A2"	"SLC44A2"	chr19	+	10642366	10642451	10638226	10638315	10643278	10643528
191	"GRIP1"	"GRIP1"	chr12	-	66626618	66626812	66596846	66596927	66630224	66630336
194	"SAR1A"	"SAR1A"	chr10	-	70161618	70161738	70161003	70161069	70170412	70170523
195	"SAR1A"	"SAR1A"	chr10	-	70161857	70161931	70161283	70161738	70170412	70170523
198	"SAR1A"	"SAR1A"	chr10	-	70167421	70167525	70166726	70166822	70170412	70170512
202	"GRIPAP1"	"GRIPAP1"	chrX	-	48975154	48975309	48973722	48974285	48976017	48976111
203	"GRIPAP1"	"GRIPAP1"	chrX	-	48978304	48978435	48975154	48976363	48981214	48981314
207	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48990925	48991110	48998153	48998180
209	"GRIPAP1"	"GRIPAP1"	chrX	-	48997249	48997357	48993427	48993578	48998153	48998180
212	"GRIPAP1"	"GRIPAP1"	chrX	-	48998153	48998180	48997249	48997357	48999237	48999299
216	"GRIPAP1"	"GRIPAP1"	chrX	-	49000860	49000959	49000565	49000689	49002187	49002224
231	"DIS3L2"	"DIS3L2"	chr2	+	232014834	232014979	231961244	231961765	232024276	232024330
232	"DIS3L2"	"DIS3L2"	chr2	+	232014847	232014979	231961707	231961765	232024276	232024330
233	"DIS3L2"	"DIS3L2"	chr2	+	232015513	232015671	232014834	232014979	232024276	232024330
235	"DIS3L2"	"DIS3L2"	chr2	+	232136471	232136719	232130618	232130719	232163458	232163632
237	"DIS3L2"	"DIS3L2"	chr2	+	232198526	232198776	232163458	232163632	232210325	232210405
238	"DIS3L2"	"DIS3L2"	chr2	+	232238532	232238645	232210325	232210405	232249238	232249346
239	"DIS3L2"	"DIS3L2"	chr2	+	232259840	232260685	232249238	232249346	232263206	232263440
240	"DIS3L2"	"DIS3L2"	chr2	+	232300039	232300119	232263206	232263440	232329812	232329996
242	"DIS3L2"	"DIS3L2"	chr2	+	232333839	232333987	232330689	232330776	232334368	232334454
243	"DIS3L2"	"DIS3L2"	chr2	+	232334630	232334735	232334368	232334499	232335772	232335874
244	"MTG1"	"MTG1"	chr10	+	133398434	133398515	133396162	133396267	133402148	133402245
245	"MTG1"	"MTG1"	chr10	+	133399169	133399226	133398434	133398515	133402148	133402245
246	"MTG1"	"MTG1"	chr10	+	133399528	133399619	133399169	133399226	133401528	133401590
247	"MTG1"	"MTG1"	chr10	+	133399528	133399619	133399169	133399226	133402148	133402245
248	"MTG1"	"MTG1"	chr10	+	133399528	133399653	133399169	133399226	133401528	133401847
249	"MTG1"	"MTG1"	chr10	+	133401528	133401590	133399169	133399226	133402148	133402245
250	"MTG1"	"MTG1"	chr10	+	133401528	133401590	133399528	133399619	133402148	133402245
251	"APH1A"	"APH1A"	chr1	-	150267355	150267478	150267074	150267202	150267715	150267789
253	"APH1A"	"APH1A"	chr1	-	150267715	150267789	150267355	150267478	150268697	150269023
254	"APH1A"	"APH1A"	chr1	-	150267956	150267991	150267355	150267478	150268697	150269015
255	"APH1A"	"APH1A"	chr1	-	150267956	150267991	150267715	150267789	150268697	150269015
256	"APH1A"	"APH1A"	chr1	-	150267956	150268127	150267715	150267789	150268697	150268999
258	"CEP192"	"CEP192"	chr18	+	13017187	13017336	13015327	13015448	13018479	13018615
259	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13030464	13030608	13038369	13038579
261	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13030464	13030608	13048858	13049681
265	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13030464	13030608	13048858	13049681
266	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13037236	13037301	13048858	13049681
267	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13038369	13038579	13042203	13042334
268	"CEP192"	"CEP192"	chr18	+	13042203	13042334	13040829	13040956	13048858	13049681
269	"CEP192"	"CEP192"	chr18	+	13057584	13057733	13055779	13056698	13059081	13059312
272	"CEP192"	"CEP192"	chr18	+	13073008	13073185	13072754	13072845	13087016	13087277
276	"CEP192"	"CEP192"	chr18	+	13104983	13105079	13103508	13103588	13113585	13113705
278	"CEP192"	"CEP192"	chr18	+	13114129	13114251	13113585	13113705	13116373	13116503
279	"CEP192"	"CEP192"	chr18	+	13114129	13114251	13113585	13113705	13116376	13116503
293	"RIOK3"	"RIOK3"	chr18	+	23463966	23464112	23462963	23463079	23464205	23464313
294	"RIOK3"	"RIOK3"	chr18	+	23464014	23464112	23462963	23463079	23464205	23464313
296	"RIOK3"	"RIOK3"	chr18	+	23479316	23479424	23477005	23477268	23481171	23481365
297	"RIOK3"	"RIOK3"	chr18	+	23479325	23479424	23477178	23477268	23481171	23481500
298	"DRICH1"	"DRICH1"	chr22	-	23619363	23619393	23617574	23617657	23620593	23620615
300	"MEIS1"	"MEIS1"	chr2	+	66464108	66464220	66442774	66443048	66547942	66548019
302	"MEIS1"	"MEIS1"	chr2	+	66512148	66512294	66496025	66496200	66547942	66548019
305	"RFXANK"	"RFXANK"	chr19	+	19196962	19197046	19193938	19194133	19198106	19198232
306	"RFXANK"	"RFXANK"	chr19	+	19196965	19197046	19193938	19194133	19198106	19198232
308	"RFXANK"	"RFXANK"	chr19	+	19197185	19197251	19196962	19197046	19198106	19198232
309	"RFXANK"	"RFXANK"	chr19	+	19197520	19197621	19196962	19197046	19198106	19198232
310	"RFXANK"	"RFXANK"	chr19	+	19197520	19197621	19197185	19197251	19198106	19198232
316	"ZNF101"	"ZNF101"	chr19	+	19678725	19678786	19668795	19668966	19679180	19679523
321	"NDUFC1"	"NDUFC1"	chr4	-	139292529	139292609	139289916	139290092	139295042	139295146
322	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139295042	139295146	139296331	139296367
323	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139295042	139295146	139300601	139301210
324	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139295042	139295146	139302415	139302526
