ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"APITD1-CORT"	"APITD1-CORT"	chr1	+	10434656	10434690	10440346	10440413	10430434	10430568	10442264	10442441
1	"ALDH4A1"	"ALDH4A1"	chr1	-	18879299	18879373	18881699	18881887	18877415	18877612	18883123	18883198
2	"APOPT1"	"APOPT1"	chr14	+	103571622	103571820	103574106	103574170	103562961	103563124	103587273	103587364
4	"TRIM4"	"TRIM4"	chr7	-	99903575	99903598	99908581	99908812	99903217	99903315	99909564	99909660
5	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666059	218664738	218664873	218666158	218666230
6	"RNF25"	"RNF25"	chr2	-	218665154	218665247	218665915	218666084	218664826	218664873	218666158	218666230
7	"NOL7"	"NOL7"	chr6	+	13617769	13617801	13618057	13618139	13616462	13616521	13620207	13620329
8	"DNAJC15"	"DNAJC15"	chr13	+	43068929	43069003	43078611	43078688	43065685	43065737	43085767	43085838
9	"DNAJC15"	"DNAJC15"	chr13	+	43078611	43078688	43085767	43085838	43068929	43069003	43107177	43114224
10	"TFCP2L1"	"TFCP2L1"	chr2	-	121246817	121246970	121248163	121248270	121242358	121242469	121248981	121249087
15	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10631274	10631385	10626252	10626301	10631474	10631535
16	"SLC44A2"	"SLC44A2"	chr19	+	10631056	10631141	10631274	10631385	10627919	10628004	10631474	10631535
17	"SLC44A2"	"SLC44A2"	chr19	+	10634973	10635073	10636322	10636585	10634755	10634887	10636661	10636756
19	"SLC44A2"	"SLC44A2"	chr19	+	10638226	10638315	10642366	10642451	10638022	10638093	10643278	10644550
22	"SAR1A"	"SAR1A"	chr10	-	70161618	70161738	70161857	70161931	70161003	70161069	70170412	70170523
23	"GRIPAP1"	"GRIPAP1"	chrX	-	48993427	48993578	48998153	48998180	48990925	48991110	48999237	48999299
24	"GRIPAP1"	"GRIPAP1"	chrX	-	48997249	48997357	48998153	48998180	48993427	48993578	48999237	48999299
25	"MTG1"	"MTG1"	chr10	+	133398434	133398515	133399169	133399226	133396162	133396267	133402148	133402245
26	"MTG1"	"MTG1"	chr10	+	133399528	133399653	133401528	133401590	133399169	133399226	133402148	133402773
27	"APH1A"	"APH1A"	chr1	-	150267355	150267478	150267715	150267789	150267074	150267202	150268697	150269023
28	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13038369	13038579	13030464	13030608	13040829	13040956
29	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13040829	13040956	13030464	13030608	13048858	13049681
30	"CEP192"	"CEP192"	chr18	+	13037236	13037301	13042203	13042334	13030464	13030608	13048858	13049681
31	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13040829	13040956	13030464	13030608	13048858	13049681
32	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13042203	13042334	13030464	13030608	13048858	13049681
33	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13040829	13040956	13037236	13037301	13048858	13049681
34	"CEP192"	"CEP192"	chr18	+	13040829	13040956	13042203	13042334	13030464	13030608	13048858	13049681
38	"NDUFC1"	"NDUFC1"	chr4	-	139295731	139295960	139296331	139296367	139295042	139295146	139302415	139302551
41	"TDRD5"	"TDRD5"	chr1	+	179593459	179593867	179595627	179595818	179592309	179592847	179618598	179618682
42	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331113	113323010	113323155	113331906	113332050
43	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331116	113323010	113323155	113331906	113332050
44	"WDR31"	"WDR31"	chr9	-	113328880	113328955	113330983	113331116	113323010	113323155	113331977	113332050
45	"NEURL4"	"NEURL4"	chr17	-	7318268	7318356	7318494	7318674	7318064	7318172	7319049	7319208
46	"NEURL4"	"NEURL4"	chr17	-	7318268	7318356	7318494	7318691	7318064	7318172	7319049	7319208
51	"ANKRD36C"	"ANKRD36C"	chr2	-	95958756	95958785	95960638	95960667	95958590	95958663	95962351	95962424
55	"AC016735.2"	"AC016735.2"	chr2	-	43032733	43032902	43036695	43036765	43032500	43032636	43039119	43039547
56	"UGGT1"	"UGGT1"	chr2	+	128183674	128183789	128186682	128186799	128182129	128182290	128187448	128187614
57	"TM4SF19-TCTEX1D2"	"TM4SF19-TCTEX1D2"	chr3	-	196324270	196324440	196326954	196327032	196323743	196323997	196327389	196327591
58	"TM4SF19-TCTEX1D2"	"TM4SF19-TCTEX1D2"	chr3	-	196324270	196324440	196327389	196327591	196323743	196323997	196338263	196338373
64	"CYB5R4"	"CYB5R4"	chr6	+	83914415	83914448	83918004	83918065	83909008	83909090	83919396	83919454
65	"IFNAR1"	"IFNAR1"	chr21	+	33340998	33341174	33343267	33343422	33335523	33335647	33343534	33343676
66	"IFNAR1"	"IFNAR1"	chr21	+	33343267	33343422	33343534	33343676	33335523	33335647	33345245	33345360
67	"IFNAR1"	"IFNAR1"	chr21	+	33343267	33343422	33343534	33343676	33340998	33341174	33345245	33345360
68	"IFNAR1"	"IFNAR1"	chr21	+	33343534	33343676	33345245	33345360	33343267	33343422	33349090	33349290
69	"EXO1"	"EXO1"	chr1	+	241850408	241850586	241853357	241853481	241848730	241849027	241857344	241857482
70	"EXO1"	"EXO1"	chr1	+	241850408	241850586	241853357	241853472	241848949	241849027	241857344	241857482
75	"C11orf30"	"C11orf30"	chr11	+	76535894	76536059	76537794	76537950	76528267	76528466	76542215	76542367
78	"IKBKB"	"IKBKB"	chr8	+	42308900	42309025	42314321	42314429	42306342	42306432	42316209	42316339
79	"WDR45B"	"WDR45B"	chr17	-	82617295	82617397	82619042	82619094	82616523	82616645	82621608	82621799
80	"WDR45B"	"WDR45B"	chr17	-	82617295	82617397	82619042	82619128	82616523	82616645	82621608	82621799
81	"WDR45B"	"WDR45B"	chr17	-	82619042	82619128	82621608	82621799	82617295	82617397	82625388	82625483
82	"DDX54"	"DDX54"	chr12	-	113165801	113166032	113169769	113169904	113165643	113165717	113172352	113172563
83	"DDX54"	"DDX54"	chr12	-	113169769	113169904	113172352	113172563	113165801	113166032	113174639	113174771
