"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"riExonStart_0base"	"riExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
3071	"CYP4V2"	"CYP4V2"	chr4	+	186201156	186205302	186201156	186201342	186205199	186205302	3071	3,4,2	2,4,0	18,14,1	0,0,0	3956	99	8.25739476795e-12	1.49623993195e-08	0.036,0.024,1.0	1.0,1.0,1.0	-0.647
5434	"ADGRE2"	"ADGRE2"	chr19	-	14765657	14766381	14765657	14765804	14766234	14766381	5434	5,0,4	0,16,10	4,2,6	0,0,0	529	99	3.18514992159e-10	3.84766110528e-07	1.0,0.0,0.07	1.0,1.0,1.0	-0.643
6652	"USP21"	"USP21"	chr1	+	161164533	161164942	161164533	161164612	161164834	161164942	6652	32,40,22	0,1,0	42,31,25	25,1,14	321	99	1.12317537382e-07	8.43952483201e-05	1.0,0.925,1.0	0.341,0.905,0.355	0.441
6664	"ZNF232"	"ZNF232"	chr17	-	5108925	5109868	5108925	5109052	5109710	5109868	6664	124,171,84	7,9,3	138,93,70	0,0,1	757	99	1.16439360265e-07	8.43952483201e-05	0.698,0.713,0.785	1.0,1.0,0.902	-0.235
3574	"TCF3"	"TCF3"	chr19	-	1609292	1611849	1609292	1611369	1611703	1611849	3574	422,411,279	86,110,60	407,254,217	167,114,101	433	99	1.52890134331e-07	9.23456411359e-05	0.529,0.461,0.515	0.358,0.337,0.329	0.16
1774	"CCDC78"	"CCDC78"	chr16	-	722921	723936	722921	723161	723856	723936	1774	10,15,11	0,0,0	4,5,7	1,3,1	794	99	3.72574282204e-07	0.000168776149838	1.0,1.0,1.0	0.333,0.172,0.466	0.676
4063	"TRA2A"	"TRA2A"	chr7	-	23521706	23522432	23521706	23521840	23522353	23522432	4063	105,144,52	1,0,0	221,146,148	13,3,7	612	99	3.47142973922e-07	0.000168776149838	0.944,1.0,1.0	0.733,0.887,0.774	0.183
5399	"HCFC1R1"	"HCFC1R1"	chr16	-	3023232	3023968	3023232	3023530	3023846	3023968	5399	14,15,21	79,47,45	13,12,3	162,97,95	415	99	4.63531162231e-07	0.000186648547992	0.041,0.071,0.1	0.019,0.029,0.007	0.052
1458	"SAMD4A"	"SAMD4A"	chr14	+	54784339	54784620	54784339	54784447	54784536	54784620	1458	5,3,2	3,2,5	4,3,6	0,1,0	188	99	2.18378398675e-06	0.000660959082976	0.467,0.441,0.174	1.0,0.612,1.0	-0.51
3296	"C21orf33"	"C21orf33"	chr21	+	44144820	44145723	44144820	44144916	44145570	44145723	3296	68,101,69	0,0,0	57,49,45	6,3,0	753	99	2.18848210354e-06	0.000660959082976	1.0,1.0,1.0	0.555,0.682,1.0	0.254
3834	"SPINT2"	"SPINT2"	chr19	+	38290536	38292468	38290536	38290575	38291839	38292468	3834	331,416,203	989,1052,668	246,172,145	1185,823,649	1363	99	2.18860623502e-06	0.000660959082976	0.024,0.028,0.022	0.015,0.015,0.016	0.009
5356	"ALS2CL"	"ALS2CL"	chr3	-	46671487	46672033	46671487	46671768	46671883	46672033	5356	2,6,6	2,2,3	9,4,4	1,0,0	214	99	2.45170873681e-06	0.000683460958631	0.316,0.581,0.481	0.806,1.0,1.0	-0.476
3363	"RPS21"	"RPS21"	chr20	+	62388308	62388519	62388308	62388364	62388456	62388519	3363	117,123,73	256,323,168	33,31,28	224,128,98	191	99	2.69739424652e-06	0.000698239767813	0.192,0.165,0.184	0.071,0.112,0.129	0.076
745	"C1QTNF6"	"C1QTNF6"	chr22	-	37180166	37182735	37180166	37180867	37182151	37182735	745	73,77,55	0,0,0	392,285,224	9,4,4	1383	99	3.16221299157e-06	0.000716241242591	1.0,1.0,1.0	0.757,0.836,0.8	0.202
1032	"ARHGEF16"	"ARHGEF16"	chr1	+	3477874	3478612	3477874	3478026	3478423	3478612	1032	20,26,10	72,79,56	73,52,42	106,85,66	496	99	2.97258068926e-06	0.000716241242591	0.053,0.062,0.034	0.121,0.109,0.113	-0.065
2674	"DMKN"	"DMKN"	chr19	-	35510183	35510427	35510183	35510252	35510370	35510427	2674	181,251,116	129,144,68	277,211,152	103,60,55	217	99	4.63597278588e-06	0.000988280316237	0.39,0.443,0.438	0.551,0.616,0.558	-0.151
6357	"SIGMAR1"	"SIGMAR1"	chr9	-	34636996	34637420	34636996	34637089	34637219	34637420	6357	48,43,36	173,217,114	18,19,21	210,163,152	229	99	4.95765259767e-06	0.000998140722998	0.107,0.079,0.12	0.036,0.048,0.056	0.055
3625	"FANK1"	"FANK1"	chr10	+	126009053	126009592	126009053	126009131	126009221	126009592	3625	2,3,1	0,0,1	0,1,1	2,2,0	189	99	5.52516043217e-06	0.00105385165296	1.0,1.0,0.344	0.0,0.208,1.0	0.379
3082	"ERCC3"	"ERCC3"	chr2	-	127289336	127289824	127289336	127289501	127289688	127289824	3082	14,18,10	56,66,26	4,5,3	61,61,50	286	99	5.90051523519e-06	0.00106917336062	0.08,0.086,0.117	0.022,0.028,0.02	0.071
259	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159622	56160024	56160148	259	7872,9080,4887	101,1,2	7635,5020,4905	108,52,3	501	99	7.71172035241e-06	0.0012278528485	0.939,0.999,0.998	0.933,0.95,0.997	0.019
1493	"DCUN1D4"	"DCUN1D4"	chr4	+	51886567	51887244	51886567	51886638	51887122	51887244	1493	8,12,3	0,0,0	11,4,14	0,3,3	583	99	7.79266432549e-06	0.0012278528485	1.0,1.0,1.0	1.0,0.185,0.442	0.458
2129	"CLPP"	"CLPP"	chr19	+	6361868	6362542	6361868	6361940	6362445	6362542	2129	71,52,21	164,171,110	39,24,15	247,153,128	604	99	7.32645488799e-06	0.0012278528485	0.066,0.047,0.03	0.025,0.025,0.019	0.025
256	"MYL6"	"MYL6"	chr12	+	56158683	56159730	56158683	56158711	56159622	56159730	256	1455,1667,903	8,4,24	1385,908,890	6,0,0	1010	99	1.29743133338e-05	0.00194670851727	0.947,0.976,0.787	0.958,1.0,1.0	-0.083
5750	"SIPA1L1"	"SIPA1L1"	chr14	+	71704720	71705340	71704720	71704783	71705221	71705340	5750	8,9,3	2,2,2	12,2,8	1,0,0	537	99	1.34292806103e-05	0.00194670851727	0.424,0.453,0.217	0.689,1.0,1.0	-0.532
5159	"CRB3"	"CRB3"	chr19	+	6466465	6467221	6466465	6466609	6466950	6467221	5159	96,106,54	48,49,41	62,73,31	88,53,72	440	99	1.47829408127e-05	0.00201350861757	0.31,0.327,0.229	0.137,0.237,0.088	0.135
