ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"MBD4"	"MBD4"	chr3	-	129436442	129437308	129436460	129437308	129434061	129434136	4	51,44,38	108,81,57	51,29,48	73,58,81	117	99	0.570721732984	1.0	0.285,0.315,0.361	0.372,0.297,0.334	-0.014
8	"RNF25"	"RNF25"	chr2	-	218668238	218668341	218668278	218668341	218668078	218668146	8	51,26,41	1,2,0	74,59,83	1,0,3	139	99	0.725728978711	1.0	0.973,0.903,1.0	0.981,1.0,0.952	-0.019
9	"SLC44A2"	"SLC44A2"	chr19	+	10625519	10625670	10625519	10625549	10626252	10626301	9	1146,751,788	0,0,0	782,565,854	0,2,0	220	99	1	1.0	1.0,1.0,1.0	1.0,0.992,1.0	0.003
10	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10635162	10635255	10	1653,1130,1083	2,1,1	977,757,928	1,2,0	285	99	1	1.0	0.997,0.997,0.997	0.997,0.992,1.0	0.001
11	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10636322	10636585	11	88,46,58	2,0,1	52,31,46	1,0,1	285	99	1	1.0	0.939,1.0,0.953	0.948,1.0,0.941	0.001
12	"NTMT1"	"NTMT1"	chr9	+	129632649	129632865	129632649	129632801	129634053	129634306	12	237,147,141	13,12,15	283,223,227	26,7,22	163	99	0.874782579537	1.0	0.917,0.882,0.851	0.869,0.951,0.862	-0.011
13	"PARL"	"PARL"	chr3	-	183862696	183862801	183862752	183862801	183844230	183844326	13	17,8,3	102,65,63	14,6,13	110,86,89	155	99	0.805591793167	1.0	0.096,0.073,0.03	0.075,0.043,0.085	-0.001
14	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232163458	232163632	14	1,2,1	1,2,2	2,3,3	2,2,2	323	99	0.200100727792	0.970707618179	0.235,0.235,0.133	0.235,0.315,0.315	-0.087
15	"RIOK3"	"RIOK3"	chr18	+	23473428	23473626	23473428	23473483	23474947	23475107	15	150,96,91	0,0,0	103,118,111	0,1,0	242	99	1	1.0	1.0,1.0,1.0	1.0,0.98,1.0	0.007
17	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19677863	19677986	19678725	19678786	17	7,13,10	8,2,9	13,18,20	3,8,8	103	99	0.329251241908	1.0	0.457,0.862,0.516	0.806,0.684,0.706	-0.12
24	"NEURL4"	"NEURL4"	chr17	-	7322947	7323123	7322953	7323123	7322734	7322866	24	10,11,13	8,3,5	18,15,13	4,6,4	105	99	0.372590292029	1.0	0.541,0.776,0.71	0.809,0.702,0.754	-0.079
25	"NEURL4"	"NEURL4"	chr17	-	7324798	7324980	7324910	7324980	7324394	7324480	25	45,55,33	0,1,0	70,37,66	1,0,1	211	99	1	1.0	1.0,0.963,1.0	0.97,1.0,0.969	0.008
26	"HSD17B4"	"HSD17B4"	chr5	+	119477416	119477501	119477416	119477492	119478833	119479021	26	165,100,101	0,0,2	131,106,98	0,2,0	108	99	1	1.0	1.0,1.0,0.979	1.0,0.98,1.0	-0.0
29	"POLR3H"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	29	45,28,19	164,116,65	42,39,50	193,145,184	154	99	0.781090761934	1.0	0.15,0.134,0.158	0.123,0.147,0.149	0.008
30	"SRRT"	"SRRT"	chr7	+	100885700	100885774	100885700	100885762	100885862	100885941	30	0,0,1	100,65,75	0,2,0	161,99,127	111	99	1	1.0	0.0,0.0,0.012	0.0,0.018,0.0	-0.002
31	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248955	52249063	31	6,2,0	0,0,0	2,2,2	0,5,0	315	99	1	1.0	1.0,1.0,NA	1.0,0.112,1.0	0.296
33	"CLPTM1"	"CLPTM1"	chr19	+	44954590	44955085	44954590	44954701	44961962	44962075	33	6,3,3	0,0,0	8,3,6	1,0,0	483	99	1	1.0	1.0,1.0,1.0	0.621,1.0,1.0	0.126
35	"EXO1"	"EXO1"	chr1	+	241853357	241853481	241853357	241853472	241857344	241857482	35	120,57,34	4,0,0	68,58,71	0,2,2	108	99	0.52934488544	1.0	0.965,1.0,1.0	1.0,0.964,0.97	0.01
37	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912040	73912068	37	11,15,15	84,59,54	11,6,12	22,31,21	412	99	0.0541036801943	0.502609463536	0.031,0.058,0.063	0.107,0.044,0.121	-0.04
38	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912214	73912322	38	10,15,15	6,0,4	11,5,12	1,0,0	412	99	7.57111823804e-05	0.00739965467794	0.286,1.0,0.474	0.726,1.0,1.0	-0.322
41	"IKBKB"	"IKBKB"	chr8	+	42293442	42293568	42293442	42293512	42305186	42305275	41	2,0,0	16,4,13	3,0,3	16,18,13	155	99	0.0582101497474	0.51768792913	0.074,0.0,0.0	0.107,0.0,0.128	-0.054
46	"EML2"	"EML2"	chr19	-	45639294	45639397	45639356	45639397	45638844	45638873	46	20,13,4	69,59,47	7,5,6	54,37,51	161	99	0.0797162171631	0.603409999164	0.151,0.119,0.05	0.074,0.077,0.067	0.034
49	"PSEN1"	"PSEN1"	chr14	+	73147966	73148106	73147966	73148094	73170796	73171047	49	48,32,44	56,43,29	38,47,54	41,40,47	111	99	0.653818126004	1.0	0.433,0.399,0.575	0.453,0.512,0.506	-0.021
51	"WDR26"	"WDR26"	chr1	-	224431476	224431581	224431524	224431581	224419517	224419615	51	55,37,26	0,0,1	32,27,29	1,0,1	147	99	1	1.0	1.0,1.0,0.946	0.956,1.0,0.951	0.013
52	"WDR26"	"WDR26"	chr1	-	224431476	224431581	224431524	224431581	224424517	224424654	52	158,78,69	69,58,54	91,62,99	73,50,66	147	99	0.30721527267	1.0	0.607,0.475,0.463	0.456,0.455,0.503	0.044
54	"DCUN1D1"	"DCUN1D1"	chr3	-	182965536	182965753	182965678	182965753	182963880	182964049	54	226,162,129	0,0,0	198,221,180	3,1,2	241	99	0.637694991282	1.0	1.0,1.0,1.0	0.964,0.989,0.974	0.024
55	"FLNB"	"FLNB"	chr3	+	58141857	58141929	58141857	58141896	58142649	58142752	55	170,169,114	41,23,21	132,103,139	39,34,27	132	99	0.0590815108093	0.519385874125	0.757,0.846,0.803	0.717,0.694,0.794	0.067
56	"TTC1"	"TTC1"	chr5	+	160009112	160009193	160009112	160009190	160010499	160010858	56	208,146,137	17,13,16	245,202,263	14,17,15	102	99	0.121486608895	0.744833950845	0.922,0.916,0.893	0.944,0.92,0.944	-0.026
57	"CCDC84"	"CCDC84"	chr11	+	119011220	119011311	119011220	119011283	119011938	119012003	57	7,7,8	11,7,13	8,3,16	11,8,14	127	99	0.894411397782	1.0	0.332,0.438,0.324	0.362,0.226,0.471	0.012
58	"CCDC84"	"CCDC84"	chr11	+	119011938	119012254	119011938	119012003	119013231	119013262	58	28,21,28	1,0,1	36,24,20	0,0,0	350	99	1	1.0	0.888,1.0,0.888	1.0,1.0,1.0	-0.075
59	"RFWD2"	"RFWD2"	chr1	-	176163814	176163891	176163826	176163891	176162868	176162988	59	65,36,27	15,14,8	42,39,56	18,7,18	111	99	0.844457615949	1.0	0.794,0.696,0.751	0.675,0.832,0.735	-0.0
60	"FARSA"	"FARSA"	chr19	-	12928534	12928663	12928572	12928663	12928341	12928457	60	588,427,338	0,0,0	772,538,664	0,1,0	137	99	1	1.0	1.0,1.0,1.0	1.0,0.997,1.0	0.001
61	"FARSA"	"FARSA"	chr19	-	12930428	12930749	12930611	12930749	12930222	12930341	61	519,369,316	0,1,0	639,435,578	0,0,0	282	99	1	1.0	1.0,0.992,1.0	1.0,1.0,1.0	-0.003
62	"TRPM7"	"TRPM7"	chr15	-	50578558	50578664	50578638	50578664	50575868	50575919	62	0,0,0	39,29,26	2,0,1	41,42,22	179	99	1	1.0	0.0,0.0,0.0	0.026,0.0,0.025	-0.017
64	"BAZ2A"	"BAZ2A"	chr12	-	56601179	56601402	56601245	56601402	56600942	56601098	64	125,76,65	0,0,0	133,78,127	0,3,0	165	99	1	1.0	1.0,1.0,1.0	1.0,0.94,1.0	0.02
65	"SVIL-AS1"	"SVIL-AS1"	chr10	+	29409556	29409683	29409556	29409658	29415356	29415412	65	29,39,19	18,12,8	35,55,30	12,5,17	124	99	0.240873460708	1.0	0.563,0.722,0.655	0.7,0.898,0.585	-0.081
67	"WAC"	"WAC"	chr10	+	28614566	28616362	28614566	28614685	28617656	28617784	67	186,108,117	0,0,0	203,155,176	0,0,1	1776	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.908	0.031
68	"CLDN7"	"CLDN7"	chr17	-	7261820	7262343	7261846	7262343	7260820	7260985	68	649,427,397	0,0,4	333,251,260	0,1,1	125	99	1	1.0	1.0,1.0,0.987	1.0,0.995,0.995	-0.001
71	"YBX2"	"YBX2"	chr17	-	7291092	7292059	7292025	7292059	7290250	7290535	71	132,61,80	7,2,2	36,18,32	5,0,3	1032	99	0.373071908153	1.0	0.644,0.745,0.793	0.409,1.0,0.506	0.089
72	"ESRP1"	"ESRP1"	chr8	+	94674307	94674506	94674307	94674494	94678202	94678371	72	200,182,144	66,71,40	232,197,204	58,36,79	111	99	0.185935215087	0.946190994999	0.73,0.696,0.763	0.781,0.83,0.697	-0.04
75	"ITGB1"	"ITGB1"	chr10	-	32933350	32933583	32933481	32933583	32932514	32932600	75	16,26,7	3,3,3	23,24,17	1,4,6	230	99	0.887399163554	1.0	0.697,0.789,0.501	0.908,0.721,0.549	-0.064
76	"TMTC4"	"TMTC4"	chr13	-	100670282	100670569	100670359	100670569	100668578	100668794	76	0,5,5	28,19,19	3,4,3	23,24,12	176	99	0.676923475986	1.0	0.0,0.129,0.129	0.068,0.086,0.123	-0.006
78	"THUMPD2"	"THUMPD2"	chr2	-	39771504	39771640	39771514	39771640	39768423	39768501	78	0,0,0	0,0,1	0,1,0	0,0,0	109	99	1	1.0	NA,NA,0.0	NA,1.0,NA	-1.0
79	"AQR"	"AQR"	chr15	-	34906518	34906712	34906544	34906712	34904335	34904505	79	0,0,2	70,43,37	0,1,0	67,64,100	125	99	1	1.0	0.0,0.0,0.041	0.0,0.012,0.0	0.01
81	"GAA"	"GAA"	chr17	+	80101810	80101925	80101810	80101890	80104554	80105132	81	5,2,6	27,26,21	1,0,0	17,12,18	134	99	0.000106735638193	0.00894379863932	0.12,0.054,0.174	0.042,0.0,0.0	0.102
83	"SLC25A22"	"SLC25A22"	chr11	-	794452	794513	794457	794513	793528	793619	83	5,1,0	29,22,27	4,1,2	35,33,29	104	99	0.661552423069	1.0	0.141,0.041,0.0	0.098,0.028,0.062	-0.002
84	"SLC25A22"	"SLC25A22"	chr11	-	794452	794513	794469	794513	793528	793619	84	12,2,4	0,0,0	21,10,7	0,1,0	116	99	1	1.0	1.0,1.0,1.0	1.0,0.895,1.0	0.035
85	"SLC25A22"	"SLC25A22"	chr11	-	794457	794513	794469	794513	793528	793619	85	36,23,31	0,0,0	52,42,34	0,1,0	111	99	1	1.0	1.0,1.0,1.0	1.0,0.974,1.0	0.009
89	"FTSJ1"	"FTSJ1"	chrX	+	48481425	48481715	48481425	48481528	48482402	48482506	89	90,80,82	0,2,0	120,84,94	0,1,1	286	99	1	1.0	1.0,0.933,1.0	1.0,0.967,0.97	-0.001
92	"C12orf43"	"C12orf43"	chr12	-	121011010	121011146	121011103	121011146	121010827	121010926	92	1,0,0	30,21,9	0,0,1	26,21,18	192	99	1	1.0	0.017,0.0,0.0	0.0,0.0,0.028	-0.004
94	"PEA15"	"PEA15"	chr1	+	160211542	160211716	160211542	160211650	160213109	160213265	94	769,567,478	11,8,4	737,489,635	4,9,9	165	99	0.827843288988	1.0	0.977,0.977,0.986	0.991,0.97,0.977	0.001
95	"DAB2"	"DAB2"	chr5	-	39392203	39392463	39392364	39392463	39390443	39390575	95	5,2,0	60,54,35	3,2,2	29,43,28	260	99	0.588277973302	1.0	0.031,0.014,0.0	0.038,0.017,0.026	-0.012
96	"SLC52A2"	"SLC52A2"	chr8	+	144358592	144358900	144358592	144358783	144359183	144359423	96	85,57,66	1,0,0	136,106,122	4,0,4	216	99	0.0308341334357	0.358258130793	0.975,1.0,1.0	0.94,1.0,0.933	0.034
97	"SLC52A2"	"SLC52A2"	chr8	+	144358592	144359065	144358592	144358783	144359183	144359423	97	381,265,219	1,0,0	486,353,470	4,0,4	381	99	0.52239908248	1.0	0.99,1.0,1.0	0.969,1.0,0.968	0.018
98	"SLC52A2"	"SLC52A2"	chr8	+	144358592	144359065	144358592	144358900	144359183	144359423	98	297,211,156	1,3,3	361,249,349	11,2,1	264	99	0.358526138331	1.0	0.991,0.963,0.951	0.925,0.979,0.992	0.003
99	"SLC52A2"	"SLC52A2"	chr8	+	144358592	144358900	144358592	144358783	144359187	144359423	99	87,54,63	0,1,1	125,104,121	0,0,0	216	99	1	1.0	1.0,0.961,0.967	1.0,1.0,1.0	-0.024
100	"ADAR"	"ADAR"	chr1	-	154590183	154590409	154590261	154590409	154589756	154589928	100	394,277,265	20,14,9	299,279,290	10,8,12	177	99	0.240562796028	1.0	0.917,0.917,0.943	0.944,0.951,0.931	-0.016
104	"NFAT5"	"NFAT5"	chr16	+	69647027	69647586	69647027	69647167	69653235	69653428	104	85,77,49	0,0,0	89,70,76	1,0,3	518	99	0.436406096184	1.0	1.0,1.0,1.0	0.944,1.0,0.829	0.076
105	"HSD17B7"	"HSD17B7"	chr1	+	162797801	162798935	162797801	162797916	162799742	162799937	105	2,6,7	64,41,36	4,3,4	41,34,30	1118	99	0.926780268837	1.0	0.003,0.013,0.017	0.009,0.008,0.012	0.001
106	"CPSF7"	"CPSF7"	chr11	-	61419921	61420094	61419948	61420094	61416104	61416519	106	75,78,60	78,56,44	84,74,72	52,32,46	126	99	0.03423742963	0.383067268217	0.43,0.523,0.517	0.559,0.645,0.552	-0.095
107	"CPSF7"	"CPSF7"	chr11	-	61420469	61421608	61421389	61421608	61419921	61420094	107	88,70,56	0,1,1	110,68,92	2,2,1	1019	99	0.0290198377909	0.340752370951	1.0,0.872,0.845	0.842,0.768,0.899	0.069
109	"CPSF7"	"CPSF7"	chr11	-	61429840	61429920	61429886	61429920	61429181	61429290	109	0,2,1	6,0,1	2,3,0	1,1,2	145	99	0.26979457402	1.0	0.0,1.0,0.406	0.577,0.672,0.0	0.052
110	"CPSF7"	"CPSF7"	chr11	-	61429840	61429922	61429913	61429922	61429181	61429290	110	0,2,1	98,82,53	2,3,0	97,76,89	172	99	1	1.0	0.0,0.014,0.011	0.012,0.022,0.0	-0.003
111	"CPSF7"	"CPSF7"	chr11	-	61429886	61429922	61429913	61429922	61429181	61429290	111	6,0,1	98,82,53	1,1,2	97,76,89	126	99	0.825703037202	1.0	0.046,0.0,0.015	0.008,0.01,0.017	0.009
112	"DNAJC27"	"DNAJC27"	chr2	-	24971415	24971616	24971555	24971616	24967210	24967293	112	3,4,1	0,1,0	1,0,1	0,0,0	239	99	1	1.0	1.0,0.624,1.0	1.0,NA,1.0	-0.125
116	"MICALL1"	"MICALL1"	chr22	+	37927410	37927826	37927410	37927820	37931798	37931933	116	167,130,94	11,14,9	117,102,116	17,11,12	105	99	0.221459817081	1.0	0.935,0.897,0.908	0.866,0.897,0.901	0.025
122	"DNASE1"	"DNASE1"	chr16	+	3655848	3655966	3655848	3655937	3656101	3656185	122	2,4,1	3,5,1	4,1,1	3,1,9	128	99	0.4587175437	1.0	0.34,0.382,0.436	0.508,0.436,0.079	0.045
124	"XPNPEP1"	"XPNPEP1"	chr10	-	109875527	109877867	109877789	109877867	109873366	109873427	124	164,123,108	4,2,0	166,113,132	1,0,2	2361	99	0.0275387406127	0.329177104518	0.632,0.721,1.0	0.874,1.0,0.735	-0.085
125	"XPNPEP1"	"XPNPEP1"	chr10	-	109915010	109915099	109915022	109915099	109907690	109907815	125	90,66,51	1,0,1	72,62,81	1,1,0	111	99	1	1.0	0.988,1.0,0.978	0.985,0.982,1.0	-0.0
126	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39159449	39159550	39159482	39159550	39151745	39151839	126	3,5,0	0,0,0	0,2,4	1,0,0	132	99	1	1.0	1.0,1.0,NA	0.0,1.0,1.0	0.333
127	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39159449	39159550	39154210	39154294	127	73,42,39	0,0,0	29,44,44	0,1,3	1264	99	0.049612887622	0.471038930194	1.0,1.0,1.0	1.0,0.775,0.535	0.23
128	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39159482	39159550	39154210	39154294	128	75,47,39	1,2,0	29,46,48	3,0,3	1297	99	0.0398580656315	0.416504251866	0.851,0.642,1.0	0.425,1.0,0.55	0.173
129	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39159449	39159550	39159482	39159550	39154210	39154294	129	2,5,0	1,2,0	0,3,7	3,0,3	132	99	1	1.0	0.6,0.652,NA	0.0,1.0,0.636	0.081
130	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39159449	39159550	39159482	39159550	39158284	39158402	130	13,9,6	28,14,14	4,8,9	22,10,15	132	99	0.765972351828	1.0	0.258,0.325,0.243	0.12,0.375,0.31	0.007
131	"PAFAH1B1"	"PAFAH1B1"	chr17	+	2674059	2674288	2674059	2674096	2676504	2676606	131	554,350,311	0,0,2	405,366,423	1,0,0	291	99	1	1.0	1.0,1.0,0.981	0.993,1.0,1.0	-0.004
132	"GALE"	"GALE"	chr1	-	23796508	23796782	23796696	23796782	23796150	23796265	132	177,109,110	9,7,2	138,107,102	8,3,8	287	99	0.604409243217	1.0	0.872,0.843,0.95	0.856,0.925,0.815	0.023
133	"GALE"	"GALE"	chr1	-	23798116	23798730	23798614	23798730	23797694	23797871	133	136,93,93	0,0,0	96,96,108	0,2,0	597	99	1	1.0	1.0,1.0,1.0	1.0,0.888,1.0	0.037
134	"FPGS"	"FPGS"	chr9	+	127807585	127807775	127807585	127807688	127808233	127808311	134	16,8,10	59,39,41	8,4,4	42,28,45	186	99	0.0582652077925	0.51768792913	0.126,0.098,0.115	0.092,0.071,0.045	0.044
135	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424945	144425772	144424214	144424268	135	274,170,141	0,0,1	192,137,168	0,0,0	327	99	1	1.0	1.0,1.0,0.977	1.0,1.0,1.0	-0.008
